iso3,ndgain_year,vulnerability,readiness,gain
AFG,2023.0,0.58751617832868,0.251374062035753,33.1928941853536
AGO,2023.0,0.506373424333808,0.272532181731671,38.3079378698932
ALB,2023.0,0.380184451027829,0.42269803324319,52.1256791107681
AND,,,0.452459320881706,
ARE,2023.0,0.382862724694561,0.587110079387922,60.2123677346681
ARG,2023.0,0.383358084544623,0.375078343403138,49.5860129429258
ARM,2023.0,0.357311529443697,0.500820065638309,57.1754268097306
ATG,2023.0,0.467682283209992,0.448599090725985,49.0458403757996
AUS,2023.0,0.31593723845745,0.693309072991234,68.8685917266892
AUT,2023.0,0.295316568589894,0.676197628384371,69.0440529897239
AZE,2023.0,0.404253804565205,0.443726742855352,51.9736469145074
BDI,2023.0,0.553186563369384,0.272391783523305,35.960261007696
BEL,2023.0,0.334702001024289,0.586680831331403,62.5989415153557
BEN,2023.0,0.5713164455052,0.341775313800639,38.5229434147719
BFA,2023.0,0.520926376262667,0.27482711698912,37.6950370363227
BGD,2023.0,0.568382610178076,0.27930849019397,35.5462940007947
BGR,2023.0,0.354212115609604,0.464236756653287,55.5012320521842
BHR,2023.0,0.435632072422982,0.526711547844828,54.5539737710923
BHS,2023.0,0.458425830822161,0.432598392246487,48.7086280712163
BIH,2023.0,0.346513954253632,0.370434524014239,51.1960284880304
BLR,2023.0,0.323182586394448,0.459539782750123,56.8178598177838
BLZ,2023.0,0.467284269569326,0.339967386887715,43.6341558659194
BOL,2023.0,0.450779731061735,0.284553675552306,41.6886972245285
BRA,2023.0,0.368520164456009,0.350466480103187,49.0973157823589
BRB,2023.0,0.370961980033602,0.590085510975419,60.9561765470909
BRN,2023.0,0.404039190127774,0.538148660701917,56.7054735287072
BTN,2023.0,0.515028632946176,0.478615268929001,48.1793317991413
BWA,2023.0,0.432397932350151,0.430593291832732,49.909767974129
CAF,2023.0,0.578711096441822,0.132552577577126,27.6920740567652
CAN,2023.0,0.281583885412555,0.64522196244372,68.1819038515583
CHE,2023.0,0.251258452297331,0.691330058569058,72.0035803135863
CHL,2023.0,0.332236492332546,0.530893745356944,59.9328626512199
CHN,2023.0,0.381528008944177,0.555667227908471,58.7069609482147
CIV,2023.0,0.489171238041047,0.319413276023028,41.512101899099
CMR,2023.0,0.4856038789901,0.260368466197561,38.738229360373
COD,2023.0,0.560868774413191,0.214130401841211,32.663081371401
COG,2023.0,0.522447247654126,0.24443433914416,36.0993545745017
COL,2023.0,0.405387730559821,0.373337208571654,48.3974739005916
COM,2023.0,0.541041421544341,0.288918497694303,37.3938538074981
CPV,2023.0,0.420444996081811,0.450351528937161,51.4953266427675
CRI,2023.0,0.376483069017729,0.454866858971535,53.9191894976903
CUB,2023.0,0.440582257844168,0.337759848495826,44.8588795325829
CYP,2023.0,0.358536409234039,0.513207474334342,57.7335532550152
CZE,2023.0,0.263808553766165,0.557322209821168,64.6756828027501
DEU,2023.0,0.301488835582132,0.68161124281923,69.0061203618549
DJI,2023.0,0.501747234319754,0.322369580667254,41.031117317375
DMA,2023.0,0.439077888052177,0.51580929381958,53.8365702883702
DNK,2023.0,0.347435104310872,0.765320334627802,70.8942615158465
DOM,2023.0,0.432859946020172,0.361979136022354,46.4559595001091
DZA,2023.0,0.367352335364758,0.345662458864351,48.9155061749796
ECU,2023.0,0.461330351743818,0.333845756550143,43.6257702403162
EGY,2023.0,0.411320703435466,0.350966487347935,46.9822891956235
ERI,2023.0,0.591529924417422,0.213409394367865,31.0939734975221
ESP,2023.0,0.304735938404402,0.524970122070025,61.0117091832812
EST,2023.0,0.33437359477242,0.613021653007678,63.9324029117629
ETH,2023.0,0.522363326258994,0.29283154035766,38.5234107049333
FIN,2023.0,0.280200400598793,0.74559470298101,73.2697151191108
FJI,2023.0,0.453172352239003,0.477107973077222,51.1967810419109
FRA,2023.0,0.304166282673451,0.649031394826828,67.2432556076688
FSM,2023.0,0.62118925547334,0.36705610381182,37.293342416924
GAB,2023.0,0.436301650721289,0.28890535339169,42.6301851335201
GBR,2023.0,0.288055598949617,0.681322595405575,69.6633498227979
GEO,2023.0,0.394291545473852,0.570356721775658,58.8032588150903
GHA,2023.0,0.44767713779848,0.347538790781071,44.9930826491296
GIN,2023.0,0.529128867699774,0.307854967286734,38.936304979348
GMB,2023.0,0.523533496440462,0.328896645456793,40.2681574508166
GNB,2023.0,0.612813055195004,0.276644070680983,33.1915507742989
GNQ,2023.0,0.410022341424303,0.257091995011705,42.3534826793701
GRC,2023.0,0.336942727170887,0.534466292258504,59.8761782543809
GRD,2023.0,0.382845559266962,0.52537747817592,57.1265959454479
GTM,2023.0,0.434283135074688,0.318057253324156,44.1887059124734
GUY,2023.0,0.429963119228701,0.336676386342293,45.3356633556796
HND,2023.0,0.445033865898592,0.260003178694527,40.7484656397968
HRV,2023.0,0.379827797909711,0.492805744919071,55.648897350468
HTI,2023.0,0.509488409313646,0.216355809547699,35.3433700117027
HUN,2023.0,0.353221510745416,0.493617982156558,57.0198235705571
IDN,2023.0,0.43048235737393,0.398129271148448,48.3823456887259
IND,2023.0,0.48459732132666,0.393714361052674,45.4558519863007
IRL,2023.0,0.315577264183443,0.600515099919212,64.2468917867885
IRN,2023.0,0.376243477312997,0.367496068744824,49.5626295715914
IRQ,2023.0,0.436014273233911,0.301188223733444,43.2586975249766
ISL,2023.0,0.322260848379738,0.693499466343527,68.5619308981895
ISR,2023.0,0.289365900016888,0.523852831272241,61.7243465627677
ITA,2023.0,0.341886849901753,0.537360811721265,59.7736980909756
JAM,2023.0,0.421939152214872,0.40680274948609,49.2431798635609
JOR,2023.0,0.36633355765876,0.412804512698868,52.3235477520054
