iso3_a,iso3_b,shared_edges,shared_corners
ABW,VEN,2,2
AFG,CHN,2,2
AFG,IRN,36,52
AFG,PAK,92,137
AFG,TJK,47,67
AFG,TKM,31,44
AFG,UZB,6,8
AGO,COD,88,137
AGO,COG,8,9
AGO,NAM,54,93
AGO,ZMB,39,66
AIA,BLM,1,1
AIA,SXM,1,1
ALA,FIN,7,7
ALA,SWE,1,3
ALB,GRC,14,18
ALB,KOS,5,7
ALB,MKD,6,10
ALB,MNE,6,9
ARE,OMN,22,28
ARE,QAT,4,5
ARE,SAU,25,39
ARG,BOL,30,40
ARG,BRA,37,45
ARG,CHL,211,317
ARG,PRY,71,94
ARG,URY,25,36
ARM,AZE,24,31
ARM,GEO,7,13
ARM,IRN,3,5
ARM,TUR,12,15
ATG,GLP,0,1
ATG,KNA,0,1
ATG,MSR,3,3
AUS,PNG,5,7
AUT,CHE,9,12
AUT,CZE,17,25
AUT,DEU,28,40
AUT,HUN,8,11
AUT,ITA,15,23
AUT,SVK,3,5
AUT,SVN,12,22
AZE,GEO,13,17
AZE,IRN,28,35
AZE,RUS,13,17
BDI,COD,9,13
BDI,RWA,9,12
BDI,TZA,14,19
BEL,DEU,5,6
BEL,FRA,20,26
BEL,LUX,3,4
BEL,NLD,16,25
BEN,BFA,10,14
BEN,NER,7,10
BEN,NGA,27,43
BEN,TGO,26,40
BES,BLM,1,1
BES,CUW,1,2
BES,KNA,2,2
BES,SXM,1,2
BFA,CIV,17,24
BFA,GHA,21,34
BFA,MLI,43,63
BFA,NER,21,29
BFA,TGO,4,6
BGD,IND,83,117
BGD,MMR,6,10
BGR,GRC,18,27
BGR,MKD,6,9
BGR,ROU,31,50
BGR,SRB,12,18
BGR,TUR,8,14
BHR,QAT,2,3
BHR,SAU,3,5
BHS,CUB,2,4
BIH,HRV,39,51
BIH,MNE,8,10
BIH,SRB,9,12
BLM,SXM,1,0
BLR,LTU,19,29
BLR,LVA,9,13
BLR,POL,19,21
BLR,RUS,45,63
BLR,UKR,38,64
BLZ,GTM,11,20
BLZ,HND,2,3
BLZ,MEX,10,12
BOL,BRA,102,151
BOL,CHL,35,48
BOL,PER,34,51
BOL,PRY,33,50
BRA,COL,46,71
BRA,GUF,20,31
BRA,GUY,39,56
BRA,PER,63,90
BRA,PRY,42,66
BRA,SUR,14,22
BRA,URY,35,44
BRA,VEN,64,87
BRN,MYS,15,20
BTN,CHN,18,25
BTN,IND,22,35
BWA,NAM,52,89
BWA,ZAF,69,95
BWA,ZMB,1,2
BWA,ZWE,34,44
CAF,CMR,31,42
CAF,COD,54,77
CAF,COG,15,24
CAF,SDN,16,23
CAF,SSD,26,35
CAF,TCD,46,65
CAN,GRL,7,13
CAN,SPM,3,5
CAN,USA,433,702
CHE,DEU,10,17
CHE,FRA,18,20
CHE,ITA,23,29
CHL,PER,8,12
CHN,HKG,8,13
CHN,IND,88,120
CHN,KAZ,71,100
CHN,KGZ,39,55
CHN,LAO,12,17
CHN,MMR,59,83
CHN,MNG,228,338
CHN,NPL,45,61
CHN,PAK,19,30
CHN,PRK,43,59
CHN,RUS,172,247
CHN,TJK,17,24
CHN,TWN,14,16
CHN,VNM,40,54
CIV,GHA,24,36
CIV,GIN,21,24
CIV,LBR,19,27
CIV,MLI,17,20
CMR,COG,17,26
CMR,GAB,8,16
CMR,GNQ,8,14
CMR,NGA,66,86
CMR,TCD,40,55
COD,COG,65,90
COD,RWA,8,12
COD,SSD,26,34
COD,TZA,22,31
COD,UGA,29,40
COD,ZMB,76,102
COG,GAB,60,84
COL,ECU,21,29
COL,PAN,10,12
COL,PER,44,58
COL,VEN,82,115
CRI,NIC,13,18
CRI,PAN,10,13
CUB,HTI,2,3
CUW,VEN,1,2
CZE,DEU,26,37
CZE,POL,23,32
CZE,SVK,10,14
DEU,DNK,14,23
DEU,FRA,16,23
DEU,LUX,4,5
DEU,NLD,24,28
DEU,POL,17,23
DJI,ERI,5,6
DJI,ETH,12,19
DJI,SOM,6,7
DJI,YEM,2,3
DMA,GLP,1,2
DMA,MTQ,0,1
DNK,SWE,6,10
DOM,HTI,9,15
DZA,ESH,2,4
DZA,LBY,45,63
DZA,MAR,68,97
DZA,MLI,61,77
DZA,MRT,24,29
DZA,NER,49,63
DZA,TUN,41,55
ECU,PER,53,67
EGY,ISR,10,13
EGY,JOR,2,3
EGY,LBY,42,78
EGY,PSE,0,1
EGY,SAU,9,12
EGY,SDN,48,94
ERI,ETH,34,48
ERI,SDN,24,34
ERI,YEM,4,6
ESH,MAR,18,34
ESH,MRT,61,108
ESP,FRA,26,41
ESP,MAR,3,5
ESP,PRT,46,61
EST,FIN,2,5
EST,LVA,18,33
EST,RUS,16,20
ETH,KEN,38,55
ETH,SDN,29,44
ETH,SOM,72,96
ETH,SSD,31,40
FIN,NOR,49,75
FIN,RUS,77,98
FIN,SWE,29,40
FRA,GBR,0,1
FRA,GGY,1,2
FRA,ITA,19,25
FRA,JEY,2,4
FRA,LUX,3,5
GAB,GNQ,14,23
GBR,IMN,2,3
GBR,IRL,18,27
GEO,RUS,36,54
GEO,TUR,9,16
GGY,JEY,3,3
GHA,TGO,27,42
GIN,GNB,15,18
GIN,LBR,15,23
GIN,MLI,31,40
GIN,SEN,12,17
GIN,SLE,23,33
GLP,MSR,0,1
GMB,SEN,31,49
GNB,SEN,14,24
GRC,MKD,10,15
GRC,TUR,34,48
GRD,VCT,1,1
GTM,HND,10,14
GTM,MEX,33,46
GTM,SLV,7,7
