,DZA,AGO,BEN,BWA,BFA,BDI,CMR,CAF,TCD,COG,COD,CIV,DJI,EGY,GNQ,ERI,ETH,GAB,GHA,GIN,GNB,KEN,LSO,LBR,LBY,MDG,MWI,MLI,MRT,MAR,MOZ,NAM,NER,NGA,RWA,SEN,SLE,SOM,ZAF,SDN,SWZ,TZA,TGO,TUN,UGA,ZMB,ZWE,AFG,ARM,AZE,BGD,MMR,KHM,CHN,GEO,IND,IDN,IRN,IRQ,ISR,JPN,JOR,KAZ,LAO,LBN,MYS,MNG,NPL,OMN,PAK,PHL,QAT,SAU,KOR,LKA,SYR,TWN,TJK,THA,TUR,TKM,ARE,UZB,VNM,YEM,ALB,AUT,BLR,BEL,BIH,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,MKD,MDA,MNE,NLD,NOR,POL,PRT,ROU,RUS,SRB,SVK,SVN,ESP,SWE,CHE,UKR,GBR,BHS,CAN,CRI,CUB,DOM,SLV,GTM,HTI,HND,JAM,MEX,NIC,PAN,USA,AUS,NZL,PNG,ARG,BOL,BRA,CHL,COL,ECU,PRY,PER,SUR,URY,VEN
DZA,0.0,2990.9,896.0,4571.9,699.9,3580.3,1186.4,1777.8,424.2,2182.7,2231.9,1335.4,3537.2,1425.9,1808.7,2806.9,2833.9,2105.3,1088.9,1526.1,1719.9,3247.9,5937.1,1868.3,96.8,5675.8,4474.2,101.2,99.5,91.6,4720.5,4166.1,102.7,667.2,3393.8,1372.0,1827.1,3684.8,5343.6,1415.8,5833.6,3522.3,1051.2,89.4,3092.5,4047.4,4755.7,4778.0,3226.5,3310.8,7595.8,8129.6,9513.2,5741.2,2970.4,5771.0,9153.6,3236.4,2868.7,2400.3,9934.3,2474.5,3418.8,8926.3,2498.0,9662.4,6457.6,6690.4,4278.3,4983.0,10704.2,3938.5,2445.4,9607.8,7353.5,2512.4,10242.2,5251.6,8819.9,1687.7,3884.0,4050.5,4172.8,8965.1,3361.0,1133.8,1218.1,2092.6,1445.5,1152.3,1446.7,1019.4,2233.5,1451.0,2014.7,2679.2,2847.3,562.6,1223.1,1102.1,1339.0,3290.8,1845.8,344.9,2457.7,2345.9,1251.6,2046.0,1154.3,1667.9,2446.3,1714.7,696.5,1539.4,2202.1,1282.6,1563.0,1119.5,222.4,2161.0,1112.0,1808.1,1575.1,6480.7,4369.6,7995.4,6754.2,6158.2,8333.3,8235.3,6505.4,7848.8,7077.6,7858.9,7799.5,7604.6,5438.2,10873.9,16502.0,14056.6,7749.0,7277.4,4664.2,8323.3,6776.3,7876.9,7576.8,7509.2,5435.6,8216.4,5841.0
AGO,2990.9,0.0,1822.3,111.2,2342.4,945.4,1000.8,1112.0,1556.7,222.4,109.0,2221.2,3139.9,3364.2,916.8,2953.2,2121.7,351.5,1965.3,2801.5,3595.5,1637.9,1427.9,2632.5,3073.0,2222.4,1085.5,2639.5,3219.4,4488.7,825.5,106.0,2223.9,1343.2,1045.9,3478.2,3083.7,2276.0,846.1,1919.3,1363.7,887.1,1891.9,4126.6,1265.4,106.0,336.2,6001.6,5780.6,5825.2,8044.9,8337.7,9116.6,7484.8,5817.5,5941.3,8107.5,5112.8,4782.2,4447.1,11547.8,4378.4,6385.5,9104.7,4792.6,8697.9,8990.7,7523.1,4417.5,5753.7,10627.0,4826.8,3458.8,11747.7,6614.9,4723.2,10760.2,6983.9,8478.7,4916.9,6064.0,4819.1,6510.3,9227.4,3290.7,5235.2,5893.3,6483.9,6263.8,5560.7,5384.8,5448.6,4811.4,6115.7,6783.5,7173.8,7463.0,5352.9,6005.3,4727.3,5893.3,8206.5,6753.5,4670.2,7020.2,6814.2,5352.9,6011.7,5452.3,6483.9,7236.6,6233.7,5312.0,5702.7,5954.5,5568.0,6116.5,5782.1,4980.6,6894.1,5900.8,5904.3,6479.7,9875.6,8750.3,10770.4,10053.2,9295.9,11360.5,11374.7,9713.1,10947.1,10224.5,11287.4,10811.8,10211.3,9729.0,8899.5,11989.5,12718.9,6937.4,7461.6,4439.5,7876.0,9046.1,9822.1,6971.7,8668.7,7504.1,6893.0,8262.0
BEN,896.0,1822.3,0.0,3474.1,109.0,3197.0,700.3,1331.6,1209.6,1340.5,1735.6,548.3,4255.2,2692.8,743.6,3606.8,3387.9,1023.8,218.7,1093.3,1749.7,3479.7,4812.7,1188.5,1673.7,5279.9,3918.2,444.8,1029.5,2207.8,3936.5,2845.9,111.2,109.0,3126.1,1541.4,1425.6,4287.0,4151.0,2076.5,4820.2,3280.3,109.3,2232.6,3176.9,3134.0,3753.6,6319.1,5215.5,5291.7,9010.9,9479.7,10690.7,7634.2,5045.4,7007.1,10113.9,5065.4,4420.3,3897.0,12389.9,3932.4,5776.2,10316.2,4142.9,10657.3,8759.7,8184.6,5333.7,6348.8,12391.4,5211.3,3840.1,11962.4,8300.9,4169.3,11922.3,7100.6,10134.7,3740.9,5836.9,5293.3,6190.4,10469.0,4250.7,3629.6,4027.4,4835.6,4234.4,3839.6,3912.6,3704.0,3967.2,4262.2,4832.9,5490.1,5667.3,3386.7,4030.2,3369.3,4109.1,6013.7,4557.8,2852.6,5264.0,5124.7,3768.5,4596.0,3779.0,4448.7,5232.3,4505.4,3036.5,4136.6,4957.1,3915.8,4343.0,3922.1,2733.1,4985.4,3910.0,4512.0,4352.0,8033.9,6510.0,9257.4,8259.2,7546.6,9736.4,9697.2,7957.1,9274.6,8504.6,9479.7,9186.0,8752.0,7530.7,11513.7,15238.2,15319.4,7149.0,7177.8,4423.5,8288.9,7714.4,8701.2,7066.1,8187.9,6183.7,7416.6,6792.6
BWA,4571.9,111.2,3474.1,0.0,3992.5,1648.8,2425.7,2506.8,2965.0,1732.6,778.4,3825.2,3876.4,4560.3,2528.5,3897.9,2875.8,1991.4,3597.0,4380.1,5168.9,2207.7,486.5,4164.7,4336.6,1538.7,916.6,4263.5,4867.5,6117.4,308.2,100.4,3692.5,2982.3,1860.6,5077.5,4632.3,2647.7,99.5,3113.5,538.4,1344.4,3540.9,5597.8,2106.0,111.2,103.5,6714.6,6808.3,6814.4,8222.8,8359.5,8946.4,8068.8,6897.7,6036.5,7770.5,5902.2,5752.2,5552.6,11534.8,5466.2,7365.1,9103.8,5898.8,8367.5,9766.6,8020.4,5021.4,6389.3,10266.4,5643.1,4313.5,12012.6,6510.0,5813.0,10670.2,7742.8,8259.9,6123.9,6973.7,5571.7,7440.8,8954.8,4027.8,6561.3,7261.8,7784.3,7724.4,6900.9,6671.7,6795.3,5953.8,7482.5,8172.9,8452.9,8784.4,6804.8,7406.6,6005.5,7228.4,9727.8,8312.5,6079.1,8339.6,8117.2,6671.7,7238.9,6786.0,7938.0,8644.9,7561.3,6963.9,7005.3,7062.1,6894.1,7450.1,7151.6,6632.5,8263.1,7327.6,7064.7,7996.7,11276.0,10397.8,11799.8,11416.7,10650.1,12503.4,12574.6,11053.4,12168.3,11531.3,12575.0,11955.7,11246.5,11359.4,8238.7,11051.4,11951.8,7309.4,8025.9,5119.1,7547.8,9940.3,10588.9,7447.5,9226.6,8580.0,7130.7,9381.2
BFA,699.9,2342.4,109.0,3992.5,0.0,3517.3,1095.1,1577.0,1412.7,1729.0,2073.0,109.3,4456.4,2772.0,1177.2,3787.3,3600.4,1508.7,109.3,328.0,988.6,3712.8,5343.7,551.6,1600.2,5661.0,4299.7,107.7,397.3,1745.1,4382.3,3406.6,107.7,217.9,3415.5,794.4,666.4,4520.6,4697.9,2277.3,5325.4,3616.9,111.2,2051.8,3421.5,3618.2,4249.4,6382.7,5213.0,5290.4,9117.2,9602.9,10842.1,7674.1,5024.9,7132.3,10307.4,5083.3,4456.8,3933.9,12448.2,3981.1,5706.0,10436.4,4158.9,10846.4,8733.0,8274.3,5488.4,6437.9,12492.2,5318.8,3906.0,11942.4,8490.2,4196.6,12020.2,7144.6,10261.9,3699.5,5845.8,5408.4,6199.0,10577.1,4429.7,3481.2,3789.6,4637.9,3929.9,3650.9,3788.8,3513.4,3967.7,4022.9,4549.2,5251.1,5415.7,3119.4,3743.2,3278.2,3894.3,5606.2,4161.5,2671.3,5029.6,4910.0,3620.3,4463.2,3605.9,4129.7,4917.9,4286.1,2512.6,3980.0,4774.0,3743.7,4124.7,3688.8,2170.8,4715.0,3617.5,4327.5,4003.0,7315.9,5924.5,8501.4,7532.3,6809.6,8989.9,8956.9,7225.1,8532.3,7766.3,8763.0,8440.2,7991.1,6905.9,11745.6,15803.6,15504.8,6701.2,6556.2,3768.1,7723.1,6949.3,7942.3,6587.4,7444.1,5418.9,7061.3,6028.7
BDI,3580.3,945.4,3197.0,1648.8,3517.3,0.0,1693.0,1054.8,1756.1,1374.5,110.9,3799.2,2131.5,2891.1,2183.7,2107.9,1111.6,1791.2,3406.0,4390.0,5143.7,555.7,2781.9,4314.5,2723.9,2104.4,799.6,3556.7,4489.5,5166.9,1045.5,1687.7,2663.2,2342.0,111.2,4968.9,4710.6,1242.0,2001.5,1449.8,2455.5,110.9,3301.3,4336.3,333.6,444.8,1334.3,5007.8,5021.7,5023.5,6957.1,7263.3,8146.9,6445.1,5126.4,4902.9,7254.7,4152.4,3961.1,3804.4,10475.8,3707.9,5574.0,8056.9,4147.6,7827.5,8034.6,6461.1,3366.5,4721.6,9735.8,3879.2,2531.2,10685.3,5617.8,4052.7,9728.2,6012.0,7546.9,4447.8,5189.0,3833.7,5653.5,8311.5,2286.5,4977.7,5752.1,6115.7,6329.5,5341.1,5020.2,5255.9,4230.6,5962.4,6660.3,6788.3,7118.6,5436.8,5937.1,4356.6,5629.8,8371.4,7082.6,4684.5,6674.2,6459.9,5053.8,5559.8,5213.3,6524.6,7141.5,5931.8,6012.0,5338.3,5291.7,5287.3,5834.0,5647.1,5485.2,6722.1,5897.0,5345.7,6693.0,11491.4,9756.2,12591.8,11705.4,10974.0,13124.1,13109.5,11394.6,12681.8,11926.6,12938.5,12579.8,12040.9,10835.3,8297.9,12929.1,12250.0,9185.6,9631.5,6609.6,10034.0,10911.7,11756.7,9193.9,10820.4,9359.3,9174.9,10065.0
CMR,1186.4,1000.8,700.3,2425.7,1095.1,1693.0,0.0,110.5,108.6,111.1,333.3,1333.9,3046.1,1610.1,111.0,2388.1,2176.1,111.2,912.9,1909.0,2647.6,2112.7,3780.5,1884.4,1186.4,3821.7,2461.4,1217.4,2045.6,2757.4,2594.0,2223.9,243.6,108.6,1618.7,2472.7,2236.4,2888.3,3168.1,868.4,3654.0,1791.4,806.0,2066.5,1682.0,1939.5,2578.9,5200.0,4272.0,4339.0,7824.0,8277.8,9473.9,6547.7,4153.4,5807.2,8874.8,3993.7,3379.9,2868.7,11249.5,2875.4,4931.7,9115.3,3159.8,9427.9,7794.5,7018.1,4118.3,5190.4,11194.4,4034.8,2720.5,10939.9,7086.0,3156.8,10737.6,6010.5,8929.2,2968.1,4835.2,4107.6,5184.2,9277.7,3034.1,3151.6,3780.6,4411.8,4196.2,3459.0,3341.0,3341.4,3046.9,4003.0,4677.6,5106.2,5368.0,3276.9,3901.9,2712.6,3785.3,6197.9,4804.9,2565.4,4929.3,4736.3,3276.9,4002.4,3358.1,4411.8,5139.7,4139.7,3597.9,3638.9,4176.7,3480.2,4012.6,3669.4,3163.8,4782.2,3809.7,3900.8,4468.5,8995.4,7324.8,10134.4,9208.6,8479.4,10644.6,10620.8,8898.5,10194.3,9433.9,10442.4,10097.0,9604.7,8406.8,10058.2,14334.2,14006.2,7592.7,7721.3,4992.5,8790.4,8524.1,9457.7,7529.0,8806.1,6976.4,7800.4,7627.6
CAF,1777.8,1112.0,1331.6,2506.8,1577.0,1054.8,110.5,0.0,109.3,111.0,110.9,1992.2,1880.9,1372.0,598.3,1482.5,911.3,400.6,1552.1,2550.4,3256.0,893.1,3818.1,2545.6,1112.0,3146.9,1940.6,1636.7,2547.8,3344.0,2188.1,2345.4,797.6,399.1,846.7,3063.2,2880.6,1696.8,3097.2,109.3,3580.6,956.1,1441.9,2598.4,597.2,1591.9,2458.6,4571.4,3945.3,4002.9,6913.6,7296.6,8354.7,5998.9,3915.2,4917.8,7632.2,3486.5,3003.1,2546.5,10442.6,2506.8,4595.6,8128.9,2880.9,8184.3,7375.5,6248.2,3168.8,4427.3,10026.8,3358.6,2041.3,10404.2,5854.7,2836.0,9793.7,5467.9,7833.4,2934.5,4383.7,3400.9,4782.2,8337.4,1965.8,3341.7,4073.9,4559.9,4611.8,3689.7,3448.4,3591.3,2855.4,4290.6,4988.1,5237.4,5559.8,3708.8,4241.7,2781.7,4007.5,6652.9,5346.2,2957.9,5115.0,4893.4,3447.0,4043.0,3570.2,4813.0,5467.0,4336.6,4180.5,3780.6,4019.4,3670.7,4226.4,3965.7,3748.6,5065.3,4187.4,3925.0,4959.8,9569.1,7877.8,10765.9,9793.7,9077.6,11260.2,11226.5,9490.3,10802.4,10035.0,11014.7,10710.6,10245.6,8945.1,8923.8,14054.0,12809.4,8210.9,8385.8,5585.3,9440.9,9177.4,10123.6,8164.1,9479.1,7632.2,8364.0,8272.6
TCD,424.2,1556.7,1209.6,2965.0,1412.7,1756.1,108.6,109.3,0.0,496.8,458.3,1973.8,2122.7,392.9,867.2,1410.3,1363.1,745.4,1577.0,2520.5,3141.4,1580.2,4309.9,2573.5,102.7,3915.3,2648.4,1178.5,2246.4,2007.6,2894.2,2788.5,102.7,108.1,1577.8,2900.2,2850.7,2261.3,3649.4,104.8,4137.1,1726.3,1432.0,1070.9,1349.9,2235.9,3031.9,3970.4,3061.8,3128.0,6647.6,7128.7,8379.2,5312.2,2979.4,4658.5,7917.7,2757.2,2150.5,1648.6,10033.3,1644.3,3729.4,7962.4,1958.6,8443.3,6568.4,5818.0,3047.4,3982.7,10026.8,2847.2,1491.7,9703.4,6099.3,1940.0,9556.8,4775.2,7787.8,1830.4,3603.8,2934.4,3956.5,8107.0,2033.2,2010.3,2670.2,3265.8,3127.8,2335.1,2185.7,2223.9,1889.1,2892.4,3573.9,3959.2,4236.9,2211.4,2802.7,1557.9,2668.7,5157.4,3825.6,1474.4,3794.8,3593.4,2131.2,2846.2,2225.8,3337.7,4041.9,3007.4,2817.7,2488.6,3043.8,2342.3,2891.1,2559.1,2222.2,3673.2,2722.7,2745.0,3445.8,8975.1,6627.5,10469.0,9248.1,8640.0,10825.3,10728.9,8995.8,10341.1,9567.9,10346.1,10288.7,10053.3,7739.4,9500.8,14776.0,13067.9,8429.1,8531.5,5785.6,9624.6,9096.5,10126.4,8368.5,9573.2,7597.3,8621.4,8158.5
COG,2182.7,222.4,1340.5,1732.6,1729.0,1374.5,111.1,111.0,496.8,0.0,110.9,1938.1,2893.5,2281.8,333.5,2415.6,1933.0,111.0,1545.0,2527.2,3283.0,1886.8,3098.2,2436.6,1966.4,3452.1,2089.1,1904.3,2689.7,3741.4,2115.5,1445.5,1240.1,703.0,1338.7,3114.7,2849.1,2666.1,2528.1,1021.1,3041.4,1443.4,1442.1,3117.7,1445.5,1331.1,1962.6,5502.6,4896.9,4955.4,7916.5,8309.7,9376.8,6937.5,4855.4,5904.7,8643.8,4426.7,3956.1,3493.0,11434.1,3458.1,5549.2,9142.8,3823.1,9196.7,8324.9,7214.7,4155.2,5387.0,11046.8,4288.8,2993.5,11339.5,6874.1,3783.8,10805.2,6407.3,8851.6,3809.7,5333.5,4324.9,5735.5,9345.5,2961.8,4119.1,4790.2,5366.5,5239.3,4447.8,4267.6,4336.6,3779.5,5011.9,5696.9,6056.4,6347.2,4319.8,4926.4,3611.4,4781.4,7249.5,5857.9,3595.2,5904.0,5696.9,4236.0,4898.2,4337.7,5452.8,6165.5,5118.5,4592.3,4585.2,4947.5,4452.2,5003.8,4679.3,4216.3,5793.3,4843.5,4791.3,5521.2,9635.6,8147.3,10629.9,9845.0,9111.1,11203.7,11211.1,9532.7,10782.8,10052.2,11082.2,10657.3,10072.8,9177.7,9778.8,13658.9,13731.1,7400.4,7734.9,4773.4,8687.4,8922.3,9764.2,7375.3,8907.5,7374.1,7495.6,8112.5
