iso3,n_cells_1deg,n_cells_fit,cell_mean,cell_sd,cell_p10,cell_p90,cell_min,cell_max,cell_range
AFG,59,59,0.24733118,0.020366905,0.21547026,0.26940382,0.20206574,0.28236871,0.080302969
AGO,109,109,0.20030002,0.013185959,0.18177121,0.21419156,0.16059287,0.21849252,0.057899657
ALB,3,3,0.15748303,0.0022354837,0.15506744,0.16047247,0.15506744,0.16047247,0.0054050294
ARE,8,8,0.22483082,0.0036044311,0.2180957,0.23088636,0.2180957,0.23088636,0.012790665
ARG,284,284,0.10866574,0.010616947,0.092247999,0.12161492,0.082821711,0.13751211,0.054690395
ARM,2,2,0.18833774,0.0049111766,0.18339047,0.19321308,0.18339047,0.19321308,0.0098226165
ATF,4,3,0.14128707,0.00029533997,0.14088445,0.14158462,0.14088445,0.14158462,0.00070016917
AUS,739,731,0.16302097,0.018772029,0.1338452,0.1837,0.11672812,0.19618284,0.079454723
AUT,8,8,0.21029968,0.0088139921,0.19350482,0.21982662,0.19350482,0.21982662,0.026321804
AZE,11,11,0.19504825,0.0075179495,0.1855473,0.20457722,0.18296201,0.20481983,0.021857827
BDI,3,3,0.2088855,0.0014718493,0.20769494,0.21095885,0.20769494,0.21095885,0.003263907
BEL,4,4,0.19516368,0.0035068955,0.19065857,0.19936515,0.19065857,0.19936515,0.0087065841
BEN,9,9,0.20270212,0.0096382786,0.18881593,0.21852865,0.18881593,0.21852865,0.029712717
BFA,23,23,0.21587314,0.0071097705,0.20849224,0.22775868,0.20629185,0.22988734,0.023595498
BGD,14,13,0.11108862,0.0074530787,0.10158105,0.12302284,0.10032207,0.12336386,0.023041792
BGR,16,16,0.16411393,0.00485,0.15803856,0.16850866,0.15043069,0.17072179,0.020291095
BHS,10,5,0.13991083,0.0041138819,0.13429365,0.14467759,0.13429365,0.14467759,0.010383942
BIH,5,5,0.18440933,0.0078645689,0.1750397,0.19459074,0.1750397,0.19459074,0.01955104
BLR,29,29,0.21395039,0.024410282,0.18001619,0.2449187,0.1650491,0.2565969,0.091547801
BLZ,2,2,0.056412875,0.0040075275,0.05239464,0.060409724,0.05239464,0.060409724,0.0080150835
BOL,93,93,0.10781469,0.018756383,0.081302379,0.13057145,0.072487473,0.14892979,0.076442314
BRA,719,718,0.16469596,0.026354458,0.1305869,0.20222535,0.10753365,0.2147478,0.10721416
BRN,1,1,0.14531691,0,0.14531691,0.14531691,0.14531691,0.14531691,0
BTN,2,2,0.13318162,0.0012659889,0.13191563,0.13444761,0.13191563,0.13444761,0.0025319778
BWA,51,51,0.15541866,0.0063626205,0.14694144,0.16527537,0.14336969,0.16846989,0.025100203
CAF,51,51,0.18403786,0.013433648,0.16484257,0.20062104,0.15748354,0.21118528,0.053701742
CAN,1932,1918,0.25219301,0.063409904,0.16793461,0.33631593,0.12968417,0.3771285,0.24744433
CHE,5,5,0.20255139,0.0048119176,0.19613252,0.20817749,0.19613252,0.20817749,0.012044967
CHL,100,98,0.099307152,0.011927372,0.082099446,0.11429727,0.078639886,0.11848822,0.039848333
CHN,968,966,0.18801127,0.059242828,0.11067555,0.26672027,0.091316025,0.30028967,0.20897364
CIV,28,28,0.20772848,0.0051749655,0.20224978,0.21575536,0.20193587,0.21923508,0.017299206
CMR,40,40,0.166362,0.012481873,0.15555362,0.18286725,0.15483055,0.20940578,0.05457523
COD,188,188,0.19859795,0.0089235075,0.18413438,0.20688161,0.17122954,0.20848612,0.03725658
COG,31,31,0.17042209,0.0080320083,0.15972239,0.18023895,0.15680011,0.18780745,0.031007337
COL,95,95,0.13225011,0.004473382,0.12667371,0.13944981,0.12587879,0.14150669,0.015627893
CRI,7,7,0.10130466,0.0060761,0.091312469,0.10894067,0.091312469,0.10894067,0.017628196
CUB,16,15,0.12305618,0.0080919241,0.11045617,0.12953088,0.10190379,0.13095432,0.029050539
CYP,2,2,0.14075176,0.00047844923,0.14027623,0.14123314,0.14027623,0.14123314,0.00095691633
CZE,11,11,0.19293607,0.0085510174,0.18310883,0.20435178,0.17410877,0.20450412,0.030395348
DEU,50,50,0.19552601,0.011455756,0.18189633,0.21186341,0.18024111,0.21857207,0.038330967
DJI,1,1,0.20035987,0,0.20035987,0.20035987,0.20035987,0.20035987,0
DMA,1,1,0.16002326,0,0.16002326,0.16002326,0.16002326,0.16002326,0
DNK,12,11,0.19194038,0.0042905984,0.18765527,0.19695549,0.18359905,0.19741313,0.013814085
DOM,7,7,0.1547842,0.003656091,0.15128145,0.16151843,0.15128145,0.16151843,0.01023698
DZA,217,217,0.24027006,0.01285112,0.22180421,0.25572616,0.19834005,0.26107949,0.062739436
ECU,24,23,0.12529388,0.0066264631,0.11483191,0.13238908,0.10882953,0.13407857,0.025249041
EGY,92,92,0.15478519,0.017780731,0.13275185,0.17944081,0.12571088,0.18558385,0.059872965
ERI,14,14,0.20315322,0.0046589188,0.19845226,0.20920208,0.19286632,0.21015604,0.017289726
ESH,27,27,0.26133085,0.0064729166,0.25066121,0.2673289,0.24299877,0.26794855,0.024949782
ESP,60,60,0.19118696,0.010895887,0.18076591,0.20071976,0.17222625,0.25018185,0.077955597
EST,9,9,0.25938076,0.0030523874,0.25259962,0.26182746,0.25259962,0.26182746,0.0092278442
ETH,92,92,0.20769927,0.0062487493,0.20041926,0.21522729,0.19148973,0.21976676,0.028277025
FIN,67,67,0.2349857,0.017072048,0.21256028,0.25787183,0.20021853,0.25915793,0.0589394
FJI,7,3,0.14276358,0.003686807,0.13861979,0.14756709,0.13861979,0.14756709,0.0089472979
FLK,4,4,0.13060363,0.002745262,0.12639227,0.13393523,0.12639227,0.13393523,0.0075429628
FRA,72,71,0.19167775,0.0065710432,0.1823116,0.19814261,0.17681356,0.20460891,0.027795356
GAB,22,22,0.16553932,0.0044045925,0.16006644,0.17169805,0.15852944,0.17340814,0.014878703
GBR,47,47,0.16309409,0.016993727,0.13624139,0.18114507,0.13239537,0.18595203,0.053556658
GEO,9,9,0.17014653,0.010245817,0.15020906,0.18250361,0.15020906,0.18250361,0.032294551
GHA,19,19,0.19925457,0.0035119977,0.19514622,0.2045228,0.19328608,0.20736084,0.014074754
GIN,21,21,0.22751348,0.0059521001,0.21994656,0.23411473,0.21527375,0.23881683,0.023543088
GLP,1,1,0.16273394,0,0.16273394,0.16273394,0.16273394,0.16273394,0
GMB,1,1,0.24338823,0,0.24338823,0.24338823,0.24338823,0.24338823,0
GNB,4,4,0.23319972,0.0029562895,0.23001986,0.23786817,0.23001986,0.23786817,0.0078483021
GNQ,4,3,0.16354707,0.00107077,0.1623471,0.16494763,0.1623471,0.16494763,0.002600531
GRC,27,23,0.14163851,0.010101601,0.13084966,0.15852915,0.12517947,0.1598792,0.034699721
GRL,729,720,0.18262308,0.052556403,0.11803217,0.25283761,0.091914879,0.28078945,0.18887457
GTM,11,11,0.050813616,0.0089519149,0.041283792,0.062624735,0.037426015,0.066728538,0.029302523
GUF,7,7,0.15889004,0.0037993804,0.15218018,0.16433847,0.15218018,0.16433847,0.012158292
GUY,18,18,0.14458435,0.0019098992,0.14222939,0.14852868,0.14155352,0.14880409,0.0072505742
HND,9,9,0.08078933,0.0067269137,0.069176592,0.093101314,0.069176592,0.093101314,0.023924722
HRV,10,9,0.18952185,0.014051194,0.1590351,0.20744252,0.1590351,0.20744252,0.048407424
HTI,5,5,0.14216341,0.0045624779,0.13533386,0.14791657,0.13533386,0.14791657,0.012582711
HUN,11,11,0.18683466,0.010795775,0.17200799,0.20044989,0.17005906,0.20242703,0.032367963
IDN,242,216,0.13659946,0.011639796,0.11954118,0.15308288,0.10833345,0.15782381,0.049490359
IND,293,290,0.12279875,0.013132659,0.10609406,0.1414523,0.099939038,0.16823696,0.06829792
IRL,13,13,0.1678619,0.0038447271,0.16408256,0.17208691,0.15766039,0.1723302,0.014669806
IRN,161,161,0.25326599,0.025071517,0.21660414,0.28283246,0.18866267,0.28834183,0.099679161
IRQ,44,44,0.17633491,0.017910308,0.15431169,0.19883994,0.13685232,0.21141289,0.074560576
ISL,24,24,0.12736783,0.010676195,0.11371544,0.1397377,0.10614453,0.14733344,0.04118891
ISR,2,2,0.12897303,0.0015273749,0.12745364,0.13050843,0.12745364,0.13050843,0.0030547917
ITA,41,40,0.18232893,0.019830455,0.15199041,0.20801755,0.14937951,0.21748495,0.068105441
JAM,1,1,0.12861876,0,0.12861876,0.12861876,0.12861876,0.12861876,0
JOR,9,9,0.12416227,0.0027251259,0.12129527,0.13034125,0.12129527,0.13034125,0.0090459743
JPN,61,55,0.13484212,0.011859754,0.12068724,0.15299747,0.11951687,0.15478414,0.035267269
KAZ,332,328,0.26071793,0.016119742,0.2390522,0.28277206,0.22423865,0.29699752,0.072758875
KEN,48,48,0.21062387,0.0051655424,0.20136587,0.21507189,0.19757675,0.21557288,0.017996134
KGZ,25,25,0.27185405,0.01340754,0.25232794,0.28728459,0.23710194,0.28835603,0.051254091
KHM,15,15,0.12397653,0.003823753,0.11903222,0.13112934,0.11737147,0.13134956,0.01397809
KOR,16,14,0.14512934,0.0040488087,0.14004678,0.1510077,0.13970425,0.15280724,0.013102992
KOS,2,2,0.16838118,0.00054026751,0.16784091,0.16892145,0.16784091,0.16892145,0.001080535
KWT,2,2,0.21741541,0.0060637116,0.21132229,0.22344986,0.21132229,0.22344986,0.012127565
LAO,20,20,0.11990553,0.0030943401,0.11519604,0.1235479,0.11405942,0.12413293,0.010073512
LBN,1,1,0.13240722,0,0.13240722,0.13240722,0.13240722,0.13240722,0
LBR,8,8,0.2160061,0.0036193195,0.20989156,0.22005583,0.20989156,0.22005583,0.010164269
LBY,151,151,0.19059949,0.034469379,0.13685809,0.23468632,0.12175067,0.24544086,0.12369019
LKA,7,7,0.13450143,0.0047740725,0.12689747,0.14097416,0.12689747,0.14097416,0.014076682
LSO,3,3,0.1612903,0.0025356868,0.15849856,0.16464624,0.15849856,0.16464624,0.0061476712
LTU,8,8,0.22162227,0.0083208873,0.20873169,0.23069995,0.20873169,0.23069995,0.021968268
LVA,11,11,0.24661632,0.006203953,0.23981463,0.25449633,0.23678898,0.25747647,0.020687494
MAR,40,40,0.24184559,0.01378524,0.2201213,0.25832094,0.20935415,0.25953653,0.050182385
MDA,4,4,0.15544943,0.0011025579,0.15359692,0.15640347,0.15359692,0.15640347,0.0028065525
MDG,59,58,0.18135448,0.0093585245,0.16964302,0.1947057,0.16924099,0.19776647,0.028525481
MEX,194,194,0.040657196,0.029114511,-0.0011284974,0.068314444,-0.015180798,0.13805218,0.15323298
MKD,3,3,0.16410995,0.00037160735,0.16359558,0.16446046,0.16359558,0.16446046,0.00086487635
MLI,105,105,0.2478267,0.013332183,0.22998965,0.26483462,0.21481437,0.26903004,0.054215672
MMR,65,62,0.10898679,0.0072797932,0.099079248,0.11878693,0.094938268,0.12789255,0.032954277
MNE,2,2,0.16436669,0.0017972028,0.16256948,0.16616389,0.16256948,0.16616389,0.0035944056
MNG,183,183,0.27329207,0.012205028,0.25556173,0.29054299,0.24293946,0.29905688,0.056117414
MOZ,72,72,0.1728238,0.010900797,0.1583309,0.18556541,0.14451,0.19358429,0.049074289
MRT,91,91,0.2597916,0.011933496,0.23682311,0.2700692,0.22907173,0.27136039,0.042288664
MUS,3,1,0.17904696,0,0.17904696,0.17904696,0.17904696,0.17904696,0
MWI,10,10,0.18854099,0.011412956,0.17819869,0.20879292,0.17370073,0.20879292,0.035092183
MYS,33,33,0.14354714,0.003878384,0.13708479,0.14799081,0.13490805,0.15148088,0.016572831
NAM,75,75,0.17785319,0.011925471,0.16420886,0.19410519,0.15521002,0.20281856,0.047608537
NCL,5,4,0.13606183,0.0043676519,0.13008276,0.14196187,0.13008276,0.14196187,0.011879112
NER,99,99,0.2385607,0.0097338347,0.22528331,0.25055305,0.2164904,0.2549472,0.038456797
NGA,75,75,0.20301094,0.02040874,0.1751103,0.23213043,0.16837024,0.237892,0.069521752
NIC,13,13,0.092286096,0.0069150918,0.083861029,0.10169509,0.080224702,0.10504104,0.024816334
NLD,6,6,0.18877546,0.0017598739,0.1867627,0.19226619,0.1867627,0.19226619,0.0055034871
NOR,77,72,0.20191951,0.010998093,0.18548948,0.216531,0.17872878,0.21953592,0.040807142
NPL,14,14,0.12394104,0.0028811013,0.12055574,0.12780803,0.11922299,0.12876876,0.009545767
NZL,41,40,0.10027094,0.0099233481,0.090126187,0.11664154,0.087612687,0.12311953,0.035506841
OMN,31,31,0.20346603,0.010794376,0.19268688,0.2170527,0.18995945,0.23660769,0.046648245
PAK,84,84,0.17994962,0.027088988,0.146983,0.21925938,0.14051069,0.2537875,0.11327681
PAN,9,9,0.12161241,0.0054877682,0.1128721,0.12898891,0.1128721,0.12898891,0.016116811
PER,110,110,0.10234702,0.014777868,0.083122897,0.12402074,0.072777473,0.1283152,0.055537727
PHL,47,43,0.16029541,0.007022282,0.150288,0.17064582,0.14587209,0.17344167,0.027569575
PNG,59,53,0.13861754,0.0050812727,0.13240616,0.14767928,0.1316533,0.14966378,0.018010486
POL,43,43,0.18403613,0.015081381,0.16323481,0.20437927,0.15730378,0.21387801,0.056574238
PRK,15,15,0.18064346,0.01630993,0.15540364,0.20265338,0.15538561,0.20366025,0.048274646
PRT,14,12,0.18468179,0.01168434,0.16032305,0.19330708,0.159152,0.19631461,0.037162607
PRY,36,36,0.12268223,0.0061858127,0.1140244,0.13005169,0.10915404,0.13383589,0.02468185
PYF,20,1,0.20013419,0,0.20013419,0.20013419,0.20013419,0.20013419,0
QAT,2,2,0.23147879,0.0013564832,0.2301223,0.23283527,0.2301223,0.23283527,0.0027129665
REU,1,1,0.18053996,0,0.18053996,0.18053996,0.18053996,0.18053996,0
ROU,26,26,0.16264914,0.0068812736,0.15418641,0.17241752,0.15358827,0.17809933,0.02451106
RUS,3095,3079,0.26217328,0.040825928,0.21262267,0.32012618,0.13869247,0.36334459,0.22465212
RWA,4,4,0.20845953,0.0009885191,0.20728292,0.20996087,0.20728292,0.20996087,0.002677948
SAU,177,175,0.19128856,0.029084844,0.14432871,0.2219874,0.1225172,0.22885116,0.10633395
SDN,161,161,0.20487306,0.01356464,0.18698092,0.22138332,0.1678386,0.22609451,0.058255906
SEN,17,17,0.24097869,0.0050361177,0.23427871,0.24765793,0.23391233,0.25198397,0.018071639
SGS,4,2,0.17585536,0.00028606236,0.17556929,0.17614142,0.17556929,0.17614142,0.00057212472
SJM,40,37,0.23224008,0.0042335207,0.22590291,0.23770797,0.22458015,0.23982281,0.015242658
SLB,11,7,0.15051668,0.001696752,0.14748203,0.15266267,0.14748203,0.15266267,0.0051806427
SLE,6,6,0.22372061,0.0016073077,0.22149787,0.22600347,0.22149787,0.22600347,0.0045055948
SLV,2,2,0.069480909,0.0027294964,0.066751412,0.072210405,0.066751412,0.072210405,0.0054589928
SOM,54,54,0.19588332,0.0048664209,0.18876069,0.20214521,0.18721637,0.2052654,0.018049027
SRB,8,8,0.17778289,0.0046201556,0.17252076,0.18587908,0.17252076,0.18587908,0.013358321
SSD,49,49,0.21590775,0.0057412696,0.20687793,0.22339452,0.20428616,0.22542777,0.021141617
SUR,13,13,0.14991778,0.0030357322,0.14664512,0.15430583,0.14640229,0.15668133,0.010279042
