iso3,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share
ABW,4,3017.81,-70,12.5,12.5,12.375,12.625,0.125,1,25.1386,0,25.1386,25.1386,25.1386,0.972222,0.500242,0,1,0,0,0,B,1
AFG,1001,642217,65.9352,33.8038,33.8038,29.625,38.375,2.11048,0.0019653,1799.82,1093.74,576.971,3316.32,5650.34,0,1,0,0.676528,0.0245095,0.241766,0.0571965,B,0.676528
AGO,1699,1.28073e+06,17.4435,-12.2843,12.2843,-17.875,-4.625,3.22673,0.0307466,1066.91,373.374,503.598,1463.54,2252.76,0.0226277,0.996444,0.394175,0.222992,0.382833,0,0,A,0.394175
AIA,6,4401.26,-63.1248,18.3333,18.3333,18.125,18.625,0.171776,1,14.4804,2.91645,12.1458,16.8122,17.3954,0.962963,0.500122,1,0,0,0,0,A,1
ALA,23,8835.64,20.2994,60.1896,60.1896,59.875,60.625,0.235569,0.652474,10.9899,9.4299,2.10378,24.0751,39.498,0.78744,0.564025,0,0,0,1,0,D,1
ALB,57,33208.6,19.9731,41.0561,41.0561,39.625,42.375,0.734368,0.123164,639.115,490.858,49.0826,1308.58,2047.37,0.179337,1,0,0,0.63393,0.36607,0,C,0.63393
ARE,153,107935,53.9508,24.0799,24.0799,22.625,25.875,0.791318,0.201285,112.107,110.111,15.1169,166.062,1364.7,0.242556,0.863482,0,1,0,0,0,B,1
ARG,4590,2.85528e+06,-64.7249,-34.944,34.944,-55.125,-21.875,7.53802,0.0285403,710.923,1058.08,55.64,1757.4,6199.41,0.0284677,0.99499,0.000737807,0.559662,0.403084,0.00999524,0.0265209,B,0.559662
ARM,52,30627,44.9018,40.3393,40.3393,39.125,41.125,0.542331,0,1857.54,591.876,975.256,2602.02,3699.75,0,1,0,0.365707,0,0.634293,0,D,0.634293
ASM,9,6748.51,-169.934,-13.956,13.956,-14.625,-11.125,1.01858,1,191.648,152.34,78.0096,344.218,406.733,0.962963,0,,,,,,,
ATF,54,28629.2,63.8664,-45.5192,45.5192,-50.125,-11.625,9.95714,0.717733,239.546,209.978,22.5864,543.592,1000.91,0.703704,0.656062,0,0,0,0,1,E,1
ATG,8,5907.01,-61.8753,17.1559,17.1559,16.875,17.625,0.291318,1,19.6108,10.9509,4.94377,30.0046,30.8413,0.916667,0.499409,1,0,0,0,0,A,1
