design,family,metric,buffer_km,n_folds,fold_size_min,fold_size_max,fold_mean_outcome_sd,unseen_levels,nearest_train_km_median,share_train_within_500km,mean_n_train,cv_r2,cv_rmse,cv_mae,fold_rmse_median,fold_rmse_max,calibration_slope,moran_cv,cv_r2_reference_rule
random_10fold,random,centroid,,10,15,16,0.0084443,1,479.08,0.5298,135.89,0.42835,0.035223,0.02745,0.034369,0.04624,0.8018,0.21894,0.42511
loo_unbuffered,loo,centroid,,151,1,1,0.046741,1,470.76,0.54967,150,0.48511,0.033428,0.026419,0.021949,0.089873,0.87203,0.23099,0.48173
continent_lo,region,centroid,,6,3,47,0.034644,152,2309.9,0.033113,115.09,-0.40147,0.055151,0.044863,0.044341,0.07401,0.22,0.65505,-1.2004
m49_subregion_lo,region,centroid,,20,1,15,0.041424,12,1082.5,0.11921,141.35,0.30297,0.038894,0.031822,0.039806,0.065428,0.76681,0.30026,0.17156
latitude_bands,gradient,centroid,,5,21,38,0.018375,1,875.07,0.1457,119.43,0.24215,0.040555,0.032338,0.04031,0.046143,0.66778,0.24338,0.24031
kmeans_6,cluster,centroid,,6,17,38,0.034215,29,2300.5,0,123.92,0.25447,0.040224,0.032694,0.038653,0.053284,0.87002,0.51909,-0.10581
kmeans_8,cluster,centroid,,8,3,38,0.037147,18,2079.4,0.02649,126.68,0.21502,0.041275,0.033535,0.043635,0.050877,0.77717,0.50336,-0.057334
kmeans_10,cluster,centroid,,10,3,38,0.03795,18,1808.6,0.013245,129.71,0.15909,0.04272,0.035163,0.044571,0.052996,0.67303,0.46354,-0.11325
kmeans_12,cluster,centroid,,12,2,37,0.039226,4,1784.4,0,131.75,0.17585,0.042292,0.034894,0.044773,0.065428,0.70585,0.43411,0.14591
kmeans_15,cluster,centroid,,15,1,36,0.045605,1,1395.4,0.019868,134.48,0.076977,0.044757,0.037229,0.046507,0.072354,0.57434,0.39755,0.077931
centroid_buffered_loo_500km,buffered,centroid,500,151,1,1,0.046741,1,683.07,0,148.53,0.4425,0.034784,0.027826,0.024523,0.089873,0.84435,0.25362,0.43912
border_buffered_loo_500km,buffered,border,500,151,1,1,0.046741,1,597.2,0,142.72,0.21198,0.041355,0.033203,0.029368,0.095952,0.66027,0.3266,0.2086
centroid_buffered_loo_1000km,buffered,centroid,1000,151,1,1,0.046741,1,1103.7,0,144.87,0.32218,0.038355,0.031127,0.027517,0.089873,0.74571,0.31717,0.3188
border_buffered_loo_1000km,buffered,border,1000,151,1,1,0.046741,2,1050.7,0,137.35,0.072391,0.044868,0.036736,0.034655,0.11037,0.55321,0.35691,0.082316
centroid_buffered_loo_1500km,buffered,centroid,1500,151,1,1,0.046741,1,1559.2,0,139.87,0.22525,0.041005,0.033396,0.031739,0.09368,0.66933,0.34746,0.2209
border_buffered_loo_1500km,buffered,border,1500,151,1,1,0.046741,3,1556.7,0,130.52,-0.075622,0.048316,0.039954,0.036029,0.13326,0.44437,0.37611,-0.063296
centroid_buffered_loo_2000km,buffered,centroid,2000,151,1,1,0.046741,1,2050.8,0,134.33,0.15174,0.042906,0.03483,0.032775,0.095963,0.61755,0.34583,0.14813
border_buffered_loo_2000km,buffered,border,2000,151,1,1,0.046741,9,2061.4,0,123.84,-0.14384,0.049824,0.040248,0.032845,0.12011,0.37727,0.47081,-0.23064
m49_subregion_lo_buffer500km,region,centroid,500,20,1,15,0.041424,12,1096.4,0,139.81,0.29348,0.039158,0.032031,0.040083,0.065428,0.75332,0.30867,0.16204
kmeans_10_buffer500km,cluster,centroid,500,10,3,38,0.03795,18,1808.6,0,129.49,0.15947,0.04271,0.035169,0.044314,0.052996,0.67311,0.4613,-0.11286
m49_subregion_lo_buffer1000km,region,centroid,1000,20,1,15,0.041424,12,1449.9,0,134.94,0.27575,0.039646,0.032687,0.040311,0.065428,0.74147,0.34478,0.14659
kmeans_10_buffer1000km,cluster,centroid,1000,10,3,38,0.03795,18,2058.8,0,126.92,0.12106,0.043675,0.036,0.043513,0.053424,0.63099,0.47562,-0.15049
