a,b,frozen_km,witness_km,a_lat,a_lon,b_lat,b_lon
DZA,FRA,562.6,484.66516933276284,37.125,7.625,41.375,8.875
BEN,CIV,548.3,425.5790688650934,10.375,0.875,9.375,-2.875
BWA,SWZ,538.4,464.5393076701191,-22.375,28.875,-25.875,31.375
BFA,LBR,551.6,469.97942612806924,10.375,-5.375,7.625,-8.625
BDI,KEN,555.7,448.93604369481807,-2.375,30.375,-0.875,34.125
CAF,GNQ,598.3,496.6674484224814,4.125,15.125,2.125,11.125
CAF,UGA,597.2,484.21222208393,5.375,27.125,3.625,31.125
COD,SDN,556.0,431.33487319290157,5.125,25.375,8.875,24.375
CIV,SEN,639.6,489.0509760730683,9.875,-8.125,12.625,-11.625
DJI,SAU,556.0,397.4758694575376,12.625,43.125,16.125,42.375
EGY,IRQ,581.6,479.61504928783285,30.875,34.375,32.375,39.125
KEN,SDN,676.2,492.25193685869834,5.375,35.375,9.625,34.125
LSO,MOZ,515.2,423.428045592972,-29.125,29.125,-26.625,32.375
MLI,MAR,535.6,416.2677317546862,24.875,-6.375,27.875,-8.875
MLI,TGO,548.2,459.3971632242704,14.375,-2.125,10.875,0.125
MRT,ESP,597.1,319.13720345908996,25.875,-11.875,28.125,-13.875
SDN,YEM,540.5,441.86558919218805,18.375,38.875,15.625,41.875
SWZ,ZWE,556.0,416.98155087574844,-25.875,31.375,-22.125,31.375
TUN,FRA,556.0,416.98155087574855,37.625,8.875,41.375,8.875
TUN,ESP,622.4,463.4558114615479,37.625,8.875,39.875,4.375
AZE,SYR,550.5,343.94151465339064,39.125,45.375,37.125,42.375
AZE,UZB,597.7,475.52261690873996,40.375,50.625,41.375,56.125
MMR,IDN,598.0,393.07222902430647,8.875,97.875,5.375,97.375
MMR,MYS,598.0,338.33418723841896,8.875,97.875,6.375,99.625
KHM,CHN,595.6,435.70685282584907,14.375,107.375,15.875,111.125
KHM,MYS,566.8,420.5991938394279,9.875,102.875,6.125,102.375
CHN,PHL,637.2,495.86209017356134,24.625,118.875,21.125,121.875
GEO,IRQ,556.0,469.6697005386215,41.125,46.375,37.125,44.625
GEO,KAZ,525.8,412.1056677363691,41.875,46.375,44.375,50.125
GEO,SYR,556.0,476.9654055767186,41.375,43.125,37.125,42.375
