Country,warming_trend,cum_co2_per_capita,cum_co2_total,abs_latitude,elevation,continentality,climate_zone,hemisphere,spatial_block,income_group,population,station_density,fitted,residual,leverage,studentized,cooks_d,iso3,station_trend,people_trend,area_cell_coverage,n_cities,station_lon,station_lat,era5_trend,n_cells_15min,land_area_km2,centroid_lon,centroid_lat,abs_centroid_lat,lat_min,lat_max,lat_sd_area_weighted,coastal_cell_fraction,elev_mean_m,elev_sd_m,elev_p10_m,elev_p90_m,elev_max_m,elev_below_sea_fraction,koppen_classified_fraction,koppen_share_A,koppen_share_B,koppen_share_C,koppen_share_D,koppen_share_E,koppen_area_dominant,koppen_area_dominant_share,n_cells_1deg,n_cells_fit,cell_mean,cell_sd,cell_p10,cell_p90,cell_min,cell_max,cell_range,m49_subregion,m49_region,abs_residual,sq_share,era5_minus_berkeley,station_minus_area,station_lat_minus_centroid_lat,log10_land_area,koppen_modal_vs_area_mismatch,lisa_v1_local_i,lisa_v1_p,lisa_v1_quadrant,lisa_v1_label,lisa_area_label
Algeria,0.24027006,92.058775,3536.362,35.206,314.59504,148.41535,C,N,Africa,Upper-middle-income countries,38414176,0,0.20959891,0.030671152,0.15325591,1.1061874,0.01105482,DZA,0.22397661,0.22024643,1,5,3.518,35.206,0.35544803,3437,2333330,2.69127,28.1258,28.1258,19.125,37.125,4.30552,0.0114434,558.667,318.468,235.062,1046.07,2478.13,0.0108945,0.99894,0,0.959043,0.0409568,0,0,B,0.959043,217,217,0.24027006,0.01285112,0.22180421,0.25572616,0.19834005,0.26107949,0.062739436,Northern Africa,Africa,0.030671152,0.0078958244,0.11517798,-0.016293447,7.0802,6.3679762,True,0.27736211,0.481,HH,ns,ns
Angola,0.20030002,18.748689,490.571,12.32,447.00634,160.7492,C,S,Africa,Lower-middle-income countries,26165616,0.33333333,0.15260545,0.047694569,0.13419805,1.7121515,0.022388528,AGO,0.15211635,0.15316139,1,6,14.396667,-12.32,0.15835595,1699,1280730,17.4435,-12.2843,12.2843,-17.875,-4.625,3.22673,0.0307466,1066.91,373.374,503.598,1463.54,2252.76,0.0226277,0.996444,0.394175,0.222992,0.382833,0,0,A,0.394175,109,109,0.20030002,0.013185959,0.18177121,0.21419156,0.16059287,0.21849252,0.057899657,Middle Africa,Africa,0.047694569,0.019093043,-0.041944065,-0.048183669,0.0357,6.1074576,True,-1.0432887,0.078,HL,ns,ns
Benin,0.20270212,6.2614678,67.053,8.5716667,170.68034,259.15677,A,N,Africa,Lower-middle-income countries,10708831,1.3333333,0.19191162,0.010790497,0.064917945,0.36879411,0.00047525513,BEN,0.14898984,0.14542013,1,6,2.4366667,8.5716667,0.24974222,152,115754,2.3526,9.65343,9.65343,6.375,12.125,1.54728,0.0265389,266.705,112.49,105.9,394.512,640.854,0.0131579,1,0.954274,0.0457255,0,0,0,A,0.954274,9,9,0.20270212,0.0096382786,0.18881593,0.21852865,0.18881593,0.21852865,0.029712717,Western Africa,Africa,0.010790497,0.00097728268,0.047040099,-0.053712273,-1.0817633,5.063536,False,0.039319486,0.766,HH,ns,ns
Botswana,0.15541866,50.707086,108.548,24.92,1113.007,607.13205,B,S,Africa,Upper-middle-income countries,2140687,0,0.21159824,-0.056179577,0.14938839,-2.0441998,0.035825294,BWA,0.13184454,0.13184454,1,1,26.6,-24.92,0.15255012,811,579983,23.8387,-22.1526,22.1526,-26.625,-17.875,2.11233,0,1031.15,102.083,924.069,1169.45,1397.12,0,1,0,1,0,0,0,B,1,51,51,0.15541866,0.0063626205,0.14694144,0.16527537,0.14336969,0.16846989,0.025100203,Southern Africa,Africa,0.056179577,0.026490749,-0.0028685424,-0.023574116,2.7674,5.7634153,False,1.0465537,0.126,LL,ns,ns
Burkina Faso,0.21587314,2.1712974,38.422,11.25,328.78624,663.80047,A,N,Africa,Low-income countries,17695411,0,0.21990562,-0.0040324857,0.065496974,-0.13780169,6.7047733e-05,BFA,0.16359839,0.16343274,1,2,-2.865,11.25,0.27033968,366,276301,-1.75394,12.2834,12.2834,9.625,14.875,1.18712,0,298.279,49.3622,251.954,342.915,625.556,0,1,0.449873,0.550127,0,0,0,B,0.550127,23,23,0.21587314,0.0071097705,0.20849224,0.22775868,0.20629185,0.22988734,0.023595498,Western Africa,Africa,0.0040324857,0.00013648439,0.054466542,-0.052274751,-1.0334,5.4413825,True,-0.065610055,0.174,LH,ns,ns
Burundi,0.2088855,0.90982711,9.498,4.02,1952.4253,1019.9678,A,S,Africa,Low-income countries,10439346,2,0.18952329,0.019362206,0.13025844,0.68704802,0.0035490629,BDI,0.15324761,0.15324761,1,1,29.73,-4.02,0.21510408,35,26998.9,29.8965,-3.38197,3.38197,-4.375,-2.375,0.49454,0,1465.76,384.318,780.976,1933.64,2363.75,0,1,0.771451,0,0.228549,0,0,A,0.771451,3,3,0.2088855,0.0014718493,0.20769494,0.21095885,0.20769494,0.21095885,0.003263907,Eastern Africa,Africa,0.019362206,0.0031466394,0.0062185873,-0.055637882,0.63803,4.4313461,False,0.10974194,0.642,HH,ns,ns
Cameroon,0.166362,9.4873565,203.052,6.4846667,373.34878,394.90289,A,N,Africa,Lower-middle-income countries,21402379,1.8,0.19806689,-0.031704892,0.065125919,-1.0880746,0.0041179285,CMR,0.13092896,0.15170233,1,15,11.604667,6.4846667,0.13847438,613,470947,12.667,5.6809,5.6809,1.875,12.875,2.43562,0.0163786,640.22,321.841,267.71,1039.87,2905.77,0.0174008,1,0.948529,0.0514707,0,0,0,A,0.948529,40,40,0.166362,0.012481873,0.15555362,0.18286725,0.15483055,0.20940578,0.05457523,Middle Africa,Africa,0.031704892,0.0084370355,-0.027887621,-0.035433046,0.80376667,5.672972,False,0.52101726,0.201,LL,ns,ns
Central African Republic,0.18403786,1.9496285,9.051,4.02,362.7323,969.56231,A,N,Africa,Low-income countries,4642423,0,0.22232434,-0.038286476,0.10342268,-1.3449073,0.01036835,CAF,0.11234196,0.11234196,1,1,18.48,4.02,0.10304187,812,623106,20.4563,6.58242,6.58242,2.625,10.875,1.63018,0,593.078,142.335,423.981,757.865,1246.58,0,1,0.971945,0.0280546,0,0,0,A,0.971945,51,51,0.18403786,0.013433648,0.16484257,0.20062104,0.15748354,0.21118528,0.053701742,Middle Africa,Africa,0.038286476,0.012303484,-0.080995991,-0.071695903,-2.56242,5.7945619,False,0.5773464,0.232,LL,ns,ns
Chad,0.20350914,1.7452968,23.895,8.84,398.74542,1020.8946,A,N,Africa,Low-income countries,13691081,0,0.23014547,-0.02663633,0.093255474,-0.92704982,0.0044241704,TCD,0.13820424,0.13860375,1,2,17.03,8.84,0.27011785,1719,1278080,18.6413,15.2938,15.2938,7.625,23.375,3.85622,0,513.796,298.172,287.152,879.117,3060.22,0,1,0.153226,0.846774,0,0,0,B,0.846774,107,107,0.20350914,0.0092058551,0.18921899,0.21347275,0.17191733,0.22253853,0.050621201,Middle Africa,Africa,0.02663633,0.0059550594,0.066608709,-0.065304901,-6.4538,6.106558,True,0.48632307,0.153,LL,ns,LL
Congo,0.17042209,23.437835,113.84,4.02,392.10751,388.29066,A,S,Africa,Lower-middle-income countries,4857104,1,0.17456357,-0.004141486,0.10983726,-0.14500966,0.00013070791,COG,0.11434714,0.11434714,1,1,15.27,-4.02,0.15506978,451,348182,15.2088,-0.877889,0.877889,-5.125,3.625,2.364,0.0110609,406.934,136.946,290.314,596.922,843.627,0.0142892,0.997789,1,0,0,0,0,A,1,31,31,0.17042209,0.0080320083,0.15972239,0.18023895,0.15680011,0.18780745,0.031007337,Middle Africa,Africa,0.004141486,0.00014396261,-0.015352302,-0.056074944,3.142111,5.5418063,False,0.05346067,0.318,LL,ns,ns
