Country,iso3,m49_subregion,observed,cv_prediction,cv_error,n_train,nearest_train_km,unseen_levels
Algeria,DZA,Northern Africa,0.24027,0.19876,0.0415098,141,562.6,0
Angola,AGO,Middle Africa,0.2003,0.154114,0.0461861,143,825.5,0
Benin,BEN,Western Africa,0.202702,0.188981,0.013721,144,548.3,0
Botswana,BWA,Southern Africa,0.155419,0.229802,-0.0743832,143,538.4,0
Burkina Faso,BFA,Western Africa,0.215873,0.215136,0.000736969,141,551.6,0
Burundi,BDI,Eastern Africa,0.208885,0.181656,0.0272298,145,555.7,0
Cameroon,CMR,Middle Africa,0.166362,0.206592,-0.0402303,142,700.3,0
Central African Republic,CAF,Middle Africa,0.184038,0.238005,-0.0539675,143,597.2,0
Chad,TCD,Middle Africa,0.203509,0.242383,-0.0388737,140,745.4,0
Congo,COG,Middle Africa,0.170422,0.177254,-0.00683227,143,703,0
Congo (Democratic Republic Of The),COD,Middle Africa,0.198598,0.194502,0.00409599,135,556,0
Côte D'Ivoire,CIV,Western Africa,0.207728,0.18456,0.0231686,143,548.3,0
Djibouti,DJI,Eastern Africa,0.20036,0.194863,0.00549653,146,556,0
Egypt,EGY,Northern Africa,0.154785,0.246081,-0.0912962,140,556,0
Equatorial Guinea,GNQ,Middle Africa,0.163547,0.197206,-0.0336585,146,598.3,0
Eritrea,ERI,Eastern Africa,0.203153,0.204839,-0.00168616,144,638.2,0
Ethiopia,ETH,Eastern Africa,0.207699,0.209058,-0.00135841,142,597.2,0
Gabon,GAB,Middle Africa,0.165539,0.202336,-0.0367972,143,745.4,0
Ghana,GHA,Western Africa,0.199255,0.181024,0.0182302,143,656,0
Guinea,GIN,Western Africa,0.227513,0.18102,0.0464931,142,656,0
Guinea Bissau,GNB,Western Africa,0.2332,0.188924,0.0442761,145,624.6,0
Kenya,KEN,Eastern Africa,0.210624,0.158394,0.0522302,144,555.7,0
Lesotho,LSO,Southern Africa,0.16129,0.18337,-0.0220793,147,515.2,0
Liberia,LBR,Western Africa,0.216006,0.195466,0.0205404,146,551.6,0
Libya,LBY,Northern Africa,0.190599,0.250521,-0.0599211,142,620.9,0
Madagascar,MDG,Eastern Africa,0.181354,0.184282,-0.00292749,149,858.5,0
Malawi,MWI,Eastern Africa,0.188541,0.18875,-0.000208982,145,787.8,0
Mali,MLI,Western Africa,0.247827,0.211433,0.0363942,137,535.6,0
Mauritania,MRT,Western Africa,0.259792,0.190295,0.0694963,143,556,0
Morocco,MAR,Northern Africa,0.241846,0.188182,0.0536636,146,535.6,0
Mozambique,MOZ,Eastern Africa,0.172824,0.197026,-0.0242024,141,515.2,0
Namibia,NAM,Southern Africa,0.177853,0.204493,-0.0266401,145,785.7,0
Niger,NER,Western Africa,0.238561,0.237614,0.000947024,140,703.2,0
Nigeria,NGA,Western Africa,0.203011,0.200665,0.00234557,139,667.2,0
Rwanda,RWA,Eastern Africa,0.20846,0.184658,0.0238017,145,667.2,0
Senegal,SEN,Western Africa,0.240979,0.188338,0.0526402,145,597.5,0
Sierra Leone,SLE,Western Africa,0.223721,0.189079,0.0346416,144,666.4,0
Somalia,SOM,Eastern Africa,0.195883,0.191369,0.00451405,144,643.3,0
South Africa,ZAF,Southern Africa,0.160285,0.203157,-0.0428723,144,638.2,0
Sudan,SDN,Northern Africa,0.204873,0.260434,-0.0555612,143,540.5,0
Swaziland,SWZ,Southern Africa,0.159342,0.197489,-0.0381476,147,538.4,0
Tanzania,TZA,Eastern Africa,0.209531,0.154548,0.0549826,141,703.2,0
Togo,TGO,Western Africa,0.194132,0.206272,-0.0121395,144,548.2,0
Tunisia,TUN,Northern Africa,0.23749,0.236947,0.000542455,147,556,0
Uganda,UGA,Eastern Africa,0.211476,0.215242,-0.00376642,144,597.2,0
Zambia,ZMB,Eastern Africa,0.176913,0.180663,-0.00375056,141,638.2,0
Zimbabwe,ZWE,Eastern Africa,0.15355,0.182918,-0.0293678,142,556,0
Afghanistan,AFG,Southern Asia,0.247331,0.189725,0.0576062,142,660.6,0
Armenia,ARM,Western Asia,0.188338,0.17036,0.0179782,143,606.4,0
Azerbaijan,AZE,Western Asia,0.195048,0.16933,0.0257186,142,550.5,0
Bangladesh,BGD,Southern Asia,0.111089,0.161437,-0.050348,146,799.4,0
Burma,MMR,South-eastern Asia,0.108987,0.178738,-0.0697513,143,598,0
Cambodia,KHM,South-eastern Asia,0.123977,0.156834,-0.0328578,146,566.8,0
China,CHN,Eastern Asia,0.188011,0.18212,0.00589086,133,595.6,0
Georgia,GEO,Western Asia,0.170147,0.172951,-0.00280456,145,525.8,0
India,IND,Southern Asia,0.122799,0.182573,-0.0597741,140,690,0
Indonesia,IDN,South-eastern Asia,0.136599,0.0816127,0.0549868,143,598,0
Iran,IRN,Southern Asia,0.253266,0.157314,0.0959523,134,690.4,0
Iraq,IRQ,Western Asia,0.176335,0.168497,0.00783787,141,509.2,0
Israel,ISR,Western Asia,0.128973,0.200263,-0.07129,143,556,0
Japan,JPN,Eastern Asia,0.134842,0.135143,-0.000300804,146,784.9,0
Jordan,JOR,Western Asia,0.124162,0.14974,-0.0255774,142,754.1,0
Kazakhstan,KAZ,Central Asia,0.260718,0.183538,0.0771795,141,515.6,0
Laos,LAO,South-eastern Asia,0.119906,0.166958,-0.0470526,145,828.2,0
Lebanon,LBN,Western Asia,0.132407,0.162034,-0.0296271,142,927.6,0
Malaysia,MYS,South-eastern Asia,0.143547,0.13659,0.00695761,146,566.8,0
Mongolia,MNG,Eastern Asia,0.273292,0.232846,0.0404461,147,1116,0
Nepal,NPL,Southern Asia,0.123941,0.152227,-0.028286,147,661.9,0
Oman,OMN,Western Asia,0.203466,0.147712,0.0557543,144,643.3,0
Pakistan,PAK,Southern Asia,0.17995,0.184339,-0.00438934,143,580.4,0
Philippines,PHL,South-eastern Asia,0.160295,0.12457,0.0357253,147,637.2,0
Qatar,QAT,Western Asia,0.231479,0.173177,0.0583015,146,594.4,0
Saudi Arabia,SAU,Western Asia,0.191289,0.181125,0.0101639,136,524.5,0
South Korea,KOR,Eastern Asia,0.145129,0.201314,-0.0561851,148,581.4,0
Sri Lanka,LKA,Southern Asia,0.134501,0.138604,-0.00410219,149,1552.1,0
Syria,SYR,Western Asia,0.143235,0.215103,-0.071868,140,550.5,0
Taiwan,TWN,Eastern Asia,0.137064,0.145145,-0.00808068,147,1012,0
Tajikistan,TJK,Central Asia,0.233976,0.203763,0.0302127,143,718.9,0
Thailand,THA,South-eastern Asia,0.119831,0.16213,-0.0422993,142,799.4,0
Turkey,TUR,Western Asia,0.141962,0.1558,-0.0138375,134,507.2,0
Turkmenistan,TKM,Central Asia,0.275287,0.187914,0.0873732,143,580.4,0
United Arab Emirates,ARE,Western Asia,0.224831,0.169334,0.0554966,146,543.5,0
Uzbekistan,UZB,Central Asia,0.277392,0.208708,0.0686838,143,597.7,0
Vietnam,VNM,South-eastern Asia,0.122633,0.158839,-0.0362066,143,821.1,0
Yemen,YEM,Western Asia,0.2015,0.152889,0.0486108,144,540.5,0
Albania,ALB,Southern Europe,0.157483,0.142103,0.01538,141,507.2,0
Austria,AUT,Western Europe,0.2103,0.218887,-0.0085877,136,546.2,0
Belarus,BLR,Eastern Europe,0.21395,0.214648,-0.00069774,139,538.6,0
Belgium,BEL,Western Europe,0.195164,0.172296,0.0228678,144,505.3,0
Bosnia And Herzegovina,BIH,Southern Europe,0.184409,0.179697,0.00471198,136,500.5,0
Bulgaria,BGR,Eastern Europe,0.164114,0.206154,-0.04204,137,561.3,0
Croatia,HRV,Southern Europe,0.189522,0.204889,-0.0153667,131,723.4,0
Cyprus,CYP,Western Asia,0.140752,0.157186,-0.0164338,144,509.2,0
Czech Republic,CZE,Eastern Europe,0.192936,0.225752,-0.0328163,134,505.3,0
Denmark,DNK,Northern Europe,0.19194,0.187218,0.00472271,143,558.6,0
Estonia,EST,Northern Europe,0.259381,0.20273,0.0566511,143,638.9,0
Finland,FIN,Northern Europe,0.234986,0.200568,0.0344174,145,556,0
