Country,iso3,m49_subregion,observed,cv_prediction,cv_error,n_train,nearest_train_lower_km,unseen_levels
Algeria,DZA,Northern Africa,0.24027005915767902,0.19838894526857964,0.041881113889099375,140,502.80410892048315,0
Angola,AGO,Middle Africa,0.2003000150757142,0.15411387596756523,0.04618613910814898,143,617.5524176445745,0
Benin,BEN,Western Africa,0.20270211677173233,0.1874279699294984,0.015274146842233938,143,645.265464870903,0
Botswana,BWA,Southern Africa,0.15541865895509172,0.23711897360096007,-0.08170031464586835,142,617.3401076622447,0
Burkina Faso,BFA,Western Africa,0.2158731392585228,0.21407006548681562,0.0018030737717071865,140,544.1912089132867,0
Burundi,BDI,Eastern Africa,0.20888549627683978,0.1758845948360877,0.03300090144075207,144,652.8579050829767,0
Cameroon,CMR,Middle Africa,0.16636200134979467,0.20659232281289566,-0.04023032146310099,142,645.265464870903,0
Central African Republic,CAF,Middle Africa,0.18403786064638777,0.24289375188986126,-0.058855891243473485,141,668.5532199135129,0
Chad,TCD,Middle Africa,0.2035091414222523,0.24238281615050744,-0.03887367472825515,140,628.5950455799541,0
Congo,COG,Middle Africa,0.1704220858831212,0.17725436022095678,-0.006832274337835592,143,505.2073478639452,0
Congo (Democratic Republic Of The),COD,Middle Africa,0.19859794898946587,0.200419381482423,-0.0018214324929571313,133,610.5128671535235,0
Côte D'Ivoire,CIV,Western Africa,0.20772847580142792,0.18062480561479038,0.027103670186637535,141,513.4956418289805,0
Djibouti,DJI,Eastern Africa,0.20035987264449803,0.19503260138462084,0.005327271259877198,145,597.3982225286695,0
Egypt,EGY,Northern Africa,0.15478518959618381,0.24730058934584553,-0.09251539974966172,137,796.7350520612513,0
Equatorial Guinea,GNQ,Middle Africa,0.16354706521210607,0.19940923167242758,-0.035862166460321504,145,617.5524176445745,0
Eritrea,ERI,Eastern Africa,0.20315322405399622,0.21023218141900368,-0.0070789573650074655,143,914.0853458171574,0
Ethiopia,ETH,Eastern Africa,0.2076992707889047,0.20920127263702087,-0.0015020018481161634,141,633.7952924267872,0
Gabon,GAB,Middle Africa,0.16553931693258667,0.2023364760792,-0.03679715914661333,143,628.5950455799541,0
Ghana,GHA,Western Africa,0.1992545668996173,0.18066342604343913,0.018591140856178162,142,518.8803734064857,0
Guinea,GIN,Western Africa,0.22751348300753205,0.18102034907210549,0.04649313393542656,142,518.8803734064857,0
Guinea Bissau,GNB,Western Africa,0.23319971534367673,0.18892357167208704,0.04427614367158969,145,524.8811678267961,0
Kenya,KEN,Eastern Africa,0.21062387448612835,0.15445159844336037,0.05617227604276798,142,610.9220933565367,0
Lesotho,LSO,Southern Africa,0.16129029981211962,0.1844706132959012,-0.02318031348378158,146,679.8830982691288,0
Liberia,LBR,Western Africa,0.2160061033815747,0.1955992498718463,0.0204068535097284,143,524.8811678267961,0
Libya,LBY,Northern Africa,0.19059948923507644,0.250520582046177,-0.05992109281110056,142,509.873869437773,0
Madagascar,MDG,Eastern Africa,0.1813544794012833,0.18428197145889083,-0.0029274920576075336,149,714.622347526621,0
Malawi,MWI,Eastern Africa,0.18854099012577252,0.1887499716998876,-0.00020898157411508578,145,652.8579050829767,0
Mali,MLI,Western Africa,0.24782669503123966,0.2083060717968229,0.03952062323441677,135,784.4064914150321,0
Mauritania,MRT,Western Africa,0.2597916027159455,0.1902663729637712,0.06952522975217429,142,513.4643800186929,0
Morocco,MAR,Northern Africa,0.2418455862979349,0.1876873710263967,0.05415821527153819,145,809.6690483424891,0
Mozambique,MOZ,Eastern Africa,0.172823801894673,0.19953410778293595,-0.026710305888262953,140,587.3811357085859,0
Namibia,NAM,Southern Africa,0.17785319196923344,0.20449328123176502,-0.026640089262531585,145,587.3811357085859,0
Niger,NER,Western Africa,0.2385606960588716,0.23761367165536373,0.0009470244035078568,140,562.5858813422933,0
Nigeria,NGA,Western Africa,0.2030109401107239,0.20066537224654402,0.002345567864179887,139,505.2073478639452,0
Rwanda,RWA,Eastern Africa,0.20845952779692498,0.18465781439007306,0.023801713406851915,145,596.1094098552721,0
Senegal,SEN,Western Africa,0.24097868636270878,0.18728015982925933,0.05369852653344945,143,661.0012016224565,0
Sierra Leone,SLE,Western Africa,0.22372060994282955,0.18907899366962405,0.0346416162732055,144,513.4643800186929,0
Somalia,SOM,Eastern Africa,0.19588332023430152,0.19143515494218646,0.004448165292115058,143,518.7600014609704,0
South Africa,ZAF,Southern Africa,0.16028496312204338,0.20315723921143672,-0.04287227608939334,144,509.0405920948506,0
Sudan,SDN,Northern Africa,0.20487305719629992,0.2583186049306351,-0.05344554773433516,140,596.1389060766417,0
Swaziland,SWZ,Southern Africa,0.15934183499515397,0.2081157677474388,-0.04877393275228484,145,959.717008007507,0
Tanzania,TZA,Eastern Africa,0.20953051997740807,0.15454788374160439,0.054982636235803684,141,589.8828410805131,0
Togo,TGO,Western Africa,0.1941324419699687,0.20490523972116081,-0.01077279775119211,143,747.8828031769658,0
Tunisia,TUN,Northern Africa,0.23748975158588337,0.23743392134773636,5.5830238147008826e-05,145,648.7548166347074,0
Uganda,UGA,Eastern Africa,0.21147594840550732,0.21985657153647212,-0.008380623130964798,143,596.1389060766417,0
Zambia,ZMB,Eastern Africa,0.17691283567770744,0.18066339430408196,-0.0037505586263745228,141,509.0405920948506,0
Zimbabwe,ZWE,Eastern Africa,0.1535502891079796,0.1878164088912314,-0.03426611978325181,141,589.8828410805131,0
Afghanistan,AFG,Southern Asia,0.24733117695547363,0.18972498810374144,0.05760618885173219,142,530.0748621948782,0
Armenia,ARM,Western Asia,0.18833773750931812,0.1703595539642609,0.01797818354505723,143,502.3155465637135,0
Azerbaijan,AZE,Western Asia,0.19504824967387935,0.17325328111921431,0.021794968554665034,140,796.0593166359175,0
Bangladesh,BGD,Southern Asia,0.11108862004719486,0.16143666455239153,-0.05034804450519667,146,583.964746833446,0
Burma,MMR,South-eastern Asia,0.10898678984933867,0.176880552947151,-0.06789376309781232,141,592.4577340928826,0
Cambodia,KHM,South-eastern Asia,0.12397652977439673,0.15662636202022728,-0.032649832245830554,144,676.9381053939196,0
China,CHN,Eastern Asia,0.18801127254816274,0.1854172887700354,0.0025939837781273345,131,621.7810260710111,0
Georgia,GEO,Western Asia,0.17014653222140888,0.1695736270716563,0.0005729051497525839,140,767.6489375125233,0
India,IND,Southern Asia,0.12279874845556998,0.18257283634313554,-0.05977408788756555,140,579.308884690665,0
Indonesia,IDN,South-eastern Asia,0.1365994643114788,0.08472933213652054,0.051870132174958256,142,676.9381053939196,0
Iran,IRN,Southern Asia,0.25326598928356275,0.1573136754547918,0.09595231382877095,134,568.6539133064839,0
Iraq,IRQ,Western Asia,0.1763349119758569,0.16675258660663198,0.009582325369224931,136,595.6035032545958,0
Israel,ISR,Western Asia,0.1289730259690734,0.2004541377040231,-0.0714811117349497,142,676.993228000802,0
Japan,JPN,Eastern Asia,0.13484212055215955,0.12920758816507943,0.005634532387080116,145,1419.3714758707915,0
Jordan,JOR,Western Asia,0.1241622692023015,0.149739692855902,-0.025577423653600495,142,597.7999418076139,0
Kazakhstan,KAZ,Central Asia,0.2607179280248597,0.18355180880198452,0.0771661192228752,139,505.97001980195694,0
Laos,LAO,South-eastern Asia,0.11990552917453423,0.1669581438616473,-0.04705261468711308,145,704.866764093186,0
Lebanon,LBN,Western Asia,0.13240721718298015,0.162034273742765,-0.029627056559784842,142,667.260839566188,0
Malaysia,MYS,South-eastern Asia,0.14354714353630665,0.13984964940859992,0.0036974941277067297,144,598.4793279343521,0
Mongolia,MNG,Eastern Asia,0.273292065382825,0.23284593035888834,0.04044613502393668,147,1014.6317233049575,0
Nepal,NPL,Southern Asia,0.12394103933918027,0.15222704563909906,-0.028286006299918787,147,541.6957236344748,0
Oman,OMN,Western Asia,0.2034660332775613,0.14771171772118763,0.05575431555637367,144,518.7600014609704,0
Pakistan,PAK,Southern Asia,0.1799496198587603,0.1777117740461188,0.002237845812641498,141,510.6416259410729,0
Philippines,PHL,South-eastern Asia,0.16029540562197608,0.1204642783746543,0.03983112724732178,145,833.6550541710932,0
Qatar,QAT,Western Asia,0.2314787860422459,0.17311790332993837,0.05836088271230752,145,596.9267432386954,0
Saudi Arabia,SAU,Western Asia,0.1912885606557455,0.18214799729168024,0.009140563364065268,132,666.2405990245873,0
South Korea,KOR,Eastern Asia,0.14512934007189218,0.19991184837320175,-0.05478250830130957,147,877.0301146579199,0
Sri Lanka,LKA,Southern Asia,0.13450142935863102,0.1386036150221088,-0.004102185663477781,149,1398.3985671009978,0
