iso3,Country,m49_subregion,observed,C0_cv_prediction,M1a_cv_prediction,C0_abs_error,M1a_abs_error,C0_unseen_levels,M1a_unseen_levels,abs_error_change,pair
DZA,Algeria,Northern Africa,0.24027005915767902,0.19838894526857184,0.2361739171235976,0.041881113889107174,0.004096142034081429,0,0,-0.037784971855025745,primary
AGO,Angola,Middle Africa,0.2003000150757142,0.15411387596755752,0.19349480203653524,0.04618613910815669,0.00680521303917897,0,0,-0.03938092606897772,primary
BEN,Benin,Western Africa,0.20270211677173233,0.18742796992949629,0.19083858706050003,0.015274146842236047,0.011863529711232307,0,0,-0.0034106171310037403,primary
BWA,Botswana,Southern Africa,0.15541865895509172,0.23711897360095857,0.2256153093616598,0.08170031464586686,0.07019665040656808,0,0,-0.011503664239298772,primary
BFA,Burkina Faso,Western Africa,0.2158731392585228,0.2140700654868207,0.21573687123867125,0.0018030737717021073,0.00013626801985155979,0,0,-0.0016668057518505475,primary
BDI,Burundi,Eastern Africa,0.20888549627683978,0.17588459483611085,0.17722173414913506,0.033000901440728925,0.03166376212770472,0,0,-0.0013371393130242049,primary
CMR,Cameroon,Middle Africa,0.16636200134979467,0.20659232281289897,0.20163121514041935,0.04023032146310429,0.03526921379062467,0,0,-0.00496110767247962,primary
CAF,Central African Republic,Middle Africa,0.18403786064638777,0.24289375188985074,0.2656558730993683,0.058855891243462966,0.0816180124529805,0,0,0.02276212120951754,primary
TCD,Chad,Middle Africa,0.2035091414222523,0.2423828161505019,0.2701240044859218,0.038873674728249596,0.06661486306366948,0,0,0.027741188335419886,primary
COG,Congo,Middle Africa,0.1704220858831212,0.17725436022096136,0.18502094997785504,0.006832274337840172,0.014598864094733849,0,0,0.007766589756893677,primary
COD,Congo (Democratic Republic Of The),Middle Africa,0.19859794898946587,0.20041938148240868,0.21425448731125527,0.0018214324929428094,0.0156565383217894,0,0,0.013835105828846589,primary
CIV,Côte D'Ivoire,Western Africa,0.20772847580142792,0.18062480561478783,0.1816796009973064,0.02710367018664009,0.02604887480412152,0,0,-0.0010547953825185696,primary
DJI,Djibouti,Eastern Africa,0.20035987264449803,0.19503260138461787,0.18632488063615868,0.0053272712598801675,0.014034992008339353,0,0,0.008707720748459186,primary
EGY,Egypt,Northern Africa,0.15478518959618381,0.24730058934584787,0.22775968392395685,0.09251539974966405,0.07297449432777303,0,0,-0.01954090542189102,primary
GNQ,Equatorial Guinea,Middle Africa,0.16354706521210607,0.19940923167241872,0.1976016253483175,0.03586216646031265,0.034054560136211415,0,0,-0.0018076063241012352,primary
ERI,Eritrea,Eastern Africa,0.20315322405399622,0.21023218141899722,0.19730200593092934,0.0070789573650009985,0.005851218123066881,0,0,-0.001227739241934117,primary
ETH,Ethiopia,Eastern Africa,0.2076992707889047,0.209201272637016,0.18955053834106142,0.0015020018481112785,0.01814873244784329,0,0,0.016646730599732013,primary
GAB,Gabon,Middle Africa,0.16553931693258667,0.20233647607918748,0.18044788689539804,0.03679715914660081,0.014908569962811369,0,0,-0.021888589183789442,primary
GHA,Ghana,Western Africa,0.1992545668996173,0.1806634260434492,0.18550683422946224,0.018591140856168087,0.013747732670155055,0,0,-0.004843408186013032,primary
GIN,Guinea,Western Africa,0.22751348300753205,0.18102034907210574,0.18006936556179853,0.04649313393542631,0.047444117445733514,0,0,0.0009509835103072017,primary
GNB,Guinea Bissau,Western Africa,0.23319971534367673,0.18892357167206492,0.19259522177921184,0.04427614367161181,0.04060449356446488,0,0,-0.0036716501071469287,primary
KEN,Kenya,Eastern Africa,0.21062387448612835,0.15445159844336917,0.17995878609006585,0.05617227604275918,0.030665088396062495,0,0,-0.025507187646696683,primary
LSO,Lesotho,Southern Africa,0.16129029981211962,0.1844706132959225,0.1734592443896877,0.023180313483802867,0.012168944577568092,0,0,-0.011011368906234775,primary
LBR,Liberia,Western Africa,0.2160061033815747,0.195599249871849,0.19904583589926042,0.02040685350972568,0.016960267482314273,0,0,-0.003446586027411408,primary
LBY,Libya,Northern Africa,0.19059948923507644,0.2505205820461809,0.24620577096203997,0.05992109281110444,0.055606281726963525,0,0,-0.004314811084140918,primary
MDG,Madagascar,Eastern Africa,0.1813544794012833,0.18428197145889202,0.17723280391909363,0.002927492057608727,0.004121675482189668,0,0,0.0011941834245809413,primary
MWI,Malawi,Eastern Africa,0.18854099012577252,0.18874997169988442,0.15804736950289774,0.00020898157411189389,0.03049362062287478,0,0,0.030284639048762885,primary
MLI,Mali,Western Africa,0.24782669503123966,0.2083060717968345,0.22470008247807555,0.03952062323440517,0.023126612553164116,0,0,-0.01639401068124105,primary
MRT,Mauritania,Western Africa,0.2597916027159455,0.19026637296375742,0.20493460536437108,0.06952522975218806,0.0548569973515744,0,0,-0.014668232400613657,primary
