iso3,Country,terrestrial_area_km2,elevation_original_coverage,elevation_coverage,elevation_completed_area_km2,elevation_unresolved_area_km2,elevation_original_centre_only,elevation,elevation_change_vs_original,elevation_s1_completed_at_0m,elevation_s2_unresolved_at_0m,elevation_s3_ring2_completion,elevation_s3_coverage,elevation_s4_unresolved_at_completed_min,elevation_s4_unresolved_at_completed_max,s1_completed_at_0m_minus_primary,s2_unresolved_at_0m_minus_primary,s3_ring2_completion_minus_primary,s4_unresolved_at_completed_min_minus_primary,s4_unresolved_at_completed_max_minus_primary
DZA,Algeria,2314399.6540727946,0.9998838329022972,0.9999994987593324,267.6970195098524,1.1600712348478148,557.412278924512,557.3623372131892,-0.0499417113227309,557.3478053232316,557.3620578405192,557.3623259692057,0.9999995247979908,557.3620284552849,557.362270628947,-0.01453188995765231,-0.0002793726699792387,-1.1243983522035705e-05,-0.00030875790434947703,-6.658424217675929e-05
AGO,Angola,1255422.9230848236,0.9996178078321064,0.999997233954011,476.340251056117,3.4725575412148495,1066.3845950214652,1065.996893813009,-0.3877012084562921,1065.9799797309329,1065.9939452165763,1065.9940344756071,1.0000000000000002,1065.993730287587,1065.9946433374305,-0.016914082076027626,-0.0029485964325886016,-0.002859337401787343,-0.0031635254219963826,-0.002250475578421174
BEN,Benin,114531.48085091682,0.9995666173159872,1.0000000000000004,49.635960575189245,0.0,266.36051336049957,266.24819692985005,-0.1123164306495141,266.24507732630417,266.24819692985017,266.24819692985005,1.0000000000000004,266.24819692985017,266.24819692985017,-0.003119603545883365,1.1368683772161603e-13,0.0,1.1368683772161603e-13,1.1368683772161603e-13
BWA,Botswana,579596.5065838373,0.9999518088528077,1.0000000000000009,27.931420561291368,0.0,1030.6506075537814,1030.645214676763,-0.0053928770182665,1030.6009393186482,1030.6452146767638,1030.645214676763,1.0000000000000009,1030.6452146767638,1030.6452146767638,-0.0442753581148736,6.821210263296962e-13,0.0,6.821210263296962e-13,6.821210263296962e-13
BFA,Burkina Faso,276301.34466573206,1.0,1.0,0.0,0.0,297.93037330882635,297.93037330882635,0.0,297.93037330882635,297.93037330882635,297.93037330882635,1.0,,,0.0,0.0,0.0,,
BDI,Burundi,24950.97648597437,0.9980958575179472,0.9997946114109773,42.385568440443144,5.124645855186344,1556.1509269757755,1555.044856940581,-1.1060700351945345,1553.5068664705768,1554.7254684715467,1555.044856940581,0.9997946114109773,1554.884351995683,1555.0070730628431,-1.5379904700041607,-0.31938846903426565,0.0,-0.16050494489809353,-0.03778387773786562
CMR,Cameroon,461707.747748905,0.99921828099758,0.9999986289294528,360.2926860854673,0.6330338982037678,642.6655590133564,642.2580555832353,-0.4075034301210962,642.1640555858979,642.2571750021316,642.2572539345583,0.9999999459890508,642.2571188607926,642.2583843365047,-0.0939999973373915,-0.0008805811037291278,-0.0008016486769975018,-0.0009367224427023757,0.0003287532694002948
CAF,Central African Republic,623105.9093907027,1.0,1.0,0.0,0.0,593.7614743414721,593.7614743414721,0.0,593.7614743414721,593.7614743414721,593.7614743414721,1.0,,,0.0,0.0,0.0,,
TCD,Chad,1272599.658939126,0.9999005782327556,1.0000000000000049,126.52410709240225,0.0,516.4185522906348,516.3959105728908,-0.0226417177440225,516.3672090455259,516.3959105728931,516.3959105728908,1.0000000000000049,516.3959105728931,516.3959105728931,-0.028701527364887625,2.2737367544323206e-12,0.0,2.2737367544323206e-12,2.2737367544323206e-12
COG,Congo,340981.5687371502,0.999087291233432,0.999948909726913,293.7960255600919,17.420841463180082,408.67332403708895,408.550921552461,-0.1224024846279689,408.32118555245495,408.5300485743089,408.54518469775786,0.9999999999999964,408.530148338475,408.55131254668095,-0.229736000006028,-0.02087297815205602,-0.005736854703116023,-0.02077321398598997,0.000390994219969798
COD,Congo (Democratic Republic Of The),2301556.6931795157,0.9992666124097752,0.9999924732697504,1670.609920592797,17.323196452926616,676.9466083021684,676.8555669675848,-0.0910413345836786,676.4552355564788,676.8504724583142,676.8551034484876,0.9999993060244624,676.8504778794342,676.8667704124568,-0.4003314111059808,-0.005094509270520575,-0.00046351909713848727,-0.005089088150612042,0.011203444872080581
CIV,Côte D'Ivoire,321055.45409472694,0.9988251338942792,0.9999904879997004,374.14329149712415,3.053879575554295,257.4250838599455,257.2645603874284,-0.1605234725171271,257.12508962808573,257.26211328685287,257.2634271771444,1.0,257.2620583849676,257.2654979684978,-0.1394707593426574,-0.002447100575523109,-0.0011332102839674008,-0.0025020024608011227,0.0009375810694223219
DJI,Djibouti,22046.795631038294,0.9957084178501658,0.9998469542104936,91.24146534777336,3.374169243446437,458.56110619834743,456.90531137188617,-1.6557948264612603,456.66304389646984,456.8353839377777,456.8679930695861,0.9999296664081224,456.8118978467139,456.8990834514616,-0.24226747541632676,-0.06992743410847879,-0.037318302300093364,-0.09341352517225232,-0.006227920424578315
EGY,Egypt,997578.3068028194,0.9985447962344776,0.999927408800514,1379.2643025907316,72.41540587179128,302.1594497526433,301.80999064105345,-0.3494591115898515,301.74164997188143,301.7880818918159,301.79338756488573,0.9999822309754032,301.7762009789413,301.810104257298,-0.06834066917201653,-0.02190874923752517,-0.01660307616771206,-0.03378966211215584,0.00011361624456185382
GNQ,Equatorial Guinea,27095.440164329124,0.995251185921796,0.9999293324800173,126.7564401482422,1.9147675592217632,463.5016930666724,461.5708383601253,-1.930854706547109,461.3332109752714,461.538220293682,461.5708046017719,0.9999294141590358,461.5380659497855,461.5549131232855,-0.23762738485390855,-0.03261806644331955,-3.375835342467326e-05,-0.032772410339816815,-0.015925236839848367
ERI,Eritrea,120700.0748172824,0.9950448765894768,0.999427536827642,528.9874186452786,69.09634773392848,769.6237002322599,766.2758850893455,-3.347815142914442,766.2487690190735,765.8372203652659,766.0607091949798,0.9997093509204832,765.8198567831441,765.8942169548768,-0.027116070271972603,-0.43866472407955825,-0.21517589436564322,-0.4560283062013468,-0.38166813446866854
ETH,Ethiopia,1127266.4671361344,0.999699724231378,0.9999990439190736,337.4130468930444,1.0777579691954302,1251.322399834335,1251.3395518568136,0.0171520224785126,1250.947854046314,1251.3383554749353,1251.3400781420626,1.0000000000000009,1251.3382362370871,1251.3411748208068,-0.39169781049963603,-0.0011963818783442548,0.0005262852489522629,-0.001315619726483419,0.0016229639932134887
GAB,Gabon,268289.0285328508,0.998191924309908,0.9999867019647728,481.51915345619176,3.567716950175462,364.6482802051221,364.0173611874109,-0.6309190177111645,363.9938089167427,364.0125204717186,364.0132529400974,0.9999983645980812,364.01222123184016,364.01335693970503,-0.023552270668233177,-0.004840715692353115,-0.004108247313524771,-0.0051399555707689615,-0.004004247705893249
GHA,Ghana,229026.40183669265,0.9958392283660314,0.9999861162312176,949.7468065838244,3.179749607140656,181.7630064271013,181.35211052823288,-0.4108958988684321,181.00924515636177,181.34959267746208,181.35059934760335,0.9999999999999956,181.34832336148165,181.3542020285311,-0.3428653718711132,-0.002517850770800578,-0.001511180629535147,-0.0037871667512376916,0.0020915002982064834
GIN,Guinea,246704.19904240625,0.998701288452454,0.999971147867546,313.2796498967765,7.117942227780948,436.22356628216374,435.72005026192886,-0.5035160202348834,435.6696076965488,435.70747880932583,435.7126255966458,0.9999886501206864,435.7074427441603,435.71786576543576,-0.05044256538008085,-0.0125714526030265,-0.007424665283053855,-0.012607517768572052,-0.002184496493100596
GNB,Guinea Bissau,34238.1152774921,0.9840194430173822,0.9997193022809228,537.5335913055075,9.610560863882672,32.57025273713615,32.18398937389166,-0.3862633632444883,32.05876077835901,32.17495540148361,32.178514204380214,0.9999348967138004,32.163992825863,32.18240676177654,-0.1252285955326542,-0.009033972408055035,-0.005475169511448996,-0.019996548028665018,-0.0015826121151221173
KEN,Kenya,581504.8888697245,0.9988680240749032,0.9999903536823408,652.6401536482618,5.609380875133958,787.5803421829214,787.2744832644072,-0.3058589185142182,786.6964089199527,787.2668889646567,787.2678066231559,0.9999999999999944,787.2668601717883,787.2856594769279,-0.5780743444545351,-0.007594299750508071,-0.006676641251260662,-0.00762309261892824,0.011176212520695117
LSO,Lesotho,30914.737830342612,1.0,1.0,0.0,0.0,2188.8416072663185,2188.8416072663185,0.0,2188.8416072663185,2188.8416072663185,2188.8416072663185,1.0,,,0.0,0.0,0.0,,
LBR,Liberia,96519.24037196086,0.9983942500108192,0.9999982899843368,154.82071977018222,0.165049412899753,206.24042372380197,205.92179210486097,-0.3186316189409979,205.90960527428905,205.92143997537107,205.92145274765923,1.0000000000000009,205.92143996367724,205.92155667558285,-0.012186830571920382,-0.00035212948989737924,-0.0003393572017387214,-0.0003521411837255073,-0.00023542927812059133
LBY,Libya,1618836.5705908511,0.9997330080882798,0.9999987842860352,430.2482285187069,1.9680422246553704,415.7450045482115,415.6420659899342,-0.1029385582772874,415.6345092873363,415.64156068807023,415.64163598781624,0.9999998591907802,415.6415577545294,415.641894905578,-0.007556702597923959,-0.0005053018639955553,-0.0004300021179801661,-0.0005082354048226989,-0.00017108435622503748
MDG,Madagascar,592900.1819546247,0.9972186263428846,0.9999393465678584,1613.1155164346496,35.96143095207046,539.777911250935,538.3944070335292,-1.3835042174057437,538.3092374906961,538.3617515648968,538.3824620234891,0.9999619185243502,538.3174840365333,538.4397560068787,-0.08516954283311406,-0.03265546863235613,-0.011945010040108173,-0.07692299699590421,0.04534897334951893
MWI,Malawi,98041.78596979076,0.9974038360099662,0.9999414597064388,248.79315932142785,5.739394932062415,954.5437655136984,953.4383773857444,-1.1053881279541429,952.1213508261436,953.3825628232396,953.417017551518,0.9999863411924542,953.3853936417204,953.4636346769568,-1.3170265596007766,-0.055814562504792775,-0.021359834226359453,-0.05298374402400441,0.025257291212369637
