iso3,Country,feature,coverage_basis,achieved,required,rule,passes,missing_area_km2,missing_support_source,classification
DZA,Algeria,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
DZA,Algeria,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
DZA,Algeria,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9998838329022972,0.98,>= 98%,True,268.8570907379792,,
DZA,Algeria,continentality,terrestrial area with a distance value,0.9999999999987744,0.98,>= 98%,True,2.836470811707856e-06,,
DZA,Algeria,climate_zone,classified terrestrial area,0.9999403446122237,0.95,>= 95% and A1 - A2 > unclassified,True,138.06640883305377,,
DZA,Algeria,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
AGO,Angola,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
AGO,Angola,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
AGO,Angola,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9996178078321064,0.98,>= 98%,True,479.8128085970981,,
AGO,Angola,continentality,terrestrial area with a distance value,1.0000000000001394,0.98,>= 98%,True,-1.750612090172841e-07,,
AGO,Angola,climate_zone,classified terrestrial area,0.9997854230288026,0.95,>= 95% and A1 - A2 > unclassified,True,269.3848484073557,,
AGO,Angola,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
BEN,Benin,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
BEN,Benin,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
BEN,Benin,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9995666173159872,0.98,>= 98%,True,49.635960575134206,,
BEN,Benin,continentality,terrestrial area with a distance value,0.9999999999999586,0.98,>= 98%,True,4.742899668274345e-09,,
BEN,Benin,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
BEN,Benin,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
BWA,Botswana,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
BWA,Botswana,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
BWA,Botswana,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9999518088528077,0.98,>= 98%,True,27.93142056095045,,
BWA,Botswana,continentality,terrestrial area with a distance value,0.999999999999972,0.98,>= 98%,True,1.6215730942362394e-08,,
BWA,Botswana,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
BWA,Botswana,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
BFA,Burkina Faso,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
BFA,Burkina Faso,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
BFA,Burkina Faso,elevation,valid terrestrial area (land-centred ETOPO pixels),1.0,0.98,>= 98%,True,0.0,,
BFA,Burkina Faso,continentality,terrestrial area with a distance value,0.9999999999999912,0.98,>= 98%,True,2.4233733052040165e-09,,
BFA,Burkina Faso,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
BFA,Burkina Faso,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
BDI,Burundi,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
BDI,Burundi,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
BDI,Burundi,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9980958575179472,0.98,>= 98%,True,47.51021429564528,,
BDI,Burundi,continentality,terrestrial area with a distance value,0.99999999999999,0.98,>= 98%,True,2.493103372344866e-10,,
BDI,Burundi,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
BDI,Burundi,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
CMR,Cameroon,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
CMR,Cameroon,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
CMR,Cameroon,elevation,valid terrestrial area (land-centred ETOPO pixels),0.99921828099758,0.98,>= 98%,True,360.92571997984385,,
CMR,Cameroon,continentality,terrestrial area with a distance value,0.9999999999999062,0.98,>= 98%,True,4.331457935078661e-08,,
CMR,Cameroon,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
CMR,Cameroon,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
CAF,Central African Republic,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
CAF,Central African Republic,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
CAF,Central African Republic,elevation,valid terrestrial area (land-centred ETOPO pixels),1.0,0.98,>= 98%,True,0.0,,
CAF,Central African Republic,continentality,terrestrial area with a distance value,1.0000000000002516,0.98,>= 98%,True,-1.567588271055667e-07,,
CAF,Central African Republic,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
CAF,Central African Republic,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
TCD,Chad,abs_latitude,geometry,1.0,1.0,100% geometry,True,0.0,,
TCD,Chad,hemisphere,geometry,1.0,1.0,100% geometry,True,0.0,,
TCD,Chad,elevation,valid terrestrial area (land-centred ETOPO pixels),0.9999005782327556,0.98,>= 98%,True,126.52410708637798,,
TCD,Chad,continentality,terrestrial area with a distance value,0.9999999999998184,0.98,>= 98%,True,2.3114544079043786e-07,,
TCD,Chad,climate_zone,classified terrestrial area,1.0,0.95,>= 95% and A1 - A2 > unclassified,True,0.0,,
TCD,Chad,spatial_block,OWID label present,1.0,1.0,nonmissing,True,0.0,,
