iso3,Country,abs_latitude,elevation,continentality,climate_zone,hemisphere,spatial_block
DZA,Algeria,27.988472911053748,557.412278924512,755.7776573398834,B,N,Africa
AGO,Angola,12.294021891679662,1066.3845950214652,490.03807158764164,A,S,Africa
BEN,Benin,9.68824863231078,266.36051336049957,386.4750053302424,A,N,Africa
BWA,Botswana,22.14035581849519,1030.6506075537814,809.7426452606967,B,S,Africa
BFA,Burkina Faso,12.276695235758803,297.93037330882635,753.2786512004666,B,N,Africa
BDI,Burundi,3.337967818310983,1556.1509269757755,1018.2756356984105,A,S,Africa
CMR,Cameroon,5.682821845053887,642.6655590133564,456.33414211290784,A,N,Africa
CAF,Central African Republic,6.572917337775946,593.7614743414721,1251.7738853589562,A,N,Africa
TCD,Chad,15.29009350032433,516.4185522906348,1322.3596562859764,B,N,Africa
COG,Congo,2.1223028681709777,408.67332403708895,540.518999328677,A,S,Africa
COD,Congo (Democratic Republic Of The),4.295074901175064,676.9466083021684,1171.6884711953446,A,S,Africa
CIV,Côte D'Ivoire,7.623240002795848,257.4250838599455,293.8899741238431,A,N,Africa
DJI,Djibouti,11.746369240759714,458.56110619834743,46.494584472361076,B,N,Africa
EGY,Egypt,26.436542779191623,302.1594497526433,320.8096460891413,B,N,Africa
GNQ,Equatorial Guinea,1.7335973075142619,463.50169306667243,98.775509966501,A,N,Africa
ERI,Eritrea,15.363352952945636,769.6237002322599,109.00304647936811,B,N,Africa
ETH,Ethiopia,8.598219776212193,1251.322399834335,510.51730915058334,B,N,Africa
GAB,Gabon,1.2510814268321522,364.6482802051221,248.40075643239473,A,S,Africa
GHA,Ghana,7.979498116212061,181.7630064271013,300.5760124843382,A,N,Africa
GIN,Guinea,10.46012302217475,436.22356628216374,304.34897201468203,A,N,Africa
GNB,Guinea Bissau,12.05066056530468,32.57025273713615,99.11712880682114,A,N,Africa
KEN,Kenya,1.9332300316014852,787.5803421829214,454.71623759368026,B,N,Africa
LSO,Lesotho,29.574081620049874,2188.8416072663185,236.96594731778995,C,S,Africa
LBR,Liberia,6.435367628090752,206.24042372380197,116.37257196373822,A,N,Africa
LBY,Libya,26.950202804174335,415.7450045482115,502.03235018792856,B,N,Africa
MDG,Madagascar,19.312634985615816,539.777911250935,95.62894141241759,A,S,Africa
MWI,Malawi,13.422552940220916,954.5437655136984,531.2220119449437,C,S,Africa
MLI,Mali,17.297889704874155,317.519588777789,1058.180873695036,B,N,Africa
MRT,Mauritania,20.204378553203522,260.77186253294667,553.4516747553963,B,N,Africa
MAR,Morocco,31.838021583836717,875.9900741772666,171.6663230091668,B,N,Africa
MOZ,Mozambique,17.20135241247984,353.2952879799799,222.26652017071027,A,S,Africa
NAM,Namibia,22.10164822917238,1091.1543704759322,329.02912655125397,B,S,Africa
NER,Niger,17.375063951131988,458.33205056003294,1202.10814884376,B,N,Africa
NGA,Nigeria,9.538484373568563,326.2063069161272,509.10934176180297,A,N,Africa
RWA,Rwanda,1.9712447312103618,1705.504218813722,1067.7347815362707,A,S,Africa
SEN,Senegal,14.374449154444338,49.71412429942384,222.93758643600805,B,N,Africa
SLE,Sierra Leone,8.556548525581462,196.6324841514444,127.63732339742312,A,N,Africa
SOM,Somalia,6.081605029217402,419.24139472079736,136.8940604355091,B,N,Africa
ZAF,South Africa,28.914148941647042,1031.7255632089461,304.3282827315917,B,S,Africa
SDN,Sudan,15.92972322132045,529.9570054983617,878.3694680976688,B,N,Africa
SWZ,Swaziland,26.55366729810427,644.23699697905,121.09503961154786,C,S,Africa
TZA,Tanzania,6.421336926263581,1015.5396083759366,468.4152228608486,A,S,Africa
TGO,Togo,8.482319525421905,255.09907970267395,276.48138821972964,A,N,Africa
TUN,Tunisia,34.07426198936969,256.42913446645343,114.78153594515533,B,N,Africa
UGA,Uganda,1.6799432486088925,1156.7355034082102,999.7748732227714,A,N,Africa
ZMB,Zambia,13.468932390446058,1123.055285870512,984.5775070167462,C,S,Africa
ZWE,Zimbabwe,18.97800643745139,976.017068772015,546.0859407785166,B,S,Africa
AFG,Afghanistan,33.76817950299666,1802.3079047601627,912.5023276981528,B,N,Asia
ARM,Armenia,40.33621087456007,1852.888530193389,271.4791490683092,D,N,Asia
AZE,Azerbaijan,40.266549410824354,643.473824875718,137.05014722856495,B,N,Asia
BGD,Bangladesh,23.824871125395287,25.37462280575267,154.98310096737114,A,N,Asia
MMR,Burma,21.01194737341006,570.5016546502317,330.917623021011,A,N,Asia
KHM,Cambodia,12.704304304190087,123.1620801327417,193.78765404184912,A,N,Asia
CHN,China,35.90562553970296,1829.0466435350136,1002.0085868368709,B,N,Asia
GEO,Georgia,42.19246465263545,1239.5388294943834,138.3790431405706,D,N,Asia
IND,India,22.662846267196468,565.3964098046754,456.9450938820592,A,N,Asia
IDN,Indonesia,3.1605983648272575,329.9082870566105,83.05978684615347,A,S,Asia
IRN,Iran,32.42565816299135,1252.0120785055553,291.1144392049931,B,N,Asia
IRQ,Iraq,32.93695137550909,300.6508917252356,430.4027038100381,B,N,Asia
ISR,Israel,31.45335382069908,306.86757127852195,51.529693744339255,B,N,Asia
JPN,Japan,37.32577149945765,388.7242538069018,46.52167473737616,D,N,Asia
JOR,Jordan,31.257354786844438,766.845265819918,189.07205569240185,B,N,Asia
KAZ,Kazakhstan,48.01183103871047,360.17199021852525,1113.8547333348788,B,N,Asia
LAO,Laos,18.50787735402101,659.1269702201769,285.76150756420714,A,N,Asia
LBN,Lebanon,33.91600644450052,979.0885785047523,28.207216614306407,C,N,Asia
MYS,Malaysia,3.7869025369073386,266.5507579374853,71.66835985938835,A,N,Asia
MNG,Mongolia,46.72946041089618,1489.2477545236122,1496.291211685167,B,N,Asia
NPL,Nepal,28.263426520718873,2122.0242024122344,821.9975029382396,C,N,Asia
OMN,Oman,20.55673912615902,275.3275104687551,116.41141377127529,B,N,Asia
PAK,Pakistan,29.86104423761397,1012.4713140623363,622.0939811563662,B,N,Asia
PHL,Philippines,11.680476829584695,,30.834405170278583,A,N,Asia
QAT,Qatar,25.296896981031818,25.908567167213757,17.94138821212011,B,N,Asia
