iso3,Country,terrestrial_area_km2,n_pixels_60s,abs_latitude,hemisphere,north_area_fraction,elevation_coverage,elevation_if_computed,elevation,continentality_coverage,continentality,continentality_5min,continentality_60s_check,climate_zone,koppen_area_share_A,koppen_area_share_B,koppen_area_share_C,koppen_area_share_D,koppen_area_share_E,koppen_unclassified_share,koppen_winner_margin_km2,koppen_unclassified_km2,mixed_pixel_area_km2,elevation_water_centred_land_km2,negative_land_area_km2,elevation_missing_fraction,elevation_missing_cause,climate_missing_cause,missing_reasons,continentality_60s_pass,gpw_footprint_area_km2,gpw_cells,removed_water_area_km2,spatial_block,v1_abs_latitude,v1_elevation,v1_continentality,v1_climate_zone,v1_hemisphere,continentality_station_v1,continentality_station_exact_arc,continentality_diff_3min_vs_5min_km,continentality_diff_3min_vs_60s_km,continentality_quadrature,continentality_3min,continentality_quadrature_ok,climate_zone_changed,hemisphere_changed,abs_latitude_change,elevation_change,continentality_change
DZA,Algeria,2314399.6540727946,766999,27.988472911053748,N,1.0,0.9998838329022973,557.412278924512,557.412278924512,0.9999999999987743,755.7776573398834,755.7797538662625,,B,0.0,0.9656835209256797,0.03425682368647425,0.0,0.0,5.965538777628556e-05,2155693.6258845828,138.06640883301372,1428.0343286114926,268.85709074470026,7938.641792071895,0.00011616709770569466,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,2333330.424329903,3437,18930.77025710838,Africa,35.206,314.5950439453125,148.41535189827113,C,N,148.41535189827113,148.26040002483552,0.0020965263790913014,,3min,755.7776573398834,True,True,False,-7.217527088946255,242.81723497919944,607.3623054416123
AGO,Angola,1255422.9230848236,375474,12.294021891679662,S,0.0,0.9996178078321065,1066.3845950214652,1066.3845950214652,1.0000000000001394,490.03807158764164,490.03813007490515,,A,0.39884625629298287,0.21177757772433295,0.3891615890116492,0.0,0.0,0.00021457697119741005,12158.353307435871,269.38484840734054,2523.7755299031605,479.81280859733164,97.62009872069828,0.00038219216789377733,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,1280731.8460018006,1699,25308.922916976968,Africa,12.32,447.00633748372394,160.7492019566083,C,S,160.7492019566083,160.72717698068448,5.8487263515871746e-05,,3min,490.03807158764164,True,True,False,-0.025978108320337867,619.3782575377413,329.2888696310333
BEN,Benin,114531.48085091682,33913,9.68824863231078,N,1.0,0.9995666173159872,266.36051336049957,266.36051336049957,0.9999999999999586,386.4750053302424,386.4734953038693,,A,0.953786505579327,0.04621349442068473,0.0,0.0,0.0,0.0,103945.68094832495,0.0,293.4031976411754,49.635960575189245,59.72116316630749,0.00043338268401330905,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,115753.6866437784,152,1222.2057928615832,Africa,8.571666666666667,170.6803414026896,259.15676787430976,A,N,259.15676787430976,259.15208813477557,0.0015100263731255836,,3min,386.4750053302424,True,False,False,1.1165819656441123,95.68017195780996,127.31823745593266
BWA,Botswana,579596.5065838373,182400,22.14035581849519,S,0.0,0.9999518088528077,1030.6506075537814,1030.6506075537814,0.9999999999999721,809.7426452606967,809.7483312741739,,B,0.0,1.0,0.0,0.0,0.0,0.0,579596.5065838373,0.0,178.11171846765805,27.931420561291368,0.0,4.819114719293283e-05,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,579983.3087056329,811,386.8021217955975,Africa,24.92,1113.0069580078125,607.1320549029783,B,S,607.1320549029783,607.1320549029783,0.005686013477202323,,3min,809.7426452606967,True,False,False,-2.7796441815048105,-82.35635045403114,202.61059035771837
BFA,Burkina Faso,276301.34466573206,82350,12.276695235758803,N,1.0,1.0,297.93037330882635,297.93037330882635,0.9999999999999913,753.2786512004666,753.2787712848359,,B,0.44987295711582215,0.5501270428841688,0.0,0.0,0.0,0.0,27700.33870602782,0.0,0.0,0.0,0.0,0.0,,,{},,276301.344665729,366,-3.0850060284137726e-09,Africa,11.25,328.78623962402344,663.8004651185327,A,N,663.8004651185327,663.7639708381273,0.0001200843693140996,,3min,753.2786512004666,True,True,False,1.0266952357588028,-30.85586631519709,89.47818608193393
BDI,Burundi,24950.97648597437,7346,3.337967818310983,S,0.0,0.9980958575179473,1556.1509269757755,1556.1509269757755,0.9999999999999901,1018.2756356984105,1018.2735801993756,,A,0.7526925000744694,0.0,0.2473074999255253,0.0,0.0,0.0,12609.849255080457,0.0,265.05506197658787,47.510214295629474,0.0,0.0019041424820522063,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,26998.87059252428,35,2047.8941065499093,Africa,4.02,1952.42529296875,1019.9677893297082,A,S,1019.9677893297082,1019.9677893297087,0.002055499034895547,,3min,1018.2756356984105,True,False,False,-0.6820321816890167,-396.2743659929745,-1.6921536312977423
CMR,Cameroon,461707.747748905,135609,5.682821845053887,N,1.0,0.9992182809975801,642.6655590133564,642.6655590133564,0.9999999999999062,456.33414211290784,456.3305771503617,,A,0.9510999896853576,0.04890001031464382,0.0,0.0,0.0,0.0,416552.7204943608,0.0,2005.536767811012,360.92571998367106,20.287588556360955,0.0007817190024282564,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,470946.7439406,613,9238.996191695041,Africa,6.484666666666667,373.34877624511716,394.9028883457315,A,N,394.9028883457315,394.9020843492129,0.00356496254613603,,3min,456.33414211290784,True,False,False,-0.8018448216127796,269.31678276823925,61.431253767176315
CAF,Central African Republic,623105.9093907027,182700,6.572917337775946,N,1.0,1.0,593.7614743414721,593.7614743414721,1.0000000000002516,1251.7738853589562,1251.7745877149546,,A,0.9719453523864725,0.028054647613534992,0.0,0.0,0.0,0.0,588143.8759629725,0.0,0.0,0.0,0.0,0.0,,,{},,623105.9093908622,812,1.594889909029007e-07,Africa,4.02,362.7322998046875,969.5623067843129,A,N,969.5623067843129,969.5623067843129,0.0007023559983281302,,3min,1251.7738853589562,True,False,False,2.5529173377759466,231.02917453678458,282.21157857464334
TCD,Chad,1272599.658939126,385334,15.29009350032433,N,1.0,0.9999005782327555,516.4185522906348,516.4185522906348,0.9999999999998184,1322.3596562859764,1322.3624279424894,,B,0.15377681778156663,0.8462231822179528,0.0,0.0,0.0,0.0,881207.0072153828,0.0,685.9292660844972,126.52410709240225,0.0,9.942176724915692e-05,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),,{},,1278084.7138796549,1719,5485.054940528935,Africa,8.84,398.74542236328125,1020.8945842181433,A,N,1020.8945842181433,1020.8569826387,0.0027716565130049275,,3min,1322.3596562859764,True,True,False,6.45009350032433,117.67312992735356,301.46507206783303
COG,Congo,340981.5687371502,99861,2.1223028681709777,S,0.41531988466910436,0.9990872912334321,408.67332403708895,408.67332403708895,0.9999999999999013,540.518999328677,540.5198082669473,,A,0.9999952350045138,0.0,0.0,0.0,0.0,4.764995486208303e-06,340979.94396151433,1.6247756359127472,1407.3473608254515,311.216867023272,0.0,0.0009127087665643808,terrestrial support inside 60″ ETOPO pixels whose centre is water (spec §4 elevation rule; coastline/island resolution),terrestrial support inside Köppen 0.5° pixels coded 0/unmapped (source raster land/sea resolution),{},,348181.9955182846,451,7200.426781134389,Africa,4.02,392.1075134277344,388.2906643268661,A,S,388.2906643268661,388.2965994266766,0.0008089382703246883,,3min,540.518999328677,True,False,False,-1.8976971318290219,16.56581060935457,152.22833500181088
