iso3,Country,baseline_dryness
DZA,Algeria,-1.690545065058128
AGO,Angola,-0.10409546491160332
BEN,Benin,-0.13267832911618943
BWA,Botswana,-0.5583172208393922
BFA,Burkina Faso,-0.3373503232509182
BDI,Burundi,0.012912130170718556
CMR,Cameroon,0.12346338813156389
CAF,Central African Republic,0.00016536268803249142
TCD,Chad,-1.0904460945639662
COG,Congo,0.19905531741994667
COD,Congo (Democratic Republic Of The),0.1203669372525435
CIV,Côte D'Ivoire,0.06251361429026855
DJI,Djibouti,-1.004749439005027
EGY,Egypt,-2.4441354866345066
GNQ,Equatorial Guinea,0.4142862575969018
ERI,Eritrea,-0.8648933963655089
ETH,Ethiopia,-0.34692630068529023
GAB,Gabon,0.31140127825829206
GHA,Ghana,-0.004091966657969223
GIN,Guinea,0.11179389972940838
GNB,Guinea Bissau,0.04754752188125088
KEN,Kenya,-0.44843412271948313
LSO,Lesotho,-0.13873181685035302
LBR,Liberia,0.358816597990449
LBY,Libya,-2.1501616022424006
MDG,Madagascar,0.037595442819327134
MWI,Malawi,-0.1156496838005782
MLI,Mali,-1.0709636454013889
MRT,Mauritania,-1.411210768265098
MAR,Morocco,-0.721142768325312
MOZ,Mozambique,-0.16512565831398865
NAM,Namibia,-0.8603458850701876
NER,Niger,-1.4325546391666584
NGA,Nigeria,-0.15343935803457467
RWA,Rwanda,0.03726627477817363
SEN,Senegal,-0.371739395902356
SLE,Sierra Leone,0.2906209330341926
SOM,Somalia,-0.9478454250558261
ZAF,South Africa,-0.5570233422805293
SDN,Sudan,-1.2108185895223982
SWZ,Swaziland,-0.19782008933855233
TZA,Tanzania,-0.18165609999591856
TGO,Togo,-0.04055048665777438
TUN,Tunisia,-0.9170445193090879
UGA,Uganda,-0.0946799516102337
ZMB,Zambia,-0.11958188952068632
ZWE,Zimbabwe,-0.2936083616964398
AFG,Afghanistan,-0.7146694628589113
ARM,Armenia,-0.21202360060967626
AZE,Azerbaijan,-0.31167445020336865
BGD,Bangladesh,0.2960988617603756
MMR,Burma,0.22660987921648995
KHM,Cambodia,0.11057484550586248
CHN,China,-0.3876841946530638
GEO,Georgia,0.09318305637938669
IND,India,-0.19969311686803579
IDN,Indonesia,0.3346510484922892
IRN,Iran,-0.8642126366734831
IRQ,Iraq,-1.0537321397250505
ISR,Israel,-0.8506789745873258
JPN,Japan,0.32060553393234176
JOR,Jordan,-1.258017536526211
KAZ,Kazakhstan,-0.6445281131697548
LAO,Laos,0.16228199007175143
LBN,Lebanon,-0.2537877927356001
MYS,Malaysia,0.42123210636353337
MNG,Mongolia,-0.6066728988395625
NPL,Nepal,0.07756874036152775
OMN,Oman,-1.5518437859479248
PAK,Pakistan,-0.8160707558087908
PHL,Philippines,0.3405614045385461
QAT,Qatar,-1.465321596828846
SAU,Saudi Arabia,-1.3872880374551892
KOR,South Korea,0.17455528174673104
LKA,Sri Lanka,0.07393631005135883
SYR,Syria,-0.796617529834009
TWN,Taiwan,0.31439606991389757
TJK,Tajikistan,-0.1877410641243553
THA,Thailand,0.06991066545042793
TUR,Turkey,-0.2563438947962282
TKM,Turkmenistan,-1.0257506464403512
ARE,United Arab Emirates,-1.5513624822447576
UZB,Uzbekistan,-0.9080445388031221
VNM,Vietnam,0.17837421750915014
YEM,Yemen,-1.109839906065466
ALB,Albania,0.1038326817933687
AUT,Austria,0.21969659624808846
BLR,Belarus,0.011670253440293297
BEL,Belgium,0.09861927026964269
BIH,Bosnia And Herzegovina,0.13530764297454892
BGR,Bulgaria,-0.13421312910501412
HRV,Croatia,0.13199196576803773
CYP,Cyprus,-0.46049426789803233
CZE,Czech Republic,0.013303254127415405
DNK,Denmark,0.0858769386252542
EST,Estonia,0.06734268230802216
FIN,Finland,0.07706329029855956
FRA,France,0.0050080328877142805
DEU,Germany,0.04278270444753817
GRC,Greece,-0.15717917683527366
HUN,Hungary,-0.10142803766628666
ISL,Iceland,0.41755912856398825
IRL,Ireland,0.34071060439457873
ITA,Italy,-0.05531534964241385
LVA,Latvia,0.07604743231970187
LTU,Lithuania,0.07370679224942324
MKD,Macedonia,-0.1286631474920621
MDA,Moldova,-0.26244803119608257
MNE,Montenegro,0.19005224952157956
NLD,Netherlands,0.08555897360277517
NOR,Norway,0.33381870232769667
POL,Poland,-0.01684578792757894
PRT,Portugal,-0.13531292162243758
ROU,Romania,-0.0868540711419185
RUS,Russia,-0.003971580076622981
SRB,Serbia,-0.060714036139097774
SVK,Slovakia,0.04114980200147669
SVN,Slovenia,0.3067931666120929
ESP,Spain,-0.26980353636602133
SWE,Sweden,0.1054497588744589
CHE,Switzerland,0.272105748046081
UKR,Ukraine,-0.1674040039449113
GBR,United Kingdom,0.3070490664412264
BHS,Bahamas,-0.09731127726756522
CAN,Canada,-0.02519107173593832
CRI,Costa Rica,0.31023255254949045
CUB,Cuba,-0.014067852242300555
DOM,Dominican Republic,0.058494066930140816
SLV,El Salvador,0.041481502048203014
GTM,Guatemala,0.1749307724507974
HTI,Haiti,0.03061640594969638
HND,Honduras,0.048588741194406315
JAM,Jamaica,0.14293991000979356
MEX,Mexico,-0.4177197500855169
NIC,Nicaragua,0.16251690646173753
PAN,Panama,0.24982935422529556
USA,United States,-0.2380549712368356
AUS,Australia,-0.727806409329885
NZL,New Zealand,0.3186684835909869
PNG,Papua New Guinea,0.3729194211537806
ARG,Argentina,-0.468880811971432
BOL,Bolivia,-0.1993715943245521
BRA,Brazil,0.1496205919460442
CHL,Chile,-0.3784859454636044
COL,Colombia,0.31234082432265925
ECU,Ecuador,0.18750569934479167
PRY,Paraguay,-0.18005852603755143
PER,Peru,-0.05493896787702691
SUR,Suriname,0.2704607912476797
URY,Uruguay,-0.01911700740150805
VEN,Venezuela,0.12956603912025616
