iso3,Country,total_land_area_km2,native_valid_area_km2,harmonized_area_km2,unresolved_area_km2,unresolved_structural_area_km2,non_structural_invalid_area_km2,native_fraction,harmonized_fraction,unresolved_fraction,coverage,n_cru_cells,n_native_cells,n_harmonized_cells,n_unresolved_cells,n_non_structural_invalid_cells,n_cross_border_cells,cross_border_area_km2,mean_donor_distance_km,area_weighted_mean_donor_distance_km,max_donor_distance_km,c2_native_support_only,c2_harmonized,delta_c2_harmonization,p_bar_native_area_mean_mm_yr,e_bar_native_area_mean_mm_yr,pre_station_supported_share,pre_mean_station_count,pre_pure_climatology_share
DZA,Algeria,2314399.6540701627,2314350.7300433666,48.92402679596162,0.0,0.0,0.0,0.9999788610291614,2.1138970838473198e-05,0.0,1.0,903,901,2,0,0,0,0.0,44.35965097507031,44.35965097507031,44.35965097507031,-1.690578010284271,-1.690545065058128,3.294522614294415e-05,82.92439663537539,1728.8862320827545,0.8962337923119857,3.7723424203836182,0.01368442864870171
AGO,Angola,1255422.9230849745,1255380.7863109943,42.136773980097985,0.0,0.0,0.0,0.9999664361919753,3.356380802459341e-05,0.0,1.0,450,446,4,0,0,0,0.0,54.94313188155108,54.899385339592506,55.27649118295996,-0.10409120298364477,-0.10409546491160332,-4.261927958548739e-06,1036.3980884518764,1231.3171534342712,0.8566200654957918,4.173808962344572,0.0
BEN,Benin,114531.48085091083,114531.48085091083,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,52,52,0,0,0,0,0.0,NA,NA,NA,-0.13267832911618943,-0.13267832911618943,0.0,1071.7027132344806,1461.039690475587,1.0,7.986517181852528,0.0
BWA,Botswana,579596.5065838462,579596.5065838462,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,219,219,0,0,0,0,0.0,NA,NA,NA,-0.5583172208393922,-0.5583172208393922,0.0,401.2942402636644,1415.3158162186437,0.9975995879138517,7.801003227571997,0.0
BFA,Burkina Faso,276301.3446657295,276301.3446657295,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,105,105,0,0,0,0,0.0,NA,NA,NA,-0.3373503232509182,-0.3373503232509182,0.0,867.7897984234007,1840.0527358133781,0.9999620723306039,7.9875387253104755,0.0
BDI,Burundi,24950.97648597405,24950.97648597405,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14,14,0,0,0,0,0.0,NA,NA,NA,0.012912130170718556,0.012912130170718556,0.0,1162.737801379285,1126.184017333098,1.0,7.681546613539672,0.0
CMR,Cameroon,461707.74774887605,461707.74774887605,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,178,178,0,0,0,0,0.0,NA,NA,NA,0.12346338813156389,0.12346338813156389,0.0,1671.0263850816325,1224.141482494321,0.9470339112146495,6.426513550366649,0.0
CAF,Central African Republic,623105.9093908592,623105.9093908592,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,224,224,0,0,0,0,0.0,NA,NA,NA,0.00016536268803249142,0.00016536268803249142,0.0,1401.213120670637,1388.530513208529,0.8508808235770552,4.922811182856316,0.0
TCD,Chad,1272599.6589388547,1272599.6589388547,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,458,458,0,0,0,0,0.0,NA,NA,NA,-1.0904460945639662,-1.0904460945639662,0.0,360.7753469469194,2175.8140146400174,0.5471291588676379,2.411045120729714,0.03763286437547795
COG,Congo,340981.56873713405,340979.94396149815,1.6247756359127472,0.0,0.0,0.0,0.9999952350045138,4.764995486208529e-06,0.0,1.0,134,133,1,0,0,0,0.0,55.29135878721182,55.29135878721182,55.29135878721182,0.1990557836864496,0.19905531741994667,-4.66266502935353e-07,1609.4183372910309,1015.8945622861982,0.9652824535596407,5.5054224574378825,0.0
