iso3,Country,baseline_dryness
DZA,Algeria,-1.690578010284271
AGO,Angola,-0.10409120298364477
BEN,Benin,-0.13267832911618943
BWA,Botswana,-0.5583172208393922
BFA,Burkina Faso,-0.3373503232509182
BDI,Burundi,0.012912130170718556
CMR,Cameroon,0.12346338813156389
CAF,Central African Republic,0.00016536268803249142
TCD,Chad,-1.0904460945639662
COG,Congo,0.1990557836864496
COD,Congo (Democratic Republic Of The),0.1203669372525435
CIV,Côte D'Ivoire,0.06251172185873671
DJI,Djibouti,-1.004749439005027
EGY,Egypt,-2.444343663635309
GNQ,Equatorial Guinea,0.4142862575969018
ERI,Eritrea,-0.8641918748458367
ETH,Ethiopia,-0.34692630068529023
GAB,Gabon,0.3113931468800155
GHA,Ghana,-0.004130773443013801
GIN,Guinea,0.11176886913096312
GNB,Guinea Bissau,0.047536494157835854
KEN,Kenya,-0.4484535002723071
LSO,Lesotho,-0.13873181685035302
LBR,Liberia,0.358731346892035
LBY,Libya,-2.1503039067805454
MDG,Madagascar,0.03762112082789006
MWI,Malawi,-0.1156496838005782
MLI,Mali,-1.0709636454013889
MRT,Mauritania,-1.4113313266854213
MAR,Morocco,-0.7211489615863158
MOZ,Mozambique,-0.16513649290836926
NAM,Namibia,-0.8600057182015991
NER,Niger,-1.4325546391666584
NGA,Nigeria,-0.1535231212042771
RWA,Rwanda,0.03726627477817363
SEN,Senegal,-0.37171877874727005
SLE,Sierra Leone,0.29047149568629144
SOM,Somalia,-0.9478741929276064
ZAF,South Africa,-0.557060290850058
SDN,Sudan,-1.2108183796659135
SWZ,Swaziland,-0.19782008933855233
TZA,Tanzania,-0.18166772243238533
TGO,Togo,-0.04055048665777438
TUN,Tunisia,-0.9174216711751012
UGA,Uganda,-0.0946799516102337
ZMB,Zambia,-0.11958188952068632
ZWE,Zimbabwe,-0.2936083616964398
AFG,Afghanistan,-0.7146694628589113
ARM,Armenia,-0.21202360060967626
AZE,Azerbaijan,-0.3116949698066961
BGD,Bangladesh,0.29601280246847184
MMR,Burma,0.2260011424818178
KHM,Cambodia,0.11051562928577324
CHN,China,-0.3877733313185877
GEO,Georgia,0.0931645259418555
IND,India,-0.19991309041672486
IDN,Indonesia,0.3355729762355394
IRN,Iran,-0.8645129683153921
IRQ,Iraq,-1.0537321397250505
ISR,Israel,-0.8506789745873258
JPN,Japan,0.320535394822658
JOR,Jordan,-1.258017536526211
