iso3,Country,terrestrial_area_km2,valid_area_km2,coverage,baseline_dryness,p_bar_area_mean_mm_yr,e_bar_area_mean_mm_yr,pre_station_supported_share,pre_mean_station_count,pre_pure_climatology_share,n_cru_cells,n_valid_cru_cells,invalid_reasons
DZA,Algeria,2314399.6540701627,2314350.7300433666,0.9999788610291614,-1.690578010284271,82.92439663537539,1728.8862320827545,0.8962337923119857,3.7723424203836182,0.01368442864870171,903,901,"{""non-finite month"": 48.924027}"
AGO,Angola,1255422.9230849745,1255380.7863109943,0.9999664361919753,-0.10409120298364477,1036.3980884518764,1231.3171534342712,0.8566200654957918,4.173808962344572,0.0,450,446,"{""non-finite month"": 42.136774}"
BEN,Benin,114531.48085091083,114531.48085091083,1.0,-0.13267832911618943,1071.7027132344806,1461.039690475587,1.0,7.986517181852528,0.0,52,52,{}
BWA,Botswana,579596.5065838462,579596.5065838462,1.0,-0.5583172208393922,401.2942402636644,1415.3158162186437,0.9975995879138517,7.801003227571997,0.0,219,219,{}
BFA,Burkina Faso,276301.3446657295,276301.3446657295,1.0,-0.3373503232509182,867.7897984234007,1840.0527358133781,0.9999620723306039,7.9875387253104755,0.0,105,105,{}
BDI,Burundi,24950.97648597405,24950.97648597405,1.0,0.012912130170718556,1162.737801379285,1126.184017333098,1.0,7.681546613539672,0.0,14,14,{}
CMR,Cameroon,461707.74774887605,461707.74774887605,1.0,0.12346338813156389,1671.0263850816325,1224.141482494321,0.9470339112146495,6.426513550366649,0.0,178,178,{}
CAF,Central African Republic,623105.9093908592,623105.9093908592,1.0,0.00016536268803249142,1401.213120670637,1388.530513208529,0.8508808235770552,4.922811182856316,0.0,224,224,{}
TCD,Chad,1272599.6589388547,1272599.6589388547,1.0,-1.0904460945639662,360.7753469469194,2175.8140146400174,0.5471291588676379,2.411045120729714,0.03763286437547795,458,458,{}
COG,Congo,340981.56873713405,340979.94396149815,0.9999952350045138,0.1990557836864496,1609.4183372910309,1015.8945622861982,0.9652824535596407,5.5054224574378825,0.0,134,133,"{""non-finite month"": 1.624776}"
COD,Congo (Democratic Republic Of The),2301556.6931787813,2301556.6931787813,1.0,0.1203669372525435,1521.2002735704484,1140.4302526778972,0.9357152000672536,5.330328710333081,0.0,807,807,{}
CIV,Côte D'Ivoire,321055.45409472036,321048.57431403355,0.9999785713632986,0.06251172185873671,1391.4704548902764,1193.2900508029227,1.0,7.965922853306332,0.0,122,121,"{""non-finite month"": 6.879781}"
DJI,Djibouti,22046.795631038593,22046.795631038593,1.0,-1.004749439005027,176.21156658168132,1707.3910217787945,0.9924398586051335,3.204873804899005,0.0,12,12,{}
EGY,Egypt,997578.3068025362,997274.0026192317,0.9996949570963708,-2.444343663635309,21.159238684091704,2088.783485387092,0.6779350048382341,3.1194203985186597,0.0,398,389,"{""non-finite month"": 304.304183}"
GNQ,Equatorial Guinea,27095.440164328564,27079.776075861628,0.9994218920832458,0.4142862575969018,2588.109392985744,989.1045678687404,0.9682576129033772,6.54387133839872,0.0,18,17,"{""non-finite month"": 15.664088}"
ERI,Eritrea,120700.07481728542,120178.16699807525,0.9956759942361243,-0.8641918748458367,282.30413645143403,1817.5499816954618,0.9997501336827878,6.7756546786924865,0.0,63,55,"{""non-finite month"": 521.907819}"
ETH,Ethiopia,1127266.4671364443,1127266.4671364443,1.0,-0.34692630068529023,838.1768281103051,1570.6468619285672,0.9945399666366539,5.062010627209049,0.0,396,396,{}
GAB,Gabon,268289.02853286813,268150.5380583317,0.9994838012001692,0.3113931468800155,1889.6674423082463,915.4043068998094,0.834822912667481,4.865542179110803,0.0,106,105,"{""non-finite month"": 138.490475}"
GHA,Ghana,229026.4018367001,228973.92349897802,0.9997708633707677,-0.004130773443013801,1252.3395986244066,1261.5149108174194,1.0,7.99611067236316,0.0,93,91,"{""non-finite month"": 52.478338}"
GIN,Guinea,246704.1990424227,246679.09536088508,0.999898243801139,0.11176886913096312,1934.3632597813573,1459.8220184176705,0.9988070450840862,7.892898932694262,0.0,99,97,"{""non-finite month"": 25.103682}"
GNB,Guinea Bissau,34238.115277493336,34236.33382612827,0.9999479687666617,0.047536494157835854,1841.4110984926465,1625.6263906176146,0.9999385325122748,7.943210767477754,0.0,22,21,"{""non-finite month"": 1.781451}"
KEN,Kenya,581504.888869616,581418.3644217994,0.9998512059838659,-0.4484535002723071,657.11638141044,1684.4811734806851,1.0,7.9805896576261,0.0,210,209,"{""non-finite month"": 86.524448}"
LSO,Lesotho,30914.73783034189,30914.73783034189,1.0,-0.13873181685035302,851.5856049209697,1162.543088576556,1.0,8.0,0.0,15,15,{}
LBR,Liberia,96519.24037196237,96402.77993887826,0.9987933967089329,0.358731346892035,2590.3182260693575,1122.0379134817579,0.9965580995887899,7.7237391823230785,0.0,44,42,"{""non-finite month"": 116.460433}"
LBY,Libya,1618836.5705896516,1618640.8196710816,0.9998790792584463,-2.1503039067805454,41.540985141925,1942.3152069264372,0.5947042853033312,2.2079848943805733,0.04154387113213278,631,623,"{""non-finite month"": 195.750919}"
MDG,Madagascar,592900.1819546571,592527.9632133007,0.9993722067344806,0.03762112082789006,1442.056406888853,1240.598632735891,0.8948651126153173,2.3392283463301022,0.003785341481437662,256,242,"{""non-finite month"": 372.218741}"
MWI,Malawi,98041.78596979097,98041.78596979097,1.0,-0.1156496838005782,1042.3803889212945,1339.617308922484,1.0,7.9992778697491405,0.0,50,50,{}
MLI,Mali,1251659.479751496,1251659.479751496,1.0,-1.0709636454013889,353.3736815858177,2073.9977023965134,0.8281180770795488,5.50194393386341,0.1162009863109846,460,460,{}
MRT,Mauritania,1041473.3518872622,1041094.3402556475,0.9996360812968207,-1.4113313266854213,120.27985126383106,2060.5439363614378,0.8387214715223812,5.1260588073135755,0.03219391654749766,392,388,"{""non-finite month"": 379.011632}"
MAR,Morocco,409414.6933406997,409391.0449057459,0.999942238431257,-0.7211489615863158,330.9925384392138,1387.8707320471697,0.9981988741083995,7.259047864716169,0.0,191,187,"{""non-finite month"": 23.648435}"
MOZ,Mozambique,779436.999430529,779003.9905809179,0.9994444594624999,-0.16513649290836926,980.4657990482195,1379.1372468467857,0.992088055958701,7.842802061472657,0.0,321,310,"{""non-finite month"": 433.00885}"
NAM,Namibia,820093.3269202465,819855.2300749583,0.9997096710368534,-0.8600057182015991,267.9218164100452,1483.9193778142658,0.9936510252212581,7.67274471664131,0.0,315,310,"{""non-finite month"": 238.096845}"
NER,Niger,1187341.3996928008,1187341.3996928008,1.0,-1.4325546391666584,194.98176824612094,2368.5535544406953,0.7279632552501818,3.1955618812579085,0.006006410374269816,436,436,{}
NGA,Nigeria,894660.4336191333,894521.8209522432,0.9998450667295865,-0.1535231212042771,1230.7936796091396,1667.3109872332661,0.9869658893896629,7.289794713226187,0.0,332,330,"{""non-finite month"": 138.612667}"
RWA,Rwanda,24860.68554957597,24860.68554957597,1.0,0.03726627477817363,1106.5908253868658,1006.1026456060059,1.0,7.8077514789373765,0.0,13,13,{}
SEN,Senegal,192440.60717483712,192349.25835145643,0.99952531420098,-0.37171877874727005,827.1986772598705,1785.284495974162,1.0,7.969066817934838,0.0,82,79,"{""non-finite month"": 91.348823}"
SLE,Sierra Leone,74510.3480222396,74439.45537861595,0.999048553046585,0.29047149568629144,2864.7157749875737,1457.3150719365824,0.9782004400105687,7.660246983654461,0.0,32,30,"{""non-finite month"": 70.892644}"
SOM,Somalia,633117.3597401825,632952.1534104182,0.9997390589166089,-0.9478741929276064,247.3886845595816,1931.043904585482,0.8397786087108239,3.3232869475145264,0.06182830801454942,252,245,"{""non-finite month"": 165.20633}"
ZAF,South Africa,1220021.7881339747,1219852.7336805866,0.9998614332505925,-0.557060290850058,474.350544922241,1442.9694449185447,0.9997381088044927,7.997783950771666,0.0,512,507,"{""non-finite month"": 169.054453}"
SDN,Sudan,1862259.576883068,1862172.8786054887,0.999953444579555,-1.2108183796659135,283.8014207261095,2089.1270867668445,0.7535370898640888,4.322292535931602,0.018739981993063048,660,655,"{""non-finite month"": 86.698278}"
