iso3,Country,terrestrial_area_km2,valid_area_km2,missing_area_km2,coverage,passes_0_98,n_support_cells,n_invalid_support_cells,missing_area_both_pre_and_pet_masked_km2,missing_area_pet_masked_pre_valid_km2,missing_area_pre_masked_pet_valid_km2,missing_area_temporal_partial_km2,missing_area_nonpositive_mean_km2,missing_area_masked_all_1500_months_km2,missing_cells_area_weighted_mean_151_country_land_fraction,missing_cells_max_151_country_land_fraction
DZA,Algeria,2314399.6540701627,2314350.7300433666,48.92402679596162,0.9999788610291614,True,903,2,0.0,48.92402679596162,0,0,0,48.92402679596162,0.01214285404037372,0.014619679742956158
AGO,Angola,1255422.9230849745,1255380.7863109945,42.136773980097985,0.9999664361919754,True,450,4,27.953000536650222,14.183773443447759,0,0,0,42.136773980097985,0.004530601682968978,0.005933303082703617
BEN,Benin,114531.48085091083,114531.48085091083,0.0,1.0,True,52,0,0.0,0.0,0,0,0,0.0,,
BWA,Botswana,579596.5065838462,579596.5065838462,0.0,1.0,True,219,0,0.0,0.0,0,0,0,0.0,,
BFA,Burkina Faso,276301.3446657295,276301.3446657295,0.0,1.0,True,105,0,0.0,0.0,0,0,0,0.0,,
BDI,Burundi,24950.97648597405,24950.97648597405,0.0,1.0,True,14,0,0.0,0.0,0,0,0,0.0,,
CMR,Cameroon,461707.74774887605,461707.74774887605,0.0,1.0,True,178,0,0.0,0.0,0,0,0,0.0,,
CAF,Central African Republic,623105.9093908592,623105.9093908592,0.0,1.0,True,224,0,0.0,0.0,0,0,0,0.0,,
TCD,Chad,1272599.6589388547,1272599.6589388547,0.0,1.0,True,458,0,0.0,0.0,0,0,0,0.0,,
COG,Congo,340981.56873713405,340979.94396149815,1.6247756359127472,0.9999952350045138,True,134,1,1.6247756359127472,0.0,0,0,0,1.6247756359127472,0.0005278485724588513,0.0005278485724588513
COD,Congo (Democratic Republic Of The),2301556.6931787813,2301556.6931787813,0.0,1.0,True,807,0,0.0,0.0,0,0,0,0.0,,
CIV,Côte D'Ivoire,321055.45409472036,321048.57431403355,6.879780686822067,0.9999785713632986,True,122,1,6.879780686822067,0.0,0,0,0,6.879780686822067,0.0022333612105454367,0.0022333612105454367
DJI,Djibouti,22046.795631038593,22046.795631038593,0.0,1.0,True,12,0,0.0,0.0,0,0,0,0.0,,
EGY,Egypt,997578.3068025362,997274.0026192316,304.3041833046254,0.9996949570963707,True,398,9,242.48375798133088,61.82042532329449,0,0,0,304.3041833046254,0.02177962205528546,0.03198346406280588
GNQ,Equatorial Guinea,27095.440164328564,27079.776075861628,15.664088466934341,0.9994218920832458,True,18,1,15.664088466934341,0.0,0,0,0,15.664088466934341,0.005068724820807359,0.005068724820807359
ERI,Eritrea,120700.07481728542,120178.16699807525,521.90781921018,0.9956759942361243,True,63,8,354.9369902520636,166.97082895811639,0,0,0,521.90781921018,0.04154671681839818,0.056269905684759536
ETH,Ethiopia,1127266.4671364443,1127266.4671364443,0.0,1.0,True,396,0,0.0,0.0,0,0,0,0.0,,
GAB,Gabon,268289.02853286813,268150.5380583317,138.49047453644903,0.9994838012001692,True,106,1,138.49047453644903,0.0,0,0,0,138.49047453644903,0.04483788121602859,0.04483788121602859
GHA,Ghana,229026.4018367001,228973.92349897802,52.47833772206215,0.9997708633707677,True,93,2,13.479760985341773,38.99857673672038,0,0,0,52.47833772206215,0.010533907977347795,0.012659983292360372
GIN,Guinea,246704.1990424227,246679.09536088508,25.103681537617145,0.999898243801139,True,99,2,25.103681537617145,0.0,0,0,0,25.103681537617145,0.00697074308728351,0.007542300086695665
GNB,Guinea Bissau,34238.115277493336,34236.33382612827,1.7814513650638206,0.9999479687666617,True,22,1,1.7814513650638206,0.0,0,0,0,1.7814513650638206,0.0005866155374573499,0.0005866155374573499
KEN,Kenya,581504.888869616,581418.3644217994,86.52444781655767,0.9998512059838659,True,210,1,0.0,86.52444781655767,0,0,0,86.52444781655767,0.02802395895869091,0.028023958958690906
LSO,Lesotho,30914.73783034189,30914.73783034189,0.0,1.0,True,15,0,0.0,0.0,0,0,0,0.0,,
LBR,Liberia,96519.24037196237,96402.77993887826,116.46043308411046,0.9987933967089329,True,44,2,11.425209308703431,105.03522377540703,0,0,0,116.46043308411046,0.031139527588217916,0.03412329167319072
LBY,Libya,1618836.5705896516,1618640.8196710816,195.75091856995,0.9998790792584463,True,631,8,95.59335965251385,100.15755891743612,0,0,0,195.75091856995,0.021728379998947982,0.03328584109237028
MDG,Madagascar,592900.1819546571,592527.9632133007,372.21874135641013,0.9993722067344806,True,256,14,2.2769530797555366,369.94178827665456,0,0,0,372.21874135641013,0.02165714111343952,0.035262202090647614
MWI,Malawi,98041.78596979097,98041.78596979097,0.0,1.0,True,50,0,0.0,0.0,0,0,0,0.0,,
MLI,Mali,1251659.479751496,1251659.479751496,0.0,1.0,True,460,0,0.0,0.0,0,0,0,0.0,,
MRT,Mauritania,1041473.3518872622,1041094.3402556475,379.0116316146926,0.9996360812968207,True,392,4,313.9488247256712,65.06280688902137,0,0,0,379.0116316146926,0.08293675760344014,0.10186158371293555
MAR,Morocco,409414.6933406997,409391.0449057459,23.648434953837096,0.999942238431257,True,191,4,23.648434953837096,0.0,0,0,0,23.648434953837096,0.003506207789671336,0.004343609445148675
MOZ,Mozambique,779436.999430529,779003.9905809179,433.0088496110936,0.9994444594624999,True,321,11,289.58136360382355,143.4274860072701,0,0,0,433.0088496110936,0.030806991185818335,0.04748159811587615
