target_lat_index,target_lon_index,target_lat,target_lon,iso3,target_land_area_km2,pre_state,pet_state,status,reason,donor_lat_index,donor_lon_index,donor_lat,donor_lon,donor_distance_km,donor_c2,donor_countries,cross_border
68,221,-55.75,-69.25,CHL,62.6538847120044,masked,masked,harmonized,structural_cru_mask,69,221,-55.25,-69.25,55.66635341930504,0.35853582219069546,CHL,False
68,222,-55.75,-68.75,CHL,76.82417405675253,masked,masked,harmonized,structural_cru_mask,68,223,-55.75,-68.25,31.39739826084455,0.3296890229916857,CHL,False
68,226,-55.75,-66.75,CHL,2.7067534619255795,masked,masked,harmonized,structural_cru_mask,68,225,-55.75,-67.25,31.39739826084455,0.2973140593927603,CHL,False
69,217,-55.25,-71.25,CHL,14.51057844619563,masked,masked,harmonized,structural_cru_mask,69,218,-55.25,-70.75,31.797741454681272,0.5395573910092764,CHL,False
69,227,-55.25,-66.25,ARG,50.59927284408098,masked,masked,harmonized,structural_cru_mask,69,226,-55.25,-66.75,31.797741454681272,0.1150483139418815,CHL,True
70,213,-54.75,-73.25,CHL,0.8552706335754836,masked,masked,harmonized,structural_cru_mask,71,214,-54.25,-72.75,64.39736596000499,0.7662459616483892,CHL,False
70,215,-54.75,-72.25,CHL,71.03005312663701,masked,masked,harmonized,structural_cru_mask,70,216,-54.75,-71.75,32.19563553726127,0.6144178840094857,CHL,False
70,232,-54.75,-63.75,ARG,112.09548010998084,masked,masked,harmonized,structural_cru_mask,70,231,-54.75,-64.25,32.19563553726127,-0.007574126041820237,ARG,False
71,213,-54.25,-73.25,CHL,235.87188854463045,masked,masked,harmonized,structural_cru_mask,71,214,-54.25,-72.75,32.59105040488676,0.7662459616483892,CHL,False
71,227,-54.25,-66.25,ARG,41.75817528659293,masked,masked,harmonized,structural_cru_mask,71,226,-54.25,-66.75,32.59105040488676,-0.0764988654482455,ARG,False
71,677,-54.25,158.75,AUS,6.572962081155977,complete,masked,harmonized,structural_cru_mask,70,677,-54.75,158.75,55.65714576035138,0.4160143513355176,AUS,False
72,225,-53.75,-67.25,ARG,19.930729699656347,masked,masked,harmonized,structural_cru_mask,72,224,-53.75,-67.75,32.983956161443146,-0.20919140418759924,ARG,False
74,697,-52.75,168.75,NZL,0.27899395786563397,masked,masked,harmonized,structural_cru_mask,74,698,-52.75,169.25,33.76212180751326,0.4786107238018302,NZL,False
75,209,-52.25,-75.25,CHL,24.13521812130646,complete,masked,harmonized,structural_cru_mask,75,210,-52.25,-74.75,34.1473229616744,0.7532540859473605,CHL,False
75,223,-52.25,-68.25,ARG,100.3764972570424,masked,masked,harmonized,structural_cru_mask,75,222,-52.25,-68.75,34.1473229616744,-0.5083693104464421,ARG;CHL,False
75,698,-52.25,169.25,NZL,14.275909720383197,masked,masked,harmonized,structural_cru_mask,74,698,-52.75,169.25,55.638415582855345,0.4786107238018302,NZL,False
76,209,-51.75,-75.25,CHL,273.40143168793975,masked,masked,harmonized,structural_cru_mask,76,210,-51.75,-74.75,34.52989753816282,0.7138213196313837,CHL,False
77,222,-51.25,-68.75,ARG,4.3762532556876454,masked,masked,harmonized,structural_cru_mask,77,221,-51.25,-69.25,34.90981671004561,-0.6653492722303458,ARG,False
78,208,-50.75,-75.75,CHL,2.5107066168450274,masked,masked,harmonized,structural_cru_mask,78,209,-50.75,-75.25,35.28705187027792,0.7021438191455827,CHL,False
79,208,-50.25,-75.75,CHL,0.11690024352743414,masked,masked,harmonized,structural_cru_mask,79,209,-50.25,-75.25,35.66157463365303,0.7060051877574415,CHL,False
79,224,-50.25,-67.75,ARG,20.543200616852953,masked,masked,harmonized,structural_cru_mask,79,223,-50.25,-68.25,35.66157463365303,-0.731635822753177,ARG,False
79,692,-50.25,166.25,NZL,1.148125080635297,masked,masked,harmonized,structural_cru_mask,78,692,-50.75,166.25,55.61934238054227,0.4954791657351079,NZL,False
80,717,-49.75,178.75,NZL,27.054644214705537,complete,masked,unresolved,structural_cru_mask,NA,NA,NA,NA,NA,NA,NA,NA
