representation,model,fit,held_out_iso3,fold,n_train,matrix_columns,matrix_rank,feature_identified,column,coefficient
primary_total_co2,M0star,full_sample,,-1,151,20,,,intercept,0.24552989867604766
primary_total_co2,M0star,full_sample,,-1,151,20,,,cum_co2_total,0.01577237906570938
primary_total_co2,M0star,full_sample,,-1,151,20,,,abs_latitude,0.0010642452637554718
primary_total_co2,M0star,full_sample,,-1,151,20,,,elevation,-6.296829141534788e-07
primary_total_co2,M0star,full_sample,,-1,151,20,,,continentality,4.107686048068741e-05
primary_total_co2,M0star,full_sample,,-1,151,20,,,population,-0.012868445142368274
primary_total_co2,M0star,full_sample,,-1,151,20,,,station_density,-0.0016966102777798593
primary_total_co2,M0star,full_sample,,-1,151,20,,,climate_zone=B,0.005475457146156781
primary_total_co2,M0star,full_sample,,-1,151,20,,,climate_zone=C,-0.023135901183411384
primary_total_co2,M0star,full_sample,,-1,151,20,,,climate_zone=D,-0.0071294906901603295
primary_total_co2,M0star,full_sample,,-1,151,20,,,climate_zone=E,-0.09245680988584253
primary_total_co2,M0star,full_sample,,-1,151,20,,,hemisphere=S,-0.02627875249548877
primary_total_co2,M0star,full_sample,,-1,151,20,,,spatial_block=Asia,-0.052218730348831205
primary_total_co2,M0star,full_sample,,-1,151,20,,,spatial_block=Europe,-0.06076538582413299
primary_total_co2,M0star,full_sample,,-1,151,20,,,spatial_block=North America,-0.09000707685422299
primary_total_co2,M0star,full_sample,,-1,151,20,,,spatial_block=Oceania,-0.0562746038214019
primary_total_co2,M0star,full_sample,,-1,151,20,,,spatial_block=South America,-0.06223792297587291
primary_total_co2,M0star,full_sample,,-1,151,20,,,income_group=Low-income countries,0.003619260377779571
primary_total_co2,M0star,full_sample,,-1,151,20,,,income_group=Lower-middle-income countries,-0.009361469618728831
primary_total_co2,M0star,full_sample,,-1,151,20,,,income_group=Upper-middle-income countries,-0.014529819083070257
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,intercept,0.26764958904699415
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,cum_co2_total,0.018628721158950007
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,abs_latitude,0.0009470424505858636
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,elevation,-5.53680851199723e-07
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,continentality,4.443997080602435e-05
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,population,-0.017569740284071628
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,station_density,-0.0013839847511854335
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,climate_zone=B,0.004040220938925575
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,climate_zone=C,-0.02803684315084891
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,climate_zone=D,-0.008200931790255215
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,climate_zone=E,-0.09267062088617839
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,hemisphere=S,-0.02179433154859366
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,spatial_block=Asia,-0.04680897988580842
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,spatial_block=Europe,-0.0554850232348075
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,spatial_block=North America,-0.08543090210772902
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,spatial_block=Oceania,-0.052989650074926786
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,spatial_block=South America,-0.06059260481319161
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,income_group=Low-income countries,0.008165084887322989
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,income_group=Lower-middle-income countries,-0.009264831117934821
primary_total_co2,M0star,primary_training,DZA,0,140,20,20,,income_group=Upper-middle-income countries,-0.013834293135799439
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,intercept,0.26758544630996284
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,cum_co2_total,0.016380561620343785
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,abs_latitude,0.0010737801127852808
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,elevation,3.550239597280117e-07
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,continentality,4.431029782069636e-05
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,population,-0.015631849868192046
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,station_density,-0.0015339964897046936
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,climate_zone=B,0.00618364213204722
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,climate_zone=C,-0.026595246676603766
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,climate_zone=D,-0.011538935135354854
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,climate_zone=E,-0.09860403799239065
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,hemisphere=S,-0.022507657839973667
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,spatial_block=Asia,-0.05591358885043427
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,spatial_block=Europe,-0.06378870986693545
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,spatial_block=North America,-0.09420352045834106
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,spatial_block=Oceania,-0.061693532044933885
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,spatial_block=South America,-0.07047890486237297
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,income_group=Low-income countries,-0.002646598646380598
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,income_group=Lower-middle-income countries,-0.01249019864751635
primary_total_co2,M0star,primary_training,AGO,1,143,20,20,,income_group=Upper-middle-income countries,-0.013386114417555066
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,intercept,0.25056310244642926
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,cum_co2_total,0.016897275166719718
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,abs_latitude,0.0010523391357630384
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,elevation,-4.6744327099924796e-07
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,continentality,4.016889282919222e-05
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,population,-0.014603219289617133
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,station_density,-0.0017229138748171167
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,climate_zone=B,0.006445982075691933
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,climate_zone=C,-0.022005856884708727
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,climate_zone=D,-0.006518161332245165
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,climate_zone=E,-0.09225296260730424
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,hemisphere=S,-0.02378793628810386
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,spatial_block=Asia,-0.049153370783523956
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,spatial_block=Europe,-0.05801022929772339
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,spatial_block=North America,-0.08663603963650383
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,spatial_block=Oceania,-0.05595137365847921
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,spatial_block=South America,-0.06108504573365971
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,income_group=Low-income countries,0.00756052337540813
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,income_group=Lower-middle-income countries,-0.008393097563440323
primary_total_co2,M0star,primary_training,BEN,2,143,20,20,,income_group=Upper-middle-income countries,-0.013589010132519981
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,intercept,0.2722753352006028
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,cum_co2_total,0.01698814100917425
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,abs_latitude,0.0012470921830313867
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,elevation,1.142653186106745e-06
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,continentality,4.062349286620802e-05
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,population,-0.017247646192011468
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,station_density,-0.0013671599961144264
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,climate_zone=B,0.007757285357169344
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,climate_zone=C,-0.025753808073364835
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,climate_zone=D,-0.011945634393093298
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,climate_zone=E,-0.10234367477473434
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,hemisphere=S,-0.013587895057816967
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,spatial_block=Asia,-0.05846286299153747
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,spatial_block=Europe,-0.0682423495781605
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,spatial_block=North America,-0.09456798731650469
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,spatial_block=Oceania,-0.0723011571885382
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,spatial_block=South America,-0.07720945252480203
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,income_group=Low-income countries,0.0007305240090101776
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,income_group=Lower-middle-income countries,-0.008599285477297545
primary_total_co2,M0star,primary_training,BWA,3,142,20,20,,income_group=Upper-middle-income countries,-0.011733184064238844
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,intercept,0.2527983407969742
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,cum_co2_total,0.019159678152551634
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,abs_latitude,0.001038296814241679
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,elevation,2.2180004654560004e-07
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,continentality,4.078864395830513e-05
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,population,-0.01667842438831428
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,station_density,-0.0017421637264964352
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,climate_zone=B,0.004762560456406754
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,climate_zone=C,-0.02203295993220687
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,climate_zone=D,-0.007447952381893295
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,climate_zone=E,-0.09196685113355318
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,hemisphere=S,-0.01943586671558353
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,spatial_block=Asia,-0.04379324515793339
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,spatial_block=Europe,-0.0531531307857674
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,spatial_block=North America,-0.08113653109102482
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,spatial_block=Oceania,-0.05485593480191458
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,spatial_block=South America,-0.05947854985046245
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,income_group=Low-income countries,0.012965293605453355
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,income_group=Lower-middle-income countries,-0.008078104201708557
primary_total_co2,M0star,primary_training,BFA,4,140,20,20,,income_group=Upper-middle-income countries,-0.012431938507273697
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,intercept,0.25484675579411453
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,cum_co2_total,0.017210200657596552
primary_total_co2,M0star,primary_training,BDI,5,144,20,20,,abs_latitude,0.0011307338271354943
