representation,iso3,Country,m49_subregion,observed,M0star_cv_prediction,M1b_cv_prediction,M0star_abs_error,M1b_abs_error,M0star_unseen_levels,M1b_unseen_levels,abs_error_change
primary_total_co2,DZA,Algeria,Northern Africa,0.24027005915767902,0.19838894526857184,0.1956796395016733,0.041881113889107174,0.044590419656005714,0,0,0.00270930576689854
primary_total_co2,AGO,Angola,Middle Africa,0.2003000150757142,0.15411387596755752,0.15529265257844693,0.04618613910815669,0.04500736249726728,0,0,-0.0011787766108894149
primary_total_co2,BEN,Benin,Western Africa,0.20270211677173233,0.18742796992949629,0.18739912188249358,0.015274146842236047,0.015302994889238752,0,0,2.8848047002705268e-05
primary_total_co2,BWA,Botswana,Southern Africa,0.15541865895509172,0.23711897360095857,0.2393180466009387,0.08170031464586686,0.08389938764584698,0,0,0.002199072999980123
primary_total_co2,BFA,Burkina Faso,Western Africa,0.2158731392585228,0.2140700654868207,0.21385091698232822,0.0018030737717021073,0.002022222276194585,0,0,0.0002191485044924779
primary_total_co2,BDI,Burundi,Eastern Africa,0.20888549627683978,0.17588459483611085,0.17522744396532644,0.033000901440728925,0.03365805231151334,0,0,0.000657150870784412
primary_total_co2,CMR,Cameroon,Middle Africa,0.16636200134979467,0.20659232281289897,0.2074358164478085,0.04023032146310429,0.04107381509801383,0,0,0.0008434936349095423
primary_total_co2,CAF,Central African Republic,Middle Africa,0.18403786064638777,0.24289375188985074,0.24337791004258325,0.058855891243462966,0.05934004939619547,0,0,0.0004841581527325056
primary_total_co2,TCD,Chad,Middle Africa,0.2035091414222523,0.2423828161505019,0.25599350223366046,0.038873674728249596,0.05248436081140817,0,0,0.013610686083158574
primary_total_co2,COG,Congo,Middle Africa,0.1704220858831212,0.17725436022096136,0.17751777200738972,0.006832274337840172,0.00709568612426853,0,0,0.00026341178642835805
primary_total_co2,COD,Congo (Democratic Republic Of The),Middle Africa,0.19859794898946587,0.20041938148240868,0.2004100715614831,0.0018214324929428094,0.0018121225720172385,0,0,-9.309920925570925e-06
primary_total_co2,CIV,Côte D'Ivoire,Western Africa,0.20772847580142792,0.18062480561478783,0.17930003912259976,0.02710367018664009,0.02842843667882816,0,0,0.001324766492188073
primary_total_co2,DJI,Djibouti,Eastern Africa,0.20035987264449803,0.19503260138461787,0.19504891327615143,0.0053272712598801675,0.005310959368346607,0,0,-1.6311891533560274e-05
primary_total_co2,EGY,Egypt,Northern Africa,0.15478518959618381,0.24730058934584787,0.2751190651090016,0.09251539974966405,0.12033387551281777,0,0,0.027818475763153716
primary_total_co2,GNQ,Equatorial Guinea,Middle Africa,0.16354706521210607,0.19940923167241872,0.20263994567725904,0.03586216646031265,0.03909288046515297,0,0,0.0032307140048403182
primary_total_co2,ERI,Eritrea,Eastern Africa,0.20315322405399622,0.21023218141899722,0.2090624062676294,0.0070789573650009985,0.0059091822136331795,0,0,-0.001169775151367819
primary_total_co2,ETH,Ethiopia,Eastern Africa,0.2076992707889047,0.209201272637016,0.20905153520312114,0.0015020018481112785,0.0013522644142164308,0,0,-0.00014973743389484762
primary_total_co2,GAB,Gabon,Middle Africa,0.16553931693258667,0.20233647607918748,0.2048045334126616,0.03679715914660081,0.039265216480074944,0,0,0.002468057333474133
primary_total_co2,GHA,Ghana,Western Africa,0.1992545668996173,0.1806634260434492,0.1808191297165469,0.018591140856168087,0.01843543718307039,0,0,-0.00015570367309769573
primary_total_co2,GIN,Guinea,Western Africa,0.22751348300753205,0.18102034907210574,0.1800026646590195,0.04649313393542631,0.047510818348512535,0,0,0.0010176844130862228
primary_total_co2,GNB,Guinea Bissau,Western Africa,0.23319971534367673,0.18892357167206492,0.18865462946426217,0.04427614367161181,0.04454508587941455,0,0,0.0002689422078027415
primary_total_co2,KEN,Kenya,Eastern Africa,0.21062387448612835,0.15445159844336917,0.15207129882755965,0.05617227604275918,0.058552575658568695,0,0,0.002380299615809517
primary_total_co2,LSO,Lesotho,Southern Africa,0.16129029981211962,0.1844706132959225,0.18523851648037848,0.023180313483802867,0.02394821666825886,0,0,0.0007679031844559925
primary_total_co2,LBR,Liberia,Western Africa,0.2160061033815747,0.195599249871849,0.1932772761910121,0.02040685350972568,0.0227288271905626,0,0,0.0023219736808369196
