representation,model,coalition,n_groups,r2
primary_total_co2,M0star,intercept_only,0,-2.220446049250313e-16
primary_total_co2,M0star,emissions,1,0.0010165378255079238
primary_total_co2,M0star,geography,1,0.5972021699011538
primary_total_co2,M0star,socioeconomic,1,0.09601133035827103
primary_total_co2,M0star,population,1,0.05970456193524254
primary_total_co2,M0star,emissions+geography,2,0.6003779684551516
primary_total_co2,M0star,emissions+socioeconomic,2,0.10657043480812822
primary_total_co2,M0star,emissions+population,2,0.06465947933032234
primary_total_co2,M0star,geography+socioeconomic,2,0.6177072586399273
primary_total_co2,M0star,geography+population,2,0.6057067920469816
primary_total_co2,M0star,socioeconomic+population,2,0.137410909509748
primary_total_co2,M0star,emissions+geography+socioeconomic,3,0.6189771352789222
primary_total_co2,M0star,emissions+geography+population,3,0.6187352831945991
primary_total_co2,M0star,emissions+socioeconomic+population,3,0.23292987980731994
primary_total_co2,M0star,geography+socioeconomic+population,3,0.6277633779338295
primary_total_co2,M0star,emissions+geography+socioeconomic+population,4,0.6364460027547281
primary_total_co2,M1b,intercept_only,0,-2.220446049250313e-16
primary_total_co2,M1b,emissions,1,0.0010165378255079238
primary_total_co2,M1b,geography,1,0.5972021699011538
primary_total_co2,M1b,socioeconomic,1,0.09601133035827103
primary_total_co2,M1b,population,1,0.05970456193524254
primary_total_co2,M1b,hydroclimate,1,0.10781204423678059
primary_total_co2,M1b,emissions+geography,2,0.6003779684551516
primary_total_co2,M1b,emissions+socioeconomic,2,0.10657043480812822
primary_total_co2,M1b,emissions+population,2,0.06465947933032234
primary_total_co2,M1b,emissions+hydroclimate,2,0.10875379874101154
primary_total_co2,M1b,geography+socioeconomic,2,0.6177072586399273
primary_total_co2,M1b,geography+population,2,0.6057067920469816
primary_total_co2,M1b,geography+hydroclimate,2,0.5980955467454001
primary_total_co2,M1b,socioeconomic+population,2,0.137410909509748
primary_total_co2,M1b,socioeconomic+hydroclimate,2,0.1899696103564349
primary_total_co2,M1b,population+hydroclimate,2,0.1396210144643053
primary_total_co2,M1b,emissions+geography+socioeconomic,3,0.6189771352789222
primary_total_co2,M1b,emissions+geography+population,3,0.6187352831945991
primary_total_co2,M1b,emissions+geography+hydroclimate,3,0.6009483773942239
primary_total_co2,M1b,emissions+socioeconomic+population,3,0.23292987980731994
primary_total_co2,M1b,emissions+socioeconomic+hydroclimate,3,0.19278824496680624
primary_total_co2,M1b,emissions+population+hydroclimate,3,0.1437391411315574
primary_total_co2,M1b,geography+socioeconomic+population,3,0.6277633779338295
primary_total_co2,M1b,geography+socioeconomic+hydroclimate,3,0.6184150553291088
primary_total_co2,M1b,geography+population+hydroclimate,3,0.6057869700625216
primary_total_co2,M1b,socioeconomic+population+hydroclimate,3,0.21309425140389615
primary_total_co2,M1b,emissions+geography+socioeconomic+population,4,0.6364460027547281
primary_total_co2,M1b,emissions+geography+socioeconomic+hydroclimate,4,0.619496424760819
primary_total_co2,M1b,emissions+geography+population+hydroclimate,4,0.6187357292945863
primary_total_co2,M1b,emissions+socioeconomic+population+hydroclimate,4,0.2735769846748497
primary_total_co2,M1b,geography+socioeconomic+population+hydroclimate,4,0.6277707492436
primary_total_co2,M1b,emissions+geography+socioeconomic+population+hydroclimate,5,0.6364565668953288
per_capita,M0star,intercept_only,0,-2.220446049250313e-16
per_capita,M0star,emissions,1,5.158716785302886e-06
per_capita,M0star,geography,1,0.5972021699011538
per_capita,M0star,socioeconomic,1,0.09601133035827103
per_capita,M0star,population,1,0.05970456193524254
per_capita,M0star,emissions+geography,2,0.6074445790857943
per_capita,M0star,emissions+socioeconomic,2,0.18430920340053203
per_capita,M0star,emissions+population,2,0.06465947933032234
per_capita,M0star,geography+socioeconomic,2,0.6177072586399273
per_capita,M0star,geography+population,2,0.6057067920469816
per_capita,M0star,socioeconomic+population,2,0.137410909509748
per_capita,M0star,emissions+geography+socioeconomic,3,0.6248255536576508
per_capita,M0star,emissions+geography+population,3,0.6187352831945994
per_capita,M0star,emissions+socioeconomic+population,3,0.23292987980731994
per_capita,M0star,geography+socioeconomic+population,3,0.6277633779338295
per_capita,M0star,emissions+geography+socioeconomic+population,4,0.6364460027547281
per_capita,M1b,intercept_only,0,-2.220446049250313e-16
per_capita,M1b,emissions,1,5.158716785302886e-06
per_capita,M1b,geography,1,0.5972021699011538
per_capita,M1b,socioeconomic,1,0.09601133035827103
per_capita,M1b,population,1,0.05970456193524254
per_capita,M1b,hydroclimate,1,0.10781204423678059
per_capita,M1b,emissions+geography,2,0.6074445790857943
per_capita,M1b,emissions+socioeconomic,2,0.18430920340053203
per_capita,M1b,emissions+population,2,0.06465947933032234
per_capita,M1b,emissions+hydroclimate,2,0.10829644707221175
per_capita,M1b,geography+socioeconomic,2,0.6177072586399273
per_capita,M1b,geography+population,2,0.6057067920469816
per_capita,M1b,geography+hydroclimate,2,0.5980955467454001
per_capita,M1b,socioeconomic+population,2,0.137410909509748
per_capita,M1b,socioeconomic+hydroclimate,2,0.1899696103564349
per_capita,M1b,population+hydroclimate,2,0.1396210144643053
per_capita,M1b,emissions+geography+socioeconomic,3,0.6248255536576508
per_capita,M1b,emissions+geography+population,3,0.6187352831945994
per_capita,M1b,emissions+geography+hydroclimate,3,0.6080641224816927
per_capita,M1b,emissions+socioeconomic+population,3,0.23292987980731994
per_capita,M1b,emissions+socioeconomic+hydroclimate,3,0.24249864488883566
per_capita,M1b,emissions+population+hydroclimate,3,0.14373914113155717
per_capita,M1b,geography+socioeconomic+population,3,0.6277633779338295
per_capita,M1b,geography+socioeconomic+hydroclimate,3,0.6184150553291088
per_capita,M1b,geography+population+hydroclimate,3,0.6057869700625216
