measurement,representation,groups,baseline_columns,baseline_rank,failure,candidate_columns,candidate_rank
station,primary_total_co2,,1,1,,1,1
station,primary_total_co2,emissions,2,2,,2,2
station,primary_total_co2,geography,14,14,,17,17
station,primary_total_co2,socioeconomic,4,4,,4,4
station,primary_total_co2,population,3,3,,3,3
station,primary_total_co2,emissions+geography,15,15,,18,18
station,primary_total_co2,emissions+socioeconomic,5,5,,5,5
station,primary_total_co2,emissions+population,4,4,,4,4
station,primary_total_co2,geography+socioeconomic,17,17,,20,20
station,primary_total_co2,geography+population,16,16,,19,19
station,primary_total_co2,socioeconomic+population,6,6,,6,6
station,primary_total_co2,emissions+geography+socioeconomic,18,18,,21,21
station,primary_total_co2,emissions+geography+population,17,17,,20,20
station,primary_total_co2,emissions+socioeconomic+population,7,7,,7,7
station,primary_total_co2,geography+socioeconomic+population,19,19,,22,22
station,primary_total_co2,emissions+geography+socioeconomic+population,20,20,,23,23
m1a_area,primary_total_co2,,1,1,,1,1
m1a_area,primary_total_co2,emissions,2,2,,2,2
m1a_area,primary_total_co2,geography,14,14,,17,17
m1a_area,primary_total_co2,socioeconomic,4,4,,4,4
m1a_area,primary_total_co2,population,3,3,,3,3
m1a_area,primary_total_co2,emissions+geography,15,15,,18,18
m1a_area,primary_total_co2,emissions+socioeconomic,5,5,,5,5
m1a_area,primary_total_co2,emissions+population,4,4,,4,4
m1a_area,primary_total_co2,geography+socioeconomic,17,17,,20,20
m1a_area,primary_total_co2,geography+population,16,16,,19,19
m1a_area,primary_total_co2,socioeconomic+population,6,6,,6,6
m1a_area,primary_total_co2,emissions+geography+socioeconomic,18,18,,21,21
m1a_area,primary_total_co2,emissions+geography+population,17,17,,20,20
m1a_area,primary_total_co2,emissions+socioeconomic+population,7,7,,7,7
m1a_area,primary_total_co2,geography+socioeconomic+population,19,19,,22,22
m1a_area,primary_total_co2,emissions+geography+socioeconomic+population,20,20,,23,23
station,per_capita,,1,1,,1,1
station,per_capita,emissions,2,2,,2,2
station,per_capita,geography,14,14,,17,17
station,per_capita,socioeconomic,4,4,,4,4
station,per_capita,population,3,3,,3,3
station,per_capita,emissions+geography,15,15,,18,18
station,per_capita,emissions+socioeconomic,5,5,,5,5
station,per_capita,emissions+population,4,4,,4,4
station,per_capita,geography+socioeconomic,17,17,,20,20
station,per_capita,geography+population,16,16,,19,19
station,per_capita,socioeconomic+population,6,6,,6,6
station,per_capita,emissions+geography+socioeconomic,18,18,,21,21
station,per_capita,emissions+geography+population,17,17,,20,20
station,per_capita,emissions+socioeconomic+population,7,7,,7,7
station,per_capita,geography+socioeconomic+population,19,19,,22,22
station,per_capita,emissions+geography+socioeconomic+population,20,20,,23,23
m1a_area,per_capita,,1,1,,1,1
m1a_area,per_capita,emissions,2,2,,2,2
m1a_area,per_capita,geography,14,14,,17,17
m1a_area,per_capita,socioeconomic,4,4,,4,4
m1a_area,per_capita,population,3,3,,3,3
m1a_area,per_capita,emissions+geography,15,15,,18,18
m1a_area,per_capita,emissions+socioeconomic,5,5,,5,5
m1a_area,per_capita,emissions+population,4,4,,4,4
m1a_area,per_capita,geography+socioeconomic,17,17,,20,20
m1a_area,per_capita,geography+population,16,16,,19,19
m1a_area,per_capita,socioeconomic+population,6,6,,6,6
m1a_area,per_capita,emissions+geography+socioeconomic,18,18,,21,21
m1a_area,per_capita,emissions+geography+population,17,17,,20,20
m1a_area,per_capita,emissions+socioeconomic+population,7,7,,7,7
m1a_area,per_capita,geography+socioeconomic+population,19,19,,22,22
m1a_area,per_capita,emissions+geography+socioeconomic+population,20,20,,23,23
