measurement,representation,protocol,fit,n_train,n_test,n_train_sh,n_train_nh,train_lat_min,train_lat_max,train_sh_lat_min,train_sh_lat_max,test_rows_with_unseen_level,baseline_columns,baseline_rank,baseline_singular_max,baseline_singular_min,baseline_condition_raw,baseline_condition_unit_columns,knot_lower_boundary,knot_interior_1,knot_interior_2,knot_upper_boundary,test_below_lower_boundary,test_above_upper_boundary,test_lat_min,test_lat_max,candidate_columns,candidate_rank,candidate_singular_max,candidate_singular_min,candidate_condition_raw,candidate_condition_unit_columns,added_min_singular_value_unit_columns,added_identifiable_dimensions,latitude_state,structural_pass,failure
station,primary_total_co2,full_sample,all,151,0,29,122,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9987.802825985445,0.5602473781932618,17827.48695441476,100.8341349960254,0.8,14.947999999999999,35.745828571428575,65.09,0,0,,,23,23,13939.550538620457,0.5585892639635505,24954.92025698878,140.46599126509196,0.02236582910274192,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 14.947999999999999, 35.745828571428575, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.de5604189374bp+3"", ""0x1.1df774f855aa4p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 151, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,DZA,140,1,29,111,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9887.004306260616,0.547187606980793,18068.765045345157,99.86983589852402,0.8,14.75933333333333,36.310088123031306,65.09,0,0,35.206,35.206,23,23,13796.658820165601,0.5458178914296276,25277.03660286557,144.47795559786977,0.021532525397590072,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 14.75933333333333, 36.310088123031306, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.d84c756b2dbd0p+3"", ""0x1.227b0f7b5a614p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 140, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,AGO,143,1,22,121,1.3366666666666667,65.09,1.3366666666666667,39.562222222222225,0,20,20,9437.964572024108,0.5221229703838546,18076.13360715676,104.83676512588274,1.3366666666666667,15.803333333333327,37.93142857142857,65.09,0,0,12.32,12.32,23,23,13777.259347346433,0.519885362145357,26500.57176161538,139.98341631834316,0.022674455805272848,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [1.3366666666666667, 15.803333333333327, 37.93142857142857, 65.09], ""knots_hex"": [""0x1.562fc962fc963p+0"", ""0x1.f9b4e81b4e818p+3"", ""0x1.2f7390d2a6c40p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 143, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,BEN,143,1,29,114,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9913.891036927433,0.5502536500656314,18016.9473400948,100.45709564989471,0.8,18.48,37.93142857142857,65.09,0,0,8.571666666666667,8.571666666666667,23,23,13812.581381399312,0.5485878538838262,25178.43091787516,115.58564347853614,0.030143350660131314,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.48, 37.93142857142857, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.27ae147ae147bp+4"", ""0x1.2f7390d2a6c40p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 143, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,BWA,142,1,20,122,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9275.751861780853,0.5349352541785086,17339.952432234953,102.03513869573219,0.8,14.665,38.00714285714286,65.09,0,0,24.92,24.92,23,23,14166.4103533183,0.5182906076476176,27332.948242330393,154.83624656582782,0.020407826703653924,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 14.665, 38.00714285714286, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.d547ae147ae14p+3"", ""0x1.300ea0ea0ea0fp+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 142, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,BFA,140,1,29,111,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9903.788123736134,0.5402878064737163,18330.578638031744,101.583440734095,0.8,18.766222222222222,38.609831932773105,65.09,0,0,11.25,11.25,23,23,13860.809202235072,0.5388575123497107,25722.586926169843,115.06975221367013,0.03081654060307116,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.766222222222222, 38.609831932773105, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.2c42723b9e9b3p+4"", ""0x1.34e0ef907a892p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 140, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,BDI,144,1,23,121,0.8,65.09,1.790769230769231,39.562222222222225,0,20,20,9090.032910089332,0.5533588320286874,16427.013330146114,99.93370363792376,0.8,18.48,37.855714285714285,65.09,0,0,4.02,4.02,23,23,13716.004892338598,0.5495655285697167,24957.906162774572,120.6353263446643,0.02884284601382931,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.48, 37.855714285714285, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.27ae147ae147bp+4"", ""0x1.2ed880bb3ee72p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 144, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,CMR,142,1,27,115,1.3366666666666667,65.09,1.3366666666666667,39.562222222222225,0,20,20,9808.52336299872,0.5200035540235006,18862.416010632576,104.34358652870513,1.3366666666666667,18.48,38.00714285714286,65.09,0,0,6.484666666666667,6.484666666666667,23,23,13540.836518211645,0.5198135139628385,26049.412249754787,114.46501690170435,0.029586391850221248,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [1.3366666666666667, 18.48, 38.00714285714286, 65.09], ""knots_hex"": [""0x1.562fc962fc963p+0"", ""0x1.27ae147ae147bp+4"", ""0x1.300ea0ea0ea0fp+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 142, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,CAF,141,1,27,114,1.3366666666666667,65.09,1.3366666666666667,39.562222222222225,0,20,20,9708.757304359826,0.5238791095975258,18532.43835551804,103.1129768959933,1.3366666666666667,18.65888888888889,38.30848739495798,65.09,0,0,4.02,4.02,23,23,13544.834647429392,0.5236054820095689,25868.397319762706,114.62996098556303,0.02949908849594857,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [1.3366666666666667, 18.65888888888889, 38.30848739495798, 65.09], ""knots_hex"": [""0x1.562fc962fc963p+0"", ""0x1.2a8acf13579bep+4"", ""0x1.3277c83d44950p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 141, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
station,primary_total_co2,primary_loco,TCD,140,1,27,113,0.8,65.09,1.3366666666666667,39.562222222222225,0,20,20,9793.707255122428,0.5384191177372178,18189.746486495245,101.18425964361123,0.8,18.48,38.609831932773105,65.09,0,0,8.84,8.84,23,23,13843.98740020586,0.5378784716879942,25738.132550202357,113.96191742035258,0.030571502056038584,3,"{""boundary_knots"": ""training minimum and maximum"", ""knots"": [0.8, 18.48, 38.609831932773105, 65.09], ""knots_hex"": [""0x1.999999999999ap-1"", ""0x1.27ae147ae147bp+4"", ""0x1.34e0ef907a892p+5"", ""0x1.045c28f5c28f6p+6""], ""n_train"": 140, ""probabilities"": [""1/3"", ""2/3""], ""quantile_method"": ""linear"", ""tails"": ""linear beyond the boundary knots"", ""version"": ""m2-latitude-basis-v1""}",True,
