representation,model,iso3,column,group,value
primary_total_co2,M0star,DZA,intercept,intercept,1.0
primary_total_co2,M0star,AGO,intercept,intercept,1.0
primary_total_co2,M0star,BEN,intercept,intercept,1.0
primary_total_co2,M0star,BWA,intercept,intercept,1.0
primary_total_co2,M0star,BFA,intercept,intercept,1.0
primary_total_co2,M0star,BDI,intercept,intercept,1.0
primary_total_co2,M0star,CMR,intercept,intercept,1.0
primary_total_co2,M0star,CAF,intercept,intercept,1.0
primary_total_co2,M0star,TCD,intercept,intercept,1.0
primary_total_co2,M0star,COG,intercept,intercept,1.0
primary_total_co2,M0star,COD,intercept,intercept,1.0
primary_total_co2,M0star,CIV,intercept,intercept,1.0
primary_total_co2,M0star,DJI,intercept,intercept,1.0
primary_total_co2,M0star,EGY,intercept,intercept,1.0
primary_total_co2,M0star,GNQ,intercept,intercept,1.0
primary_total_co2,M0star,ERI,intercept,intercept,1.0
primary_total_co2,M0star,ETH,intercept,intercept,1.0
primary_total_co2,M0star,GAB,intercept,intercept,1.0
primary_total_co2,M0star,GHA,intercept,intercept,1.0
primary_total_co2,M0star,GIN,intercept,intercept,1.0
primary_total_co2,M0star,GNB,intercept,intercept,1.0
primary_total_co2,M0star,KEN,intercept,intercept,1.0
primary_total_co2,M0star,LSO,intercept,intercept,1.0
primary_total_co2,M0star,LBR,intercept,intercept,1.0
primary_total_co2,M0star,LBY,intercept,intercept,1.0
primary_total_co2,M0star,MDG,intercept,intercept,1.0
primary_total_co2,M0star,MWI,intercept,intercept,1.0
primary_total_co2,M0star,MLI,intercept,intercept,1.0
primary_total_co2,M0star,MRT,intercept,intercept,1.0
primary_total_co2,M0star,MAR,intercept,intercept,1.0
primary_total_co2,M0star,MOZ,intercept,intercept,1.0
primary_total_co2,M0star,NAM,intercept,intercept,1.0
primary_total_co2,M0star,NER,intercept,intercept,1.0
primary_total_co2,M0star,NGA,intercept,intercept,1.0
primary_total_co2,M0star,RWA,intercept,intercept,1.0
primary_total_co2,M0star,SEN,intercept,intercept,1.0
primary_total_co2,M0star,SLE,intercept,intercept,1.0
primary_total_co2,M0star,SOM,intercept,intercept,1.0
primary_total_co2,M0star,ZAF,intercept,intercept,1.0
primary_total_co2,M0star,SDN,intercept,intercept,1.0
primary_total_co2,M0star,SWZ,intercept,intercept,1.0
primary_total_co2,M0star,TZA,intercept,intercept,1.0
primary_total_co2,M0star,TGO,intercept,intercept,1.0
primary_total_co2,M0star,TUN,intercept,intercept,1.0
primary_total_co2,M0star,UGA,intercept,intercept,1.0
primary_total_co2,M0star,ZMB,intercept,intercept,1.0
primary_total_co2,M0star,ZWE,intercept,intercept,1.0
primary_total_co2,M0star,AFG,intercept,intercept,1.0
primary_total_co2,M0star,ARM,intercept,intercept,1.0
primary_total_co2,M0star,AZE,intercept,intercept,1.0
primary_total_co2,M0star,BGD,intercept,intercept,1.0
primary_total_co2,M0star,MMR,intercept,intercept,1.0
primary_total_co2,M0star,KHM,intercept,intercept,1.0
primary_total_co2,M0star,CHN,intercept,intercept,1.0
primary_total_co2,M0star,GEO,intercept,intercept,1.0
primary_total_co2,M0star,IND,intercept,intercept,1.0
primary_total_co2,M0star,IDN,intercept,intercept,1.0
primary_total_co2,M0star,IRN,intercept,intercept,1.0
primary_total_co2,M0star,IRQ,intercept,intercept,1.0
primary_total_co2,M0star,ISR,intercept,intercept,1.0
primary_total_co2,M0star,JPN,intercept,intercept,1.0
primary_total_co2,M0star,JOR,intercept,intercept,1.0
primary_total_co2,M0star,KAZ,intercept,intercept,1.0
primary_total_co2,M0star,LAO,intercept,intercept,1.0
primary_total_co2,M0star,LBN,intercept,intercept,1.0
primary_total_co2,M0star,MYS,intercept,intercept,1.0
primary_total_co2,M0star,MNG,intercept,intercept,1.0
primary_total_co2,M0star,NPL,intercept,intercept,1.0
primary_total_co2,M0star,OMN,intercept,intercept,1.0
primary_total_co2,M0star,PAK,intercept,intercept,1.0
primary_total_co2,M0star,PHL,intercept,intercept,1.0
primary_total_co2,M0star,QAT,intercept,intercept,1.0
primary_total_co2,M0star,SAU,intercept,intercept,1.0
primary_total_co2,M0star,KOR,intercept,intercept,1.0
primary_total_co2,M0star,LKA,intercept,intercept,1.0
primary_total_co2,M0star,SYR,intercept,intercept,1.0
primary_total_co2,M0star,TWN,intercept,intercept,1.0
primary_total_co2,M0star,TJK,intercept,intercept,1.0
primary_total_co2,M0star,THA,intercept,intercept,1.0
primary_total_co2,M0star,TUR,intercept,intercept,1.0
primary_total_co2,M0star,TKM,intercept,intercept,1.0
primary_total_co2,M0star,ARE,intercept,intercept,1.0
primary_total_co2,M0star,UZB,intercept,intercept,1.0
primary_total_co2,M0star,VNM,intercept,intercept,1.0
primary_total_co2,M0star,YEM,intercept,intercept,1.0
primary_total_co2,M0star,ALB,intercept,intercept,1.0
primary_total_co2,M0star,AUT,intercept,intercept,1.0
primary_total_co2,M0star,BLR,intercept,intercept,1.0
primary_total_co2,M0star,BEL,intercept,intercept,1.0
primary_total_co2,M0star,BIH,intercept,intercept,1.0
primary_total_co2,M0star,BGR,intercept,intercept,1.0
primary_total_co2,M0star,HRV,intercept,intercept,1.0
primary_total_co2,M0star,CYP,intercept,intercept,1.0
primary_total_co2,M0star,CZE,intercept,intercept,1.0
primary_total_co2,M0star,DNK,intercept,intercept,1.0
primary_total_co2,M0star,EST,intercept,intercept,1.0
primary_total_co2,M0star,FIN,intercept,intercept,1.0
primary_total_co2,M0star,FRA,intercept,intercept,1.0
primary_total_co2,M0star,DEU,intercept,intercept,1.0
primary_total_co2,M0star,GRC,intercept,intercept,1.0
primary_total_co2,M0star,HUN,intercept,intercept,1.0
primary_total_co2,M0star,ISL,intercept,intercept,1.0
primary_total_co2,M0star,IRL,intercept,intercept,1.0
primary_total_co2,M0star,ITA,intercept,intercept,1.0
primary_total_co2,M0star,LVA,intercept,intercept,1.0
primary_total_co2,M0star,LTU,intercept,intercept,1.0
primary_total_co2,M0star,MKD,intercept,intercept,1.0
primary_total_co2,M0star,MDA,intercept,intercept,1.0
primary_total_co2,M0star,MNE,intercept,intercept,1.0
primary_total_co2,M0star,NLD,intercept,intercept,1.0
primary_total_co2,M0star,NOR,intercept,intercept,1.0
primary_total_co2,M0star,POL,intercept,intercept,1.0
primary_total_co2,M0star,PRT,intercept,intercept,1.0
primary_total_co2,M0star,ROU,intercept,intercept,1.0
primary_total_co2,M0star,RUS,intercept,intercept,1.0
primary_total_co2,M0star,SRB,intercept,intercept,1.0
primary_total_co2,M0star,SVK,intercept,intercept,1.0
primary_total_co2,M0star,SVN,intercept,intercept,1.0
