representation,model,protocol,fit,held_out_iso3,n_train,n_test,levels,columns,matrix_columns,matrix_rank,baseline_columns,baseline_rank,n_train_sh,latitude_state,test_below_lower_boundary,test_above_upper_boundary
primary_total_co2,M0star,full_sample,all,,151,0,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,29,,,
primary_total_co2,M0star,primary_loco,DZA,DZA,140,1,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,29,,,
primary_total_co2,M0star,primary_loco,AGO,AGO,143,1,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,22,,,
primary_total_co2,M0star,primary_loco,BEN,BEN,143,1,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,29,,,
primary_total_co2,M0star,primary_loco,BWA,BWA,142,1,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,20,,,
primary_total_co2,M0star,primary_loco,BFA,BFA,140,1,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,29,,,
primary_total_co2,M0star,primary_loco,BDI,BDI,144,1,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,23,,,
primary_total_co2,M0star,primary_loco,CMR,CMR,142,1,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,27,,,
primary_total_co2,M0star,primary_loco,CAF,CAF,141,1,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,27,,,
primary_total_co2,M0star,primary_loco,TCD,TCD,140,1,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,20,20,20,20,27,,,
