representation,model,protocol,fit,column,coefficient
primary_total_co2,M0star,full_sample,all,intercept,0.2455298986760463
primary_total_co2,M0star,full_sample,all,cum_co2_total,0.01577237906570909
primary_total_co2,M0star,full_sample,all,abs_latitude,0.0010642452637554592
primary_total_co2,M0star,full_sample,all,elevation,-6.296829141558923e-07
primary_total_co2,M0star,full_sample,all,continentality,4.107686048068957e-05
primary_total_co2,M0star,full_sample,all,population,-0.012868445142368299
primary_total_co2,M0star,full_sample,all,station_density,-0.001696610277779847
primary_total_co2,M0star,full_sample,all,climate_zone=B,0.00547545714615678
primary_total_co2,M0star,full_sample,all,climate_zone=C,-0.023135901183411297
primary_total_co2,M0star,full_sample,all,climate_zone=D,-0.007129490690160204
primary_total_co2,M0star,full_sample,all,climate_zone=E,-0.09245680988584233
primary_total_co2,M0star,full_sample,all,hemisphere=S,-0.026278752495488715
primary_total_co2,M0star,full_sample,all,spatial_block=Asia,-0.05221873034883109
primary_total_co2,M0star,full_sample,all,spatial_block=Europe,-0.06076538582413295
primary_total_co2,M0star,full_sample,all,spatial_block=North America,-0.09000707685422299
primary_total_co2,M0star,full_sample,all,spatial_block=Oceania,-0.056274603821401745
primary_total_co2,M0star,full_sample,all,spatial_block=South America,-0.062237922975872884
primary_total_co2,M0star,full_sample,all,income_group=Low-income countries,0.0036192603777795394
primary_total_co2,M0star,full_sample,all,income_group=Lower-middle-income countries,-0.009361469618728897
primary_total_co2,M0star,full_sample,all,income_group=Upper-middle-income countries,-0.014529819083070385
primary_total_co2,M0star,primary_loco,DZA,intercept,0.2676495890469954
primary_total_co2,M0star,primary_loco,DZA,cum_co2_total,0.018628721158950187
primary_total_co2,M0star,primary_loco,DZA,abs_latitude,0.0009470424505858649
primary_total_co2,M0star,primary_loco,DZA,elevation,-5.53680851201913e-07
primary_total_co2,M0star,primary_loco,DZA,continentality,4.4439970806025175e-05
primary_total_co2,M0star,primary_loco,DZA,population,-0.01756974028407184
primary_total_co2,M0star,primary_loco,DZA,station_density,-0.0013839847511854376
primary_total_co2,M0star,primary_loco,DZA,climate_zone=B,0.004040220938925637
primary_total_co2,M0star,primary_loco,DZA,climate_zone=C,-0.028036843150848798
primary_total_co2,M0star,primary_loco,DZA,climate_zone=D,-0.008200931790255044
primary_total_co2,M0star,primary_loco,DZA,climate_zone=E,-0.09267062088617839
primary_total_co2,M0star,primary_loco,DZA,hemisphere=S,-0.021794331548593584
primary_total_co2,M0star,primary_loco,DZA,spatial_block=Asia,-0.046808979885808344
primary_total_co2,M0star,primary_loco,DZA,spatial_block=Europe,-0.05548502323480745
primary_total_co2,M0star,primary_loco,DZA,spatial_block=North America,-0.08543090210772894
