representation,iso3,Country,m49_subregion,observed,M0star_cv_prediction,M2_cv_prediction,M0star_abs_error,M2_abs_error,abs_error_change
primary_total_co2,DZA,Algeria,Northern Africa,0.24027005915767902,0.1983889452685718,0.21497014372617312,0.04188111388910723,0.025299915431505893,-0.016581198457601337
primary_total_co2,AGO,Angola,Middle Africa,0.2003000150757142,0.15411387596755916,0.17587907322469493,0.046186139108155055,0.024420941851019284,-0.02176519725713577
primary_total_co2,BEN,Benin,Western Africa,0.20270211677173233,0.1874279699294938,0.18262294321931732,0.015274146842238545,0.02007917355241501,0.004805026710176463
primary_total_co2,BWA,Botswana,Southern Africa,0.15541865895509172,0.23711897360096224,0.2013769245117178,0.08170031464587052,0.04595826555662608,-0.03574204908924444
primary_total_co2,BFA,Burkina Faso,Western Africa,0.2158731392585228,0.21407006548681756,0.20686878031753037,0.0018030737717052436,0.00900435894099244,0.007201285169287197
primary_total_co2,BDI,Burundi,Eastern Africa,0.20888549627683978,0.1758845948361082,0.21031544188972343,0.03300090144073159,0.0014299456128836485,-0.03157095582784794
primary_total_co2,CMR,Cameroon,Middle Africa,0.16636200134979467,0.20659232281289533,0.2014349337790747,0.040230321463100654,0.03507293242928003,-0.005157389033820625
primary_total_co2,CAF,Central African Republic,Middle Africa,0.18403786064638777,0.2428937518898524,0.24010064256723332,0.05885589124346463,0.056062781920845545,-0.002793109322619086
primary_total_co2,TCD,Chad,Middle Africa,0.2035091414222523,0.24238281615050114,0.2352858096604248,0.03887367472824885,0.03177666823817252,-0.00709700649007633
primary_total_co2,COG,Congo,Middle Africa,0.1704220858831212,0.1772543602209618,0.2073376001381192,0.006832274337840616,0.036915514254998005,0.03008323991715739
primary_total_co2,COD,Congo (Democratic Republic Of The),Middle Africa,0.19859794898946587,0.20041938148241034,0.2457121753117033,0.0018214324929444747,0.04711422632223744,0.045292793829292965
primary_total_co2,CIV,Côte D'Ivoire,Western Africa,0.20772847580142792,0.18062480561478728,0.17489406425547882,0.027103670186640644,0.0328344115459491,0.0057307413593084555
primary_total_co2,DJI,Djibouti,Eastern Africa,0.20035987264449803,0.19503260138461925,0.2014012527504597,0.00532727125987878,0.0010413801059616645,-0.004285891153917115
primary_total_co2,EGY,Egypt,Northern Africa,0.15478518959618381,0.24730058934584687,0.2587516106634165,0.09251539974966305,0.1039664210672327,0.011451021317569643
primary_total_co2,GNQ,Equatorial Guinea,Middle Africa,0.16354706521210607,0.19940923167242294,0.20074133988829662,0.03586216646031687,0.03719427467619055,0.0013321082158736786
primary_total_co2,ERI,Eritrea,Eastern Africa,0.20315322405399622,0.2102321814189957,0.21564664774314835,0.007078957364999472,0.012493423689152128,0.005414466324152656
primary_total_co2,ETH,Ethiopia,Eastern Africa,0.2076992707889047,0.20920127263702312,0.1986316002130394,0.0015020018481184116,0.0090676705758653,0.007565668727746888
primary_total_co2,GAB,Gabon,Middle Africa,0.16553931693258667,0.20233647607918664,0.20841103415851975,0.03679715914659998,0.04287171722593308,0.006074558079333103
primary_total_co2,GHA,Ghana,Western Africa,0.1992545668996173,0.1806634260434468,0.1747443206357076,0.0185911408561705,0.024510246263909685,0.005919105407739184
primary_total_co2,GIN,Guinea,Western Africa,0.22751348300753205,0.1810203490721051,0.17804666506117417,0.04649313393542695,0.04946681794635788,0.002973684010930927
primary_total_co2,GNB,Guinea Bissau,Western Africa,0.23319971534367673,0.18892357167206758,0.18866392657513845,0.04427614367160915,0.04453578876853828,0.0002596450969291342
primary_total_co2,KEN,Kenya,Eastern Africa,0.21062387448612835,0.1544515984433696,0.189635915193122,0.05617227604275876,0.020987959293006342,-0.03518431674975242
primary_total_co2,LSO,Lesotho,Southern Africa,0.16129029981211962,0.18447061329592782,0.144453533897428,0.023180313483808196,0.01683676591469163,-0.006343547569116564
primary_total_co2,LBR,Liberia,Western Africa,0.2160061033815747,0.1955992498718501,0.1913081358284369,0.0204068535097246,0.0246979675531378,0.004291114043413202
primary_total_co2,LBY,Libya,Northern Africa,0.19059948923507644,0.25052058204617983,0.26915527284143875,0.05992109281110339,0.07855578360636231,0.018634690795258924
primary_total_co2,MDG,Madagascar,Eastern Africa,0.1813544794012833,0.18428197145888975,0.17159973005700724,0.002927492057606451,0.009754749344276059,0.006827257286669608
primary_total_co2,MWI,Malawi,Eastern Africa,0.18854099012577252,0.18874997169988472,0.1886898671199922,0.0002089815741121992,0.00014887699421967104,-6.0104579892528154e-05
primary_total_co2,MLI,Mali,Western Africa,0.24782669503123966,0.20830607179683577,0.1987263422496344,0.03952062323440389,0.049100352781605267,0.009579729547201377
primary_total_co2,MRT,Mauritania,Western Africa,0.2597916027159455,0.19026637296375765,0.19729200812615932,0.06952522975218783,0.062499594589786156,-0.007025635162401678
primary_total_co2,MAR,Morocco,Northern Africa,0.2418455862979349,0.18768737102639726,0.197987847874144,0.054158215271537635,0.0438577384237909,-0.010300476847746737
primary_total_co2,MOZ,Mozambique,Eastern Africa,0.172823801894673,0.19953410778294856,0.17817609630686176,0.026710305888275554,0.005352294412188763,-0.02135801147608679
primary_total_co2,NAM,Namibia,Southern Africa,0.17785319196923344,0.20449328123177032,0.18105162836365837,0.026640089262536887,0.003198436394424936,-0.02344165286811195
primary_total_co2,NER,Niger,Western Africa,0.2385606960588716,0.2376136716553512,0.23947012403803014,0.0009470244035204023,0.0009094279791585502,-3.7596424361852065e-05
primary_total_co2,NGA,Nigeria,Western Africa,0.2030109401107239,0.20066537224653147,0.18920525663736437,0.0023455678641924327,0.013805683473359531,0.011460115609167099
primary_total_co2,RWA,Rwanda,Eastern Africa,0.20845952779692498,0.18465781439005904,0.2199995393564222,0.023801713406865932,0.011540011559497215,-0.012261701847368717
primary_total_co2,SEN,Senegal,Western Africa,0.24097868636270878,0.18728015982924834,0.195027244154726,0.05369852653346044,0.04595144220798278,-0.00774708432547766
primary_total_co2,SLE,Sierra Leone,Western Africa,0.22372060994282955,0.18907899366962955,0.18655169065823035,0.034641616273200004,0.0371689192845992,0.0025273030113991957
primary_total_co2,SOM,Somalia,Eastern Africa,0.19588332023430152,0.1914351549421823,0.1977960525092819,0.004448165292119222,0.0019127322749803721,-0.0025354330171388495
primary_total_co2,ZAF,South Africa,Southern Africa,0.16028496312204338,0.2031572392114506,0.15860771762650652,0.04287227608940722,0.0016772454955368554,-0.04119503059387036
primary_total_co2,SDN,Sudan,Northern Africa,0.20487305719629992,0.25831860493063286,0.2550026672656377,0.05344554773433294,0.05012961006933778,-0.003315937664995161
primary_total_co2,SWZ,Swaziland,Southern Africa,0.15934183499515397,0.20811576774743762,0.1770274406393806,0.048773932752283644,0.017685605644226637,-0.031088327108057007
primary_total_co2,TZA,Tanzania,Eastern Africa,0.20953051997740807,0.15454788374160322,0.1851005119528496,0.05498263623580485,0.02443000802455847,-0.03055262821124638
primary_total_co2,TGO,Togo,Western Africa,0.1941324419699687,0.20490523972115537,0.19963662027381426,0.010772797751186669,0.005504178303845558,-0.005268619447341111
primary_total_co2,TUN,Tunisia,Northern Africa,0.23748975158588337,0.23743392134773472,0.24870980152024347,5.5830238148646405e-05,0.011220049934360099,0.011164219696211453
primary_total_co2,UGA,Uganda,Eastern Africa,0.21147594840550732,0.2198565715364651,0.21685296276929078,0.008380623130957776,0.005377014363783461,-0.003003608767174315
primary_total_co2,ZMB,Zambia,Eastern Africa,0.17691283567770744,0.18066339430410228,0.19391666114752876,0.00375055862639484,0.01700382546982132,0.013253266843426481
primary_total_co2,ZWE,Zimbabwe,Eastern Africa,0.1535502891079796,0.18781640889123002,0.17756655999669915,0.03426611978325042,0.02401627088871955,-0.010249848894530872
primary_total_co2,AFG,Afghanistan,Southern Asia,0.24733117695547363,0.18972498810371896,0.18023667033565105,0.05760618885175467,0.06709450661982258,0.009488317768067911
primary_total_co2,ARM,Armenia,Western Asia,0.18833773750931812,0.1703595539642547,0.18018379642095086,0.01797818354506342,0.008153941088367256,-0.009824242456696164
primary_total_co2,AZE,Azerbaijan,Western Asia,0.19504824967387935,0.17325328111920668,0.18441334093467113,0.021794968554672667,0.010634908739208221,-0.011160059815464446
primary_total_co2,BGD,Bangladesh,Southern Asia,0.11108862004719486,0.16143666455239344,0.15249098570157463,0.050348044505198586,0.04140236565437977,-0.008945678850818817
primary_total_co2,MMR,Burma,South-eastern Asia,0.10898678984933867,0.1768805529471416,0.16924924690827373,0.06789376309780294,0.06026245705893506,-0.0076313060388678855
primary_total_co2,KHM,Cambodia,South-eastern Asia,0.12397652977439673,0.15662636202023134,0.14939296645104974,0.032649832245834606,0.025416436676653012,-0.007233395569181594
primary_total_co2,CHN,China,Eastern Asia,0.18801127254816274,0.18541728877003738,0.184445558957666,0.002593983778125364,0.003565713590496733,0.0009717298123713691
primary_total_co2,GEO,Georgia,Western Asia,0.17014653222140888,0.1695736270716329,0.1781912968783045,0.0005729051497759818,0.008044764656895631,0.007471859507119649
primary_total_co2,IND,India,Southern Asia,0.12279874845556998,0.1825728363431418,0.16651012140618074,0.059774087887571825,0.043711372950610755,-0.01606271493696107
primary_total_co2,IDN,Indonesia,South-eastern Asia,0.1365994643114788,0.08472933213652871,0.09519547730036496,0.05187013217495008,0.041403987011113835,-0.010466145163836246
primary_total_co2,IRN,Iran,Southern Asia,0.25326598928356275,0.15731367545478825,0.1566958869720142,0.0959523138287745,0.09657010231154856,0.000617788482774051
primary_total_co2,IRQ,Iraq,Western Asia,0.1763349119758569,0.16675258660662234,0.1833206030577023,0.009582325369234562,0.006985691081845408,-0.0025966342873891546
primary_total_co2,ISR,Israel,Western Asia,0.1289730259690734,0.20045413770401865,0.20536308142723747,0.07148111173494526,0.07639005545816407,0.004908943723218817
primary_total_co2,JPN,Japan,Eastern Asia,0.13484212055215955,0.12920758816507438,0.13729912657788015,0.005634532387085167,0.002457006025720604,-0.0031775263613645632
primary_total_co2,JOR,Jordan,Western Asia,0.1241622692023015,0.14973969285589295,0.16404515848240034,0.025577423653591447,0.03988288928009884,0.014305465626507391
primary_total_co2,KAZ,Kazakhstan,Central Asia,0.2607179280248597,0.18355180880197428,0.20385512688636176,0.07716611922288544,0.056862801138497954,-0.020303318084387484
primary_total_co2,LAO,Laos,South-eastern Asia,0.11990552917453423,0.16695814386164876,0.1611492078851322,0.047052614687114525,0.041243678710597975,-0.005808935976516549
primary_total_co2,LBN,Lebanon,Western Asia,0.13240721718298015,0.1620342737427576,0.18715969190603102,0.02962705655977746,0.054752474723050865,0.025125418163273405
primary_total_co2,MYS,Malaysia,South-eastern Asia,0.14354714353630665,0.13984964940859984,0.1229085465858352,0.003697494127706813,0.02063859695047146,0.016941102822764648
primary_total_co2,MNG,Mongolia,Eastern Asia,0.273292065382825,0.23284593035884302,0.25133008111338784,0.040446135023982005,0.021961984269437185,-0.01848415075454482
primary_total_co2,NPL,Nepal,Southern Asia,0.12394103933918027,0.1522270456390989,0.15883625482969038,0.02828600629991862,0.03489521549051011,0.006609209190591492
primary_total_co2,OMN,Oman,Western Asia,0.2034660332775613,0.14771171772119748,0.13703417792001718,0.055754315556363815,0.06643185535754412,0.010677539801180302
primary_total_co2,PAK,Pakistan,Southern Asia,0.1799496198587603,0.1777117740461201,0.16787159268679813,0.0022378458126401934,0.012078027171962158,0.009840181359321964
primary_total_co2,PHL,Philippines,South-eastern Asia,0.16029540562197608,0.12046427837466013,0.11190320412142053,0.03983112724731595,0.04839220150055555,0.008561074253239598
primary_total_co2,QAT,Qatar,Western Asia,0.2314787860422459,0.1731179033299367,0.16770874373840663,0.05836088271230919,0.06377004230383926,0.005409159591530072
primary_total_co2,SAU,Saudi Arabia,Western Asia,0.1912885606557455,0.18214799729167172,0.160826554052298,0.00914056336407379,0.0304620066034475,0.02132144323937371
primary_total_co2,KOR,South Korea,Eastern Asia,0.14512934007189218,0.19991184837319687,0.20489881417117461,0.05478250830130468,0.05976947409928243,0.004986965797977749
primary_total_co2,LKA,Sri Lanka,Southern Asia,0.13450142935863102,0.13860361502211407,0.1300744926406418,0.0041021856634830545,0.004426936717989216,0.0003247510545061616
primary_total_co2,SYR,Syria,Western Asia,0.14323534954112288,0.21430482271172646,0.22608189285107272,0.07106947317060358,0.08284654330994984,0.011777070139346257
primary_total_co2,TWN,Taiwan,Eastern Asia,0.13706412122195852,0.14514480116049433,0.1524112005841916,0.008080679938535812,0.01534707936223309,0.007266399423697278
primary_total_co2,TJK,Tajikistan,Central Asia,0.233975502099763,0.20376282373350219,0.19594035078439725,0.03021267836626082,0.03803515131536575,0.00782247294910493
primary_total_co2,THA,Thailand,South-eastern Asia,0.11983102194091183,0.16213029411083146,0.1543354645124551,0.04229927216991963,0.03450444257154328,-0.007794829598376352
primary_total_co2,TUR,Turkey,Western Asia,0.1419623303023036,0.15622326028829658,0.1770604025890247,0.014260929985992987,0.0350980722867211,0.020837142300728112
primary_total_co2,TKM,Turkmenistan,Central Asia,0.2752870410187589,0.1872663685180164,0.1925142015745464,0.0880206725007425,0.08277283944421249,-0.00524783305653001
primary_total_co2,ARE,United Arab Emirates,Western Asia,0.2248308233871666,0.1636245143346339,0.15656847073190663,0.06120630905253269,0.06826235265525996,0.007056043602727269
primary_total_co2,UZB,Uzbekistan,Central Asia,0.27739224194989204,0.20934363279782625,0.20420913647627753,0.06804860915206579,0.07318310547361451,0.0051344963215487205
primary_total_co2,VNM,Vietnam,South-eastern Asia,0.122632583177362,0.158839175907877,0.14773818744080497,0.03620659273051499,0.025105604263442965,-0.011100988467072026
primary_total_co2,YEM,Yemen,Western Asia,0.20150002766065422,0.15282299136985436,0.1465752001135719,0.04867703629079986,0.05492482754708233,0.00624779125628247
primary_total_co2,ALB,Albania,Southern Europe,0.15748303087977816,0.1428072855973135,0.1325968369559376,0.014675745282464653,0.02488619392384056,0.010210448641375908
primary_total_co2,AUT,Austria,Western Europe,0.21029967713303166,0.21833416369281264,0.20177942028668677,0.008034486559780979,0.008520256846344887,0.00048577028656390797
primary_total_co2,BLR,Belarus,Eastern Europe,0.21395039394228654,0.2126779811887167,0.21506525268667692,0.001272412753569846,0.001114858744390379,-0.00015755400917946694
primary_total_co2,BEL,Belgium,Western Europe,0.1951636806716645,0.1720971100921007,0.18612187611820857,0.023066570579563794,0.009041804553455934,-0.01402476602610786
primary_total_co2,BIH,Bosnia And Herzegovina,Southern Europe,0.18440933101350881,0.18743815381749432,0.1606463602510375,0.0030288228039855036,0.023762970762471303,0.0207341479584858
primary_total_co2,BGR,Bulgaria,Eastern Europe,0.16411393376308978,0.21041847531214075,0.1909340747436701,0.046304541549050976,0.02682014098058033,-0.019484400568470644
primary_total_co2,HRV,Croatia,Southern Europe,0.18952185187085302,0.2048885418542327,0.18412331018984196,0.015366689983379672,0.00539854168101106,-0.009968148302368612
primary_total_co2,CYP,Cyprus,Western Asia,0.14075176149640625,0.16016635696937134,0.15754950388185673,0.01941459547296509,0.01679774238545048,-0.002616853087514609
primary_total_co2,CZE,Czech Republic,Eastern Europe,0.19293606527047014,0.22136393373804847,0.20973544320604484,0.028427868467578332,0.016799377935574705,-0.011628490532003627
primary_total_co2,DNK,Denmark,Northern Europe,0.1919403849228464,0.18091772743483944,0.2170161149043774,0.01102265748800696,0.025075729981530986,0.014053072493524027
primary_total_co2,EST,Estonia,Northern Europe,0.25938076329685683,0.20236097974960504,0.22504605363142305,0.05701978354725179,0.03433470966543378,-0.022685073881818008
primary_total_co2,FIN,Finland,Northern Europe,0.2349856997144576,0.1979902137370034,0.23107779280635043,0.036995485977454196,0.003907906908107162,-0.033087579069347034
primary_total_co2,FRA,France,Western Europe,0.1916777527720347,0.17514642664108596,0.17459799939524084,0.016531326130948737,0.01707975337679385,0.0005484272458451123
primary_total_co2,DEU,Germany,Western Europe,0.19552600658812053,0.17670902700034835,0.1927266407444912,0.018816979587772176,0.002799365843629331,-0.016017613744142845
primary_total_co2,GRC,Greece,Southern Europe,0.14163851313814882,0.17131841978785287,0.1616496479833093,0.029679906649704046,0.020011134845160483,-0.009668771804543563
primary_total_co2,HUN,Hungary,Eastern Europe,0.18683465599109378,0.23637762470464285,0.21248321605694637,0.049542968713549074,0.025648560065852588,-0.023894408647696486
primary_total_co2,ISL,Iceland,Northern Europe,0.12736783367802937,0.2136271598820103,0.25177779290923097,0.08625932620398094,0.1244099592312016,0.03815063302722066
primary_total_co2,IRL,Ireland,Northern Europe,0.1678618971108085,0.18834391911475415,0.20716481270377768,0.020482022003945638,0.03930291559296917,0.01882089358902353
primary_total_co2,ITA,Italy,Southern Europe,0.1823289325414157,0.1671566154445944,0.15089938864762364,0.015172317096821292,0.031429543893792045,0.016257226796970753
primary_total_co2,LVA,Latvia,Northern Europe,0.2466163184774826,0.19581490543103583,0.2143160699239634,0.05080141304644678,0.032300248553519206,-0.018501164492927574
primary_total_co2,LTU,Lithuania,Northern Europe,0.22162226701877433,0.19585592058018866,0.21210780476571164,0.025766346438585663,0.009514462253062683,-0.01625188418552298
primary_total_co2,MKD,Macedonia,Southern Europe,0.16410994630244113,0.1757514153274716,0.1498876408930609,0.011641469025030465,0.014222305409380243,0.0025808363843497772
primary_total_co2,MDA,Moldova,Eastern Europe,0.15544942684686172,0.19639061955913237,0.1876562563939711,0.040941192712270646,0.03220682954710938,-0.008734363165161269
primary_total_co2,MNE,Montenegro,Southern Europe,0.1643666862725019,0.17265293552167582,0.14674415918382927,0.008286249249173927,0.017622527088672624,0.009336277839498697
primary_total_co2,NLD,Netherlands,Western Europe,0.18877545734026732,0.15134758668242432,0.17668712974143766,0.037427870657843004,0.012088327598829662,-0.025339543059013342
primary_total_co2,NOR,Norway,Northern Europe,0.20191951273050374,0.20726471017259124,0.24969360631810894,0.0053451974420875015,0.047774093587605204,0.0424288961455177
primary_total_co2,POL,Poland,Eastern Europe,0.18403612522932167,0.20864790917108464,0.20458482016742485,0.02461178394176297,0.020548694938103185,-0.004063089003659787
primary_total_co2,PRT,Portugal,Southern Europe,0.1846817946752158,0.16015597780109997,0.14938268357892137,0.02452581687411584,0.03529911109629444,0.010773294222178598
primary_total_co2,ROU,Romania,Eastern Europe,0.1626491375716469,0.22645584055005352,0.20419699568384025,0.06380670297840663,0.04154785811219336,-0.022258844866213268
primary_total_co2,RUS,Russia,Eastern Europe,0.262173281711931,0.23041417864896757,0.2441871160285114,0.03175910306296342,0.017986165683419597,-0.013772937379543826
primary_total_co2,SRB,Serbia,Southern Europe,0.1777828851474587,0.20442347620757428,0.17393536259765308,0.02664059106011557,0.0038475225498056376,-0.022793068510309933
primary_total_co2,SVK,Slovakia,Eastern Europe,0.17135924127324334,0.2375703156693219,0.22065384220150108,0.06621107439607857,0.04929460092825774,-0.016916473467820825
primary_total_co2,SVN,Slovenia,Southern Europe,0.2104092831778439,0.19999387592512252,0.1834368594223897,0.010415407252721387,0.026972423755454222,0.016557016502732835
primary_total_co2,ESP,Spain,Southern Europe,0.19118695961871326,0.1624962436915401,0.14611553780655584,0.028690715927173177,0.045071421812157425,0.016380705884984248
primary_total_co2,SWE,Sweden,Northern Europe,0.21924683880167534,0.19851480935481466,0.23109837775847453,0.020732029446860673,0.01185153895679919,-0.008880490490061482
primary_total_co2,CHE,Switzerland,Western Europe,0.20255138935875544,0.19973187051641106,0.1866425526789624,0.0028195188423443818,0.015908836679793037,0.013089317837448655
primary_total_co2,UKR,Ukraine,Eastern Europe,0.17767865721146503,0.21628757784750385,0.1999364468989884,0.038608920636038824,0.02225778968752337,-0.016351130948515452
primary_total_co2,GBR,United Kingdom,Northern Europe,0.16309409461298247,0.17324478239507332,0.20000214213998613,0.010150687782090856,0.03690804752700366,0.026757359744912806
primary_total_co2,BHS,Bahamas,Caribbean,0.13991083211606994,0.13276138919580005,0.12806892876216402,0.007149442920269894,0.01184190335390592,0.004692460433636025
primary_total_co2,CAN,Canada,Northern America,0.2521930060529909,0.16584743754339853,0.1785566857654877,0.08634556850959235,0.07363632028750319,-0.012709248222089159
primary_total_co2,CRI,Costa Rica,Central America,0.10130466192673268,0.13183365111640766,0.1271180312726711,0.030528989189674977,0.02581336934593842,-0.004715619843736557
primary_total_co2,CUB,Cuba,Caribbean,0.12305617676307766,0.11461085916408642,0.11031015934353897,0.00844531759899124,0.012746017419538694,0.0043006998205474545
primary_total_co2,DOM,Dominican Republic,Caribbean,0.15478420047944152,0.09319231787767247,0.09293093920309291,0.06159188260176905,0.06185326127634862,0.00026137867457956543
primary_total_co2,SLV,El Salvador,Central America,0.06948090854064985,0.12762706105663676,0.12697401098977482,0.05814615251598691,0.057493102449124964,-0.0006530500668619488
primary_total_co2,GTM,Guatemala,Central America,0.0508136158223582,0.10952093820024777,0.12013286878012137,0.05870732237788957,0.06931925295776317,0.010611930579873599
primary_total_co2,HTI,Haiti,Caribbean,0.14216341234840274,0.08283511795503207,0.08266023277564982,0.05932829439337067,0.05950317957275292,0.0001748851793822448
primary_total_co2,HND,Honduras,Central America,0.08078933014247122,0.1395398889211119,0.13302485997436544,0.05875055877864069,0.05223552983189422,-0.006515028946746465
primary_total_co2,JAM,Jamaica,Caribbean,0.12861876139008294,0.10361118635722619,0.10287884246299447,0.02500757503285675,0.025739918927088462,0.0007323438942317129
primary_total_co2,MEX,Mexico,Central America,0.04065719593311795,0.1400128360974216,0.14358241374083006,0.09935564016430365,0.1029252178077121,0.003569577643408456
primary_total_co2,NIC,Nicaragua,Central America,0.09228609649696132,0.13514554312537955,0.13083387149527986,0.04285944662841823,0.038547774998318546,-0.004311671630099684
primary_total_co2,PAN,Panama,Central America,0.12161241121300685,0.12156035602848389,0.11692801881430515,5.205518452296165e-05,0.004684392398701706,0.0046323372141787444
primary_total_co2,USA,United States,Northern America,0.1695001197237513,0.1432592585165794,0.14764944168794245,0.026240861207171923,0.021850678035808868,-0.004390183171363055
primary_total_co2,AUS,Australia,Australia and New Zealand,0.16302097420962694,0.09852332523473595,0.10916501916143448,0.06449764897489099,0.05385595504819246,-0.010641693926698531
primary_total_co2,NZL,New Zealand,Australia and New Zealand,0.10027093962176431,0.17262521739855735,0.14101132497979432,0.07235427777679304,0.04074038535803001,-0.03161389241876303
primary_total_co2,PNG,Papua New Guinea,Melanesia,0.13861753573076713,0.0534663074796668,0.11363060689042709,0.08515122825110033,0.02498692884034004,-0.06016429941076029
primary_total_co2,ARG,Argentina,South America,0.10866574248962382,0.17395208184274774,0.12221418828715727,0.06528633935312392,0.013548445797533448,-0.05173789355559047
primary_total_co2,BOL,Bolivia,South America,0.10781469285053756,0.11771807123848432,0.11026139031135271,0.009903378387946762,0.0024466974608151476,-0.007456680927131615
primary_total_co2,BRA,Brazil,South America,0.16469595530453246,0.049961404264934214,0.08099115740069265,0.11473455103959825,0.0837047979038398,-0.03102975313575844
primary_total_co2,CHL,Chile,South America,0.0993071522959073,0.15904743551291745,0.12881799159538798,0.05974028321701015,0.029510839299480687,-0.030229443917529464
primary_total_co2,COL,Colombia,South America,0.13225011394627992,0.11581594222743472,0.1342781363936432,0.016434171718845203,0.0020280224473632757,-0.014406149271481927
primary_total_co2,ECU,Ecuador,South America,0.12529387656573873,0.08646846417557258,0.14483685741116603,0.03882541239016615,0.0195429808454273,-0.019282431544738854
primary_total_co2,PRY,Paraguay,South America,0.12268222549728672,0.16198219388419022,0.11814824832109994,0.0392999683869035,0.004533977176186782,-0.03476599121071672
primary_total_co2,PER,Peru,South America,0.10234701745272959,0.10302024992885586,0.14440604292249415,0.0006732324761262731,0.04205902546976456,0.04138579299363829
primary_total_co2,SUR,Suriname,South America,0.14991778270906336,0.12046633096076652,0.13271718770488256,0.029451451748296845,0.017200595004180808,-0.012250856744116037
primary_total_co2,URY,Uruguay,South America,0.1340604374132053,0.1311814031719012,0.10148362978991483,0.002879034241304118,0.032576807623290474,0.029697773381986356
primary_total_co2,VEN,Venezuela,South America,0.14209795456206648,0.118419567256384,0.12413840008472668,0.023678387305682475,0.017959554477339795,-0.005718832828342679
per_capita,DZA,Algeria,Northern Africa,0.24027005915767902,0.19838894526857673,0.21497014372616985,0.04188111388910229,0.025299915431509168,-0.01658119845759312
per_capita,AGO,Angola,Middle Africa,0.2003000150757142,0.15411387596756143,0.17587907322469332,0.04618613910815278,0.024420941851020894,-0.021765197257131885
per_capita,BEN,Benin,Western Africa,0.20270211677173233,0.1874279699294955,0.18262294321931263,0.015274146842236824,0.0200791735524197,0.004805026710182875
per_capita,BWA,Botswana,Southern Africa,0.15541865895509172,0.23711897360096276,0.2013769245117094,0.08170031464587105,0.045958265556617695,-0.03574204908925335
per_capita,BFA,Burkina Faso,Western Africa,0.2158731392585228,0.21407006548681956,0.20686878031753048,0.0018030737717032452,0.00900435894099233,0.0072012851692890845
per_capita,BDI,Burundi,Eastern Africa,0.20888549627683978,0.17588459483612434,0.2103154418897292,0.033000901440715436,0.0014299456128894217,-0.031570955827826014
per_capita,CMR,Cameroon,Middle Africa,0.16636200134979467,0.20659232281289824,0.20143493377907842,0.04023032146310357,0.03507293242928375,-0.00515738903381982
per_capita,CAF,Central African Republic,Middle Africa,0.18403786064638777,0.24289375188984927,0.24010064256723423,0.058855891243461494,0.05606278192084646,-0.002793109322615034
per_capita,TCD,Chad,Middle Africa,0.2035091414222523,0.24238281615049959,0.2352858096604295,0.03887367472824729,0.03177666823817721,-0.007097006490070085
per_capita,COG,Congo,Middle Africa,0.1704220858831212,0.17725436022096408,0.2073376001381265,0.006832274337842892,0.036915514255005305,0.030083239917162413
per_capita,COD,Congo (Democratic Republic Of The),Middle Africa,0.19859794898946587,0.200419381482415,0.24571217531169673,0.0018214324929491377,0.04711422632223086,0.045292793829281724
per_capita,CIV,Côte D'Ivoire,Western Africa,0.20772847580142792,0.18062480561478417,0.1748940642554836,0.027103670186643752,0.032834411545944325,0.005730741359300573
per_capita,DJI,Djibouti,Eastern Africa,0.20035987264449803,0.1950326013846267,0.2014012527504576,0.005327271259871341,0.001041380105959555,-0.004285891153911786
per_capita,EGY,Egypt,Northern Africa,0.15478518959618381,0.24730058934584379,0.25875161066341423,0.09251539974965997,0.10396642106723042,0.011451021317570448
