representation,model,coalition,n_groups,r2
primary_total_co2,M0star,intercept_only,0,2.220446049250313e-16
primary_total_co2,M0star,emissions,1,0.0010165378255079238
primary_total_co2,M0star,geography,1,0.5972021699011538
primary_total_co2,M0star,socioeconomic,1,0.09601133035827125
primary_total_co2,M0star,population,1,0.05970456193524254
primary_total_co2,M0star,emissions+geography,2,0.6003779684551518
primary_total_co2,M0star,emissions+socioeconomic,2,0.10657043480812844
primary_total_co2,M0star,emissions+population,2,0.06465947933032234
primary_total_co2,M0star,geography+socioeconomic,2,0.6177072586399274
primary_total_co2,M0star,geography+population,2,0.6057067920469816
primary_total_co2,M0star,socioeconomic+population,2,0.13741090950974777
primary_total_co2,M0star,emissions+geography+socioeconomic,3,0.6189771352789222
primary_total_co2,M0star,emissions+geography+population,3,0.6187352831945991
primary_total_co2,M0star,emissions+socioeconomic+population,3,0.23292987980731972
primary_total_co2,M0star,geography+socioeconomic+population,3,0.6277633779338294
primary_total_co2,M0star,emissions+geography+socioeconomic+population,4,0.6364460027547281
primary_total_co2,M2,intercept_only,0,2.220446049250313e-16
primary_total_co2,M2,emissions,1,0.0010165378255079238
primary_total_co2,M2,geography,1,0.6621067118200274
primary_total_co2,M2,socioeconomic,1,0.09601133035827125
primary_total_co2,M2,population,1,0.05970456193524254
primary_total_co2,M2,emissions+geography,2,0.6621438248442446
primary_total_co2,M2,emissions+socioeconomic,2,0.10657043480812844
primary_total_co2,M2,emissions+population,2,0.06465947933032234
primary_total_co2,M2,geography+socioeconomic,2,0.6799034996482423
primary_total_co2,M2,geography+population,2,0.6744702401213575
primary_total_co2,M2,socioeconomic+population,2,0.13741090950974777
primary_total_co2,M2,emissions+geography+socioeconomic,3,0.6800188579039609
primary_total_co2,M2,emissions+geography+population,3,0.680583418784531
primary_total_co2,M2,emissions+socioeconomic+population,3,0.23292987980731972
primary_total_co2,M2,geography+socioeconomic+population,3,0.6934456379508407
primary_total_co2,M2,emissions+geography+socioeconomic+population,4,0.697438913665664
per_capita,M0star,intercept_only,0,2.220446049250313e-16
per_capita,M0star,emissions,1,5.158716785302886e-06
per_capita,M0star,geography,1,0.5972021699011538
per_capita,M0star,socioeconomic,1,0.09601133035827125
per_capita,M0star,population,1,0.05970456193524254
per_capita,M0star,emissions+geography,2,0.6074445790857943
per_capita,M0star,emissions+socioeconomic,2,0.18430920340053192
per_capita,M0star,emissions+population,2,0.06465947933032212
per_capita,M0star,geography+socioeconomic,2,0.6177072586399274
per_capita,M0star,geography+population,2,0.6057067920469816
per_capita,M0star,socioeconomic+population,2,0.13741090950974777
per_capita,M0star,emissions+geography+socioeconomic,3,0.6248255536576508
per_capita,M0star,emissions+geography+population,3,0.6187352831945994
per_capita,M0star,emissions+socioeconomic+population,3,0.2329298798073196
per_capita,M0star,geography+socioeconomic+population,3,0.6277633779338294
per_capita,M0star,emissions+geography+socioeconomic+population,4,0.6364460027547282
per_capita,M2,intercept_only,0,2.220446049250313e-16
per_capita,M2,emissions,1,5.158716785302886e-06
per_capita,M2,geography,1,0.6621067118200274
per_capita,M2,socioeconomic,1,0.09601133035827125
per_capita,M2,population,1,0.05970456193524254
per_capita,M2,emissions+geography,2,0.6662170205639713
per_capita,M2,emissions+socioeconomic,2,0.18430920340053192
per_capita,M2,emissions+population,2,0.06465947933032212
per_capita,M2,geography+socioeconomic,2,0.6799034996482423
per_capita,M2,geography+population,2,0.6744702401213575
per_capita,M2,socioeconomic+population,2,0.13741090950974777
per_capita,M2,emissions+geography+socioeconomic,3,0.6825566932582336
per_capita,M2,emissions+geography+population,3,0.680583418784531
per_capita,M2,emissions+socioeconomic+population,3,0.2329298798073196
per_capita,M2,geography+socioeconomic+population,3,0.6934456379508407
per_capita,M2,emissions+geography+socioeconomic+population,4,0.6974389136656639
