weights,protocol,fit,n_train,n_test,training_boundary_ties,row_sums_exactly_one,logdet_sign_positive_on_grid,logdet_finite_on_grid,spectral_radius,min_real_eigenvalue,training_first_neighbour_km_median,training_eighth_neighbour_km_median,training_eighth_neighbour_km_max,structural_pass,failure,attachment_boundary_ties,attachment_first_km_min,attachment_eighth_km_max,attachment_weights_sum_one
station,full_sample,all,151,0,4,True,True,True,1.0000000000000038,-0.297788142288598,423.1374906719694,1442.1691776272546,9182.273627364239,True,,,,,
station,primary_loco,DZA,140,1,4,True,True,True,1.000000000000003,-0.3573429651740909,425.9565657761533,1463.6122945463862,9182.273627364239,True,,0.0,1179.6344541122817,1678.5288072783603,True
station,primary_loco,AGO,143,1,4,True,True,True,1.0000000000000016,-0.2921071646345667,400.2357841874469,1474.1299852322582,9182.273627364239,True,,0.0,1805.446458351575,2370.814975408515,True
station,primary_loco,BEN,143,1,4,True,True,True,1.0000000000000027,-0.29766693385235155,423.4548338550739,1535.0916018024352,9182.273627364239,True,,0.0,994.9740410083191,1843.46538379767,True
station,primary_loco,BWA,142,1,4,True,True,True,1.0000000000000018,-0.3307080583092977,399.083621576208,1420.865863194476,9182.273627364239,True,,0.0,1446.61117555206,2854.443237910843,True
station,primary_loco,BFA,140,1,4,True,True,True,1.0000000000000027,-0.2910606862846536,443.40769711153223,1519.6324338563804,9182.273627364239,True,,0.0,1052.2930055147838,2484.2062479899832,True
station,primary_loco,BDI,144,1,4,True,True,True,1.0000000000000004,-0.2798406267536389,399.083621576208,1458.4180905640715,9182.273627364239,True,,0.0,1289.3834194177368,1848.7159247169045,True
station,primary_loco,CMR,142,1,4,True,True,True,1.0000000000000004,-0.2896873304048072,397.931458964969,1482.2114713737635,9182.273627364239,True,,0.0,1036.8750693719046,2242.066882416424,True
station,primary_loco,CAF,141,1,4,True,True,True,1.0000000000000027,-0.2971095346245596,397.931458964969,1477.043985360583,9182.273627364239,True,,0.0,1440.1773725834348,2158.961641648726,True
station,primary_loco,TCD,140,1,5,True,True,True,0.9999999999999998,-0.32619446826231346,382.71759619570616,1516.123795861307,9182.273627364239,True,,0.0,1028.3704520985661,2006.7634001298366,True
station,primary_loco,COG,143,1,4,True,True,True,1.000000000000002,-0.2903105787984589,397.931458964969,1477.6066671860951,9182.273627364239,True,,0.0,1603.903841041737,2122.242363073052,True
station,primary_loco,COD,133,1,4,True,True,True,1.0000000000000098,-0.2643261480865573,385.84365816787545,1474.1299852322582,9182.273627364239,True,,0.0,1695.9404939860888,2695.5732729692304,True
station,primary_loco,CIV,141,1,4,True,True,True,0.999999999999999,-0.2903155595180548,486.85780585958014,1512.7175599913132,9182.273627364239,True,,0.0,1193.9561757341842,2493.521823940659,True
station,primary_loco,DJI,145,1,4,True,True,True,1.0000000000000047,-0.28850314549577627,400.2357841874469,1440.1773725834348,9182.273627364239,True,,0.0,1121.412549980065,2156.836633378262,True
station,primary_loco,EGY,137,1,3,True,True,True,1.000000000000001,-0.2999023365161462,397.931458964969,1535.0916018024352,9182.273627364239,True,,0.0,1606.9785629382557,1918.5695690326,True
station,primary_loco,GNQ,145,1,4,True,True,True,1.0000000000000018,-0.2907785616193465,400.2357841874469,1477.043985360583,9182.273627364239,True,,0.0,994.9740410083191,1714.3649573197742,True
station,primary_loco,ERI,143,1,6,True,True,True,1.0000000000000053,-0.28453057520851394,397.931458964969,1440.1773725834348,9182.273627364239,True,,0.0,1549.5810323202434,2123.6632457761348,True
station,primary_loco,ETH,141,1,4,True,True,True,1.0000000000000036,-0.2993773508966842,397.931458964969,1442.1691776272546,9182.273627364239,True,,0.0,1670.1003356944798,2395.5224934432117,True
station,primary_loco,GAB,143,1,4,True,True,True,1.0000000000000013,-0.2903105787984599,397.931458964969,1477.6066671860951,9182.273627364239,True,,0.0,1188.1210625987153,2157.1025498065196,True
station,primary_loco,GHA,142,1,4,True,True,True,1.0000000000000004,-0.29106068628465276,425.9565657761533,1530.8194547619414,9182.273627364239,True,,0.0,1163.8932003037007,1998.1159637480957,True
station,primary_loco,GIN,142,1,4,True,True,True,1.0000000000000007,-0.32068866125503925,451.03603267492997,1486.8579553168654,9182.273627364239,True,,0.0,1163.8932003037007,2507.3279929875066,True
station,primary_loco,GNB,145,1,4,True,True,True,1.0000000000000044,-0.29530030335199253,480.41757876205895,1453.0946038605146,9182.273627364239,True,,0.0,710.056253588082,2401.349120798496,True
station,primary_loco,KEN,142,1,4,True,True,True,1.0000000000000016,-0.26454018225897064,397.931458964969,1423.1555759504558,9182.273627364239,True,,0.0,1499.653618821558,2097.9029421753794,True
station,primary_loco,LSO,146,1,4,True,True,True,1.0000000000000022,-0.29500765987794086,423.29616226352164,1441.1732751053446,9182.273627364239,True,,0.0,1228.5841587120226,2867.985830522182,True
station,primary_loco,LBR,143,1,4,True,True,True,1.0000000000000016,-0.3130369402065478,480.41757876205895,1489.4795462801071,9182.273627364239,True,,0.0,710.056253588082,2294.626668921546,True
station,primary_loco,LBY,142,1,4,True,True,True,1.000000000000002,-0.34509863965414883,391.88755856642223,1490.3942975127484,9182.273627364239,True,,0.0,1051.230667728244,1558.672011445138,True
station,primary_loco,MDG,149,1,4,True,True,True,1.0000000000000018,-0.30797185681985495,400.2357841874469,1442.7061958958848,9182.273627364239,True,,0.0,1384.0296029202043,2227.4461734136394,True
station,primary_loco,MWI,145,1,4,True,True,True,1.0000000000000018,-0.2831731566817964,397.931458964969,1474.1299852322582,9182.273627364239,True,,0.0,1289.3834194177368,1828.6281881862728,True
station,primary_loco,MLI,135,1,4,True,True,True,1.0000000000000038,-0.29106068628465376,428.45829769723264,1511.2090320004447,9182.273627364239,True,,0.0,2015.8534523430628,3029.3412524318987,True
station,primary_loco,MRT,142,1,4,True,True,True,1.000000000000005,-0.3146468376903005,451.03603267492997,1479.183174792941,9182.273627364239,True,,0.0,1121.3005731898202,2487.714492920348,True
station,primary_loco,MAR,145,1,4,True,True,True,1.0000000000000016,-0.31078939051007537,423.4548338550739,1442.7061958958848,9182.273627364239,True,,0.0,1546.6242328810565,2152.719531388444,True
station,primary_loco,MOZ,140,1,4,True,True,True,1.0000000000000024,-0.28362435334910613,397.931458964969,1421.861765716386,9182.273627364239,True,,0.0,1831.3936969169256,2801.860734050573,True
station,primary_loco,NAM,145,1,4,True,True,True,1.000000000000003,-0.3212742853240176,423.1374906719694,1442.1691776272546,9182.273627364239,True,,0.0,1313.6174856217833,2720.3523289305463,True
station,primary_loco,NER,140,1,4,True,True,True,0.9999999999999996,-0.3018885338873339,411.6866374297081,1540.933054324596,9182.273627364239,True,,0.0,1217.1611822126195,2199.5726427851378,True
station,primary_loco,NGA,139,1,4,True,True,True,0.9999999999999984,-0.2925052491127831,428.45829769723264,1526.5473077214479,9182.273627364239,True,,0.0,1361.8044571222695,2416.259969357181,True
station,primary_loco,RWA,145,1,4,True,True,True,1.0000000000000022,-0.28030121322095874,400.2357841874469,1442.7061958958848,9182.273627364239,True,,0.0,1288.5393886365543,1838.9452298816398,True
station,primary_loco,SEN,143,1,4,True,True,True,1.0000000000000013,-0.31687554549958413,473.61376765262736,1446.61117555206,9182.273627364239,True,,0.0,1536.5481789147973,2935.3845441010003,True
station,primary_loco,SLE,144,1,4,True,True,True,1.0000000000000024,-0.32124842318282154,477.0156732073432,1449.8528897062874,9182.273627364239,True,,0.0,1052.2930055147838,2489.879296147361,True
station,primary_loco,SOM,143,1,4,True,True,True,0.9999999999999997,-0.2927394228907514,397.931458964969,1442.1691776272546,9182.273627364239,True,,0.0,1269.4404588618097,2508.1059068195145,True
station,primary_loco,ZAF,144,1,4,True,True,True,1.0000000000000002,-0.29008994812086053,411.6866374297081,1420.865863194476,9182.273627364239,True,,0.0,1587.8735573724528,2871.181387411216,True
station,primary_loco,SDN,140,1,6,True,True,True,1.0000000000000027,-0.26697809414390694,391.88755856642223,1474.536690849839,9182.273627364239,True,,0.0,1121.412549980065,2338.1079077423765,True
station,primary_loco,SWZ,145,1,4,True,True,True,1.0000000000000036,-0.28963441695015857,423.1374906719694,1440.1773725834348,9182.273627364239,True,,0.0,1367.397948940314,2690.882746773124,True
station,primary_loco,TZA,141,1,4,True,True,True,1.0000000000000002,-0.27660339349134805,397.931458964969,1442.1691776272546,9182.273627364239,True,,0.0,1568.9981311754461,2328.6064499501326,True
station,primary_loco,TGO,143,1,4,True,True,True,1.0000000000000027,-0.29766693385235155,423.4548338550739,1535.0916018024352,9182.273627364239,True,,0.0,1114.6788601368717,1786.1625067638226,True
station,primary_loco,TUN,145,1,4,True,True,True,0.9999999999999998,-0.2980927212111004,428.45829769723264,1446.61117555206,9182.273627364239,True,,0.0,987.1599150916882,1275.0651720481378,True
station,primary_loco,UGA,143,1,4,True,True,True,0.9999999999999989,-0.2995161238942078,397.931458964969,1442.1691776272546,9182.273627364239,True,,0.0,1133.5068614286647,1924.1555849891822,True
station,primary_loco,ZMB,141,1,4,True,True,True,1.0000000000000027,-0.2796666326349927,397.931458964969,1442.1691776272546,9182.273627364239,True,,0.0,1288.5393886365543,2098.2577726138925,True
station,primary_loco,ZWE,141,1,4,True,True,True,1.0000000000000018,-0.2887833641487133,397.931458964969,1442.1691776272546,9182.273627364239,True,,0.0,1228.5841587120226,2333.0057653469407,True
station,primary_loco,AFG,142,1,2,True,True,True,1.0000000000000009,-0.30946841788186363,397.931458964969,1402.8481640395871,9182.273627364239,True,,0.0,1636.1649674446112,2358.8823645943753,True
station,primary_loco,ARM,143,1,0,True,True,True,1.0000000000000007,-0.3094623854870139,423.1374906719694,1496.5522306718733,9182.273627364239,True,,0.0,1144.1870617583572,1556.9311098495232,True
station,primary_loco,AZE,140,1,0,True,True,True,1.0000000000000013,-0.31239283589193023,423.29616226352164,1486.8579553168654,9182.273627364239,True,,0.0,1442.1691776272546,1801.1343355864426,True
station,primary_loco,BGD,146,1,4,True,True,True,1.0000000000000002,-0.29806327496070856,397.931458964969,1402.8481640395871,9182.273627364239,True,,0.0,1513.915618822036,2606.5374893448247,True
station,primary_loco,MMR,141,1,4,True,True,True,1.0000000000000016,-0.2978059874773226,397.931458964969,1393.35419379525,10058.758864130423,True,,0.0,1445.2804755107609,3472.0475144607603,True
station,primary_loco,KHM,144,1,4,True,True,True,1.0000000000000007,-0.30132522027869857,399.083621576208,1398.3547982554999,9902.588146541837,True,,0.0,1840.447294888039,3534.2094657338266,True
station,primary_loco,CHN,131,1,2,True,True,True,1.0000000000000022,-0.3000080198355063,379.5915342235368,1351.3079047602196,10864.266373486727,True,,0.0,3507.888475717798,5816.657550409686,True
