model,family,protocol,fit,n_train,status,theta,true_theta,at_domain_bound,n_grid_local_maxima,n_evaluations,rank,columns,failure,se,wald_lower,wald_upper,held_out_invariance
M0star,sem,full_sample,all,151,computable,-0.21275979696135564,0.4,False,1,261,20,20,,0.194083197759777,-0.5931558745748835,0.1676362806521722,
M0star,sem,primary_loco,DZA,140,computable,-0.33453247451938994,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,AGO,143,computable,-0.31729760557457964,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,BEN,143,computable,-0.33830676472530663,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,BWA,142,computable,-0.35774075400632893,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,BFA,140,computable,-0.3293661798556062,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,BDI,144,computable,-0.2529013354328805,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,CMR,142,computable,-0.07739170480747028,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,CAF,141,computable,-0.1401082171453635,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,TCD,140,computable,-0.3055413440124904,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,COG,143,computable,-0.15700476043256978,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,COD,133,computable,-0.3157062149535647,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,CIV,141,computable,-0.3296806367540619,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,DJI,145,computable,-0.2927481376237009,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,EGY,137,computable,-0.5712671985223199,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,GNQ,145,computable,-0.1213879163756946,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,ERI,143,computable,-0.5059102492241542,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,ETH,141,computable,-0.265310002121141,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,GAB,143,computable,-0.1397743467947293,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,GHA,142,computable,-0.35641718827871627,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,GIN,142,computable,-0.29413109884960525,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,GNB,145,computable,-0.2674900203160108,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,KEN,142,computable,-0.2740422315500248,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,LSO,146,computable,-0.26409345472178153,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,LBR,143,computable,-0.33383306758133596,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,LBY,142,computable,-0.413762895882587,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,MDG,149,computable,-0.21179594828356957,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,MWI,145,computable,-0.22159457740251148,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,MLI,135,computable,-0.3188638322686393,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,MRT,142,computable,-0.37024220193163815,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,MAR,145,computable,-0.2909017590461046,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,MOZ,140,computable,-0.31345086586223164,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,NAM,145,computable,-0.2990572091009312,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,NER,140,computable,-0.3553777218368332,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,NGA,139,computable,-0.23331955866726736,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,RWA,145,computable,-0.24820396728648497,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,SEN,143,computable,-0.27495769488413097,0.4,False,1,261,20,20,,,,,True
M0star,sem,primary_loco,SLE,144,computable,-0.275438400036101,0.4,False,1,261,20,20,,,,,True
