weights,protocol,fit,role,iso3,neighbours
land,full_sample,all,training,DZA,TUN|MAR|MLI|NER|ESP|LBY|MRT|PRT
land,full_sample,all,training,AGO,NAM|ZMB|COD|BWA|COG|GAB|ZWE|BDI
land,full_sample,all,training,BEN,TGO|GHA|BFA|NGA|CIV|MLI|NER|GNQ
land,full_sample,all,training,BWA,NAM|ZWE|ZAF|SWZ|LSO|ZMB|AGO|MOZ
land,full_sample,all,training,BFA,GHA|TGO|BEN|MLI|CIV|GIN|LBR|NGA
land,full_sample,all,training,BDI,RWA|UGA|TZA|COD|KEN|ZMB|MWI|CAF
land,full_sample,all,training,CMR,GNQ|NGA|GAB|COG|CAF|BEN|TCD|TGO
land,full_sample,all,training,CAF,CMR|TCD|COG|COD|GAB|GNQ|NGA|RWA
land,full_sample,all,training,TCD,CAF|NER|SDN|CMR|LBY|NGA|EGY|GNQ
land,full_sample,all,training,COG,GAB|GNQ|CMR|COD|CAF|AGO|NGA|RWA
land,full_sample,all,training,COD,BDI|RWA|COG|UGA|CAF|AGO|ZMB|TZA
land,full_sample,all,training,CIV,LBR|GHA|BFA|GIN|SLE|TGO|BEN|MLI
land,full_sample,all,training,DJI,ETH|ERI|YEM|SOM|KEN|SAU|SDN|UGA
land,full_sample,all,training,EGY,ISR|JOR|LBN|CYP|SDN|LBY|SYR|GRC
land,full_sample,all,training,GNQ,GAB|CMR|COG|NGA|BEN|TGO|CAF|GHA
land,full_sample,all,training,ERI,DJI|ETH|YEM|SDN|SAU|SOM|EGY|KEN
land,full_sample,all,training,ETH,DJI|SOM|ERI|KEN|UGA|YEM|SDN|RWA
land,full_sample,all,training,GAB,GNQ|COG|CMR|NGA|CAF|COD|AGO|BEN
land,full_sample,all,training,GHA,TGO|BEN|CIV|BFA|LBR|NGA|MLI|GIN
land,full_sample,all,training,GIN,SLE|GNB|LBR|SEN|CIV|BFA|MRT|MLI
land,full_sample,all,training,GNB,SEN|GIN|SLE|LBR|MRT|CIV|MLI|BFA
land,full_sample,all,training,KEN,UGA|TZA|ETH|RWA|BDI|SOM|DJI|MWI
land,full_sample,all,training,LSO,ZAF|SWZ|BWA|ZWE|NAM|MOZ|ZMB|MWI
land,full_sample,all,training,LBR,SLE|CIV|GIN|GNB|GHA|BFA|SEN|TGO
land,full_sample,all,training,LBY,TUN|EGY|TCD|GRC|NER|DZA|ALB|MKD
land,full_sample,all,training,MDG,MOZ|MWI|SWZ|ZWE|TZA|ZMB|LSO|KEN
land,full_sample,all,training,MWI,MOZ|ZMB|TZA|ZWE|BDI|RWA|BWA|MDG
land,full_sample,all,training,MLI,BFA|MRT|BEN|GHA|TGO|CIV|GIN|SEN
land,full_sample,all,training,MRT,SEN|MLI|GNB|GIN|BFA|SLE|MAR|CIV
land,full_sample,all,training,MAR,ESP|PRT|DZA|MRT|TUN|MLI|FRA|ITA
land,full_sample,all,training,MOZ,MWI|ZWE|ZMB|SWZ|MDG|TZA|BWA|LSO
land,full_sample,all,training,NAM,BWA|AGO|ZAF|ZWE|LSO|ZMB|SWZ|MOZ
land,full_sample,all,training,NER,NGA|TCD|BEN|BFA|TGO|CMR|MLI|DZA
land,full_sample,all,training,NGA,BEN|CMR|TGO|GNQ|NER|GHA|BFA|GAB
land,full_sample,all,training,RWA,BDI|UGA|COD|TZA|KEN|ZMB|MWI|CAF
land,full_sample,all,training,SEN,GNB|GIN|SLE|MRT|LBR|MLI|CIV|BFA
land,full_sample,all,training,SLE,GIN|LBR|GNB|CIV|SEN|GHA|BFA|MRT
land,full_sample,all,training,SOM,DJI|ETH|YEM|KEN|ERI|UGA|TZA|OMN
land,full_sample,all,training,ZAF,LSO|SWZ|BWA|NAM|ZWE|MOZ|ZMB|MWI
land,full_sample,all,training,SDN,ERI|EGY|TCD|ETH|DJI|CAF|UGA|LBY
land,full_sample,all,training,SWZ,LSO|ZAF|ZWE|BWA|MOZ|ZMB|MWI|NAM
land,full_sample,all,training,TZA,BDI|RWA|MWI|KEN|UGA|ZMB|MOZ|COD
land,full_sample,all,training,TGO,BEN|GHA|BFA|CIV|NGA|MLI|LBR|GNQ
land,full_sample,all,training,TUN,ITA|DZA|LBY|ALB|MNE|HRV|BIH|MKD
land,full_sample,all,training,UGA,RWA|BDI|KEN|TZA|COD|ETH|CAF|SOM
land,full_sample,all,training,ZMB,ZWE|MWI|MOZ|BWA|TZA|AGO|BDI|COD
land,full_sample,all,training,ZWE,MOZ|ZMB|BWA|MWI|SWZ|LSO|ZAF|NAM
land,full_sample,all,training,AFG,PAK|TJK|TKM|UZB|IRN|ARE|KAZ|QAT
land,full_sample,all,training,ARM,AZE|GEO|SYR|IRQ|TUR|LBN|CYP|TKM
land,full_sample,all,training,AZE,ARM|GEO|IRQ|TKM|SYR|IRN|TUR|LBN
land,full_sample,all,training,BGD,MMR|NPL|IND|LAO|THA|VNM|CHN|KHM
land,full_sample,all,training,MMR,BGD|LAO|THA|VNM|KHM|NPL|IND|CHN
land,full_sample,all,training,KHM,VNM|THA|LAO|MYS|MMR|PHL|BGD|TWN
land,full_sample,all,training,CHN,MNG|BGD|MMR|LAO|NPL|KOR|TWN|VNM
land,full_sample,all,training,GEO,ARM|AZE|TUR|SYR|IRQ|LBN|CYP|UKR
land,full_sample,all,training,IND,NPL|BGD|PAK|LKA|MMR|AFG|TJK|THA
land,full_sample,all,training,IDN,MYS|PHL|KHM|VNM|THA|LAO|TWN|AUS
land,full_sample,all,training,IRN,QAT|TKM|ARE|IRQ|AZE|AFG|ARM|UZB
land,full_sample,all,training,IRQ,SYR|JOR|LBN|ARM|ISR|AZE|CYP|SAU
land,full_sample,all,training,ISR,JOR|LBN|CYP|SYR|EGY|IRQ|TUR|SAU
land,full_sample,all,training,JPN,KOR|TWN|CHN|MNG|PHL|VNM|LAO|KHM
land,full_sample,all,training,JOR,ISR|LBN|SYR|CYP|IRQ|EGY|TUR|SAU
land,full_sample,all,training,KAZ,UZB|TJK|TKM|AFG|AZE|GEO|ARM|IRN
land,full_sample,all,training,LAO,VNM|THA|KHM|MMR|BGD|MYS|TWN|CHN
land,full_sample,all,training,LBN,CYP|ISR|SYR|JOR|TUR|IRQ|EGY|ARM
land,full_sample,all,training,MYS,KHM|IDN|VNM|THA|PHL|LAO|MMR|TWN
land,full_sample,all,training,MNG,CHN|RUS|KOR|NPL|KAZ|TJK|BGD|JPN
land,full_sample,all,training,NPL,IND|BGD|PAK|MMR|TJK|AFG|CHN|LAO
land,full_sample,all,training,OMN,ARE|QAT|YEM|SAU|IRN|PAK|DJI|AFG
land,full_sample,all,training,PAK,AFG|TJK|IND|TKM|UZB|IRN|NPL|ARE
land,full_sample,all,training,PHL,TWN|IDN|MYS|VNM|KHM|LAO|THA|KOR
land,full_sample,all,training,QAT,ARE|SAU|OMN|IRN|IRQ|YEM|JOR|SYR
land,full_sample,all,training,SAU,QAT|ARE|YEM|IRQ|ERI|JOR|ISR|OMN
land,full_sample,all,training,KOR,JPN|TWN|CHN|MNG|PHL|LAO|VNM|KHM
land,full_sample,all,training,LKA,IND|BGD|MMR|NPL|THA|KHM|PAK|LAO
land,full_sample,all,training,SYR,LBN|JOR|CYP|ISR|IRQ|TUR|ARM|GEO
land,full_sample,all,training,TWN,PHL|KOR|VNM|LAO|JPN|KHM|CHN|THA
land,full_sample,all,training,TJK,AFG|UZB|PAK|TKM|KAZ|IRN|NPL|IND
land,full_sample,all,training,THA,KHM|LAO|VNM|MMR|BGD|MYS|NPL|LKA
land,full_sample,all,training,TUR,CYP|SYR|LBN|GEO|ISR|ARM|JOR|BGR
land,full_sample,all,training,TKM,UZB|AFG|IRN|AZE|TJK|KAZ|ARM|GEO
land,full_sample,all,training,ARE,QAT|OMN|IRN|SAU|YEM|IRQ|AFG|PAK
land,full_sample,all,training,UZB,TKM|TJK|KAZ|AFG|IRN|AZE|PAK|ARM
land,full_sample,all,training,VNM,LAO|KHM|THA|MMR|MYS|TWN|PHL|BGD
