weights,family,representation,theta,loglik
land,sem,primary_total_co2,-0.99,284.03212576583314
land,sem,primary_total_co2,-0.98,284.43288732861913
land,sem,primary_total_co2,-0.97,284.8337469434891
land,sem,primary_total_co2,-0.96,285.23471123768803
land,sem,primary_total_co2,-0.95,285.6357868428148
land,sem,primary_total_co2,-0.94,286.0369803948012
land,sem,primary_total_co2,-0.9299999999999999,286.43829853386086
land,sem,primary_total_co2,-0.9199999999999999,286.83974790440436
land,sem,primary_total_co2,-0.91,287.2413351549196
land,sem,primary_total_co2,-0.9,287.64306693781765
land,sem,primary_total_co2,-0.89,288.0449499092402
land,sem,primary_total_co2,-0.88,288.44699072882935
land,sem,primary_total_co2,-0.87,288.84919605945686
land,sem,primary_total_co2,-0.86,289.25157256691125
land,sem,primary_total_co2,-0.85,289.6541269195423
land,sem,primary_total_co2,-0.84,290.05686578785867
land,sem,primary_total_co2,-0.83,290.4597958440805
land,sem,primary_total_co2,-0.82,290.8629237616406
land,sem,primary_total_co2,-0.81,291.26625621463563
land,sem,primary_total_co2,-0.8,291.66979987722453
land,sem,primary_total_co2,-0.79,292.0735614229697
land,sem,primary_total_co2,-0.78,292.47754752412146
land,sem,primary_total_co2,-0.77,292.8817648508421
land,sem,primary_total_co2,-0.76,293.2862200703675
land,sem,primary_total_co2,-0.75,293.69091984610117
land,sem,primary_total_co2,-0.74,294.09587083664326
land,sem,primary_total_co2,-0.73,294.50107969474556
land,sem,primary_total_co2,-0.72,294.9065530661943
land,sem,primary_total_co2,-0.71,295.3122975886151
land,sem,primary_total_co2,-0.7,295.71831989019614
land,sem,primary_total_co2,-0.69,296.1246265883301
land,sem,primary_total_co2,-0.6799999999999999,296.5312242881663
land,sem,primary_total_co2,-0.6699999999999999,296.93811958107284
land,sem,primary_total_co2,-0.6599999999999999,297.3453190430029
land,sem,primary_total_co2,-0.6499999999999999,297.7528292327633
land,sem,primary_total_co2,-0.6399999999999999,298.16065669017866
land,sem,primary_total_co2,-0.63,298.5688079341479
land,sem,primary_total_co2,-0.62,298.97728946059016
land,sem,primary_total_co2,-0.61,299.38610774027126
land,sem,primary_total_co2,-0.6,299.795269216511
land,sem,primary_total_co2,-0.59,300.2047803027605
land,sem,primary_total_co2,-0.58,300.61464738005026
land,sem,primary_total_co2,-0.5700000000000001,301.02487679429703
land,sem,primary_total_co2,-0.56,301.435474853469
land,sem,primary_total_co2,-0.55,301.84644782459895
land,sem,primary_total_co2,-0.54,302.2578019306432
land,sem,primary_total_co2,-0.53,302.66954334717457
land,sem,primary_total_co2,-0.52,303.08167819890735
land,sem,primary_total_co2,-0.51,303.49421255604375
land,sem,primary_total_co2,-0.5,303.90715243043525
land,sem,primary_total_co2,-0.49,304.3205037715515
land,sem,primary_total_co2,-0.48,304.7342724622475
land,sem,primary_total_co2,-0.47,305.14846431432005
land,sem,primary_total_co2,-0.45999999999999996,305.5630850638476
land,sem,primary_total_co2,-0.44999999999999996,305.9781403662983
land,sem,primary_total_co2,-0.43999999999999995,306.3936357914026
land,sem,primary_total_co2,-0.42999999999999994,306.8095768177757
land,sem,primary_total_co2,-0.41999999999999993,307.2259688272809
land,sem,primary_total_co2,-0.41000000000000003,307.6428170991225
land,sem,primary_total_co2,-0.4,308.060126803657
land,sem,primary_total_co2,-0.39,308.4779029959071
land,sem,primary_total_co2,-0.38,308.8961506087716
land,sem,primary_total_co2,-0.37,309.31487444591176
land,sem,primary_total_co2,-0.36,309.73407917430353
land,sem,primary_total_co2,-0.35,310.1537693164404
land,sem,primary_total_co2,-0.33999999999999997,310.57394924217067
land,sem,primary_total_co2,-0.32999999999999996,310.9946231601539
land,sem,primary_total_co2,-0.31999999999999995,311.4157951089192
land,sem,primary_total_co2,-0.30999999999999994,311.8374689475086
land,sem,primary_total_co2,-0.29999999999999993,312.2596483456858
land,sem,primary_total_co2,-0.2899999999999999,312.6823367736923
land,sem,primary_total_co2,-0.28,313.1055374915307
land,sem,primary_total_co2,-0.27,313.5292535377529
land,sem,primary_total_co2,-0.26,313.95348771773314
land,sem,primary_total_co2,-0.25,314.3782425914005
land,sem,primary_total_co2,-0.24,314.8035204604094
land,sem,primary_total_co2,-0.22999999999999998,315.22932335472086
land,sem,primary_total_co2,-0.21999999999999997,315.65565301856844
land,sem,primary_total_co2,-0.20999999999999996,316.0825108957825
land,sem,primary_total_co2,-0.19999999999999996,316.5098981144429
land,sem,primary_total_co2,-0.18999999999999995,316.937815470829
land,sem,primary_total_co2,-0.17999999999999994,317.36626341263866
land,sem,primary_total_co2,-0.16999999999999993,317.7952420214385
land,sem,primary_total_co2,-0.15999999999999992,318.22475099431574
land,sem,primary_total_co2,-0.15000000000000002,318.6547896246912
land,sem,primary_total_co2,-0.14,319.08535678225894
land,sem,primary_total_co2,-0.13,319.51645089201133
land,sem,primary_total_co2,-0.12,319.9480699123086
land,sem,primary_total_co2,-0.10999999999999999,320.3802113119495
land,sem,primary_total_co2,-0.09999999999999998,320.8128720461996
land,sem,primary_total_co2,-0.08999999999999997,321.2460485317273
land,sem,primary_total_co2,-0.07999999999999996,321.67973662040134
land,sem,primary_total_co2,-0.06999999999999995,322.1139315718967
land,sem,primary_total_co2,-0.05999999999999994,322.5486280250566
land,sem,primary_total_co2,-0.04999999999999993,322.983819967953
land,sem,primary_total_co2,-0.039999999999999925,323.4195007065905
land,sem,primary_total_co2,-0.030000000000000027,323.8556628321896
land,sem,primary_total_co2,-0.020000000000000018,324.2922981869897
land,sem,primary_total_co2,-0.010000000000000009,324.72939782850324
land,sem,primary_total_co2,0.0,325.16695199215496
land,sem,primary_total_co2,0.010000000000000009,325.6049500522342
land,sem,primary_total_co2,0.020000000000000018,326.0433804810877
land,sem,primary_total_co2,0.030000000000000027,326.48223080647546
land,sem,primary_total_co2,0.040000000000000036,326.92148756701215
land,sem,primary_total_co2,0.050000000000000044,327.36113626561064
land,sem,primary_total_co2,0.06000000000000005,327.8011613208453
land,sem,primary_total_co2,0.07000000000000006,328.24154601614515
land,sem,primary_total_co2,0.08000000000000007,328.68227244673056
land,sem,primary_total_co2,0.09000000000000008,329.1233214641973
land,sem,primary_total_co2,0.10000000000000009,329.5646726186565
land,sem,primary_total_co2,0.1100000000000001,330.00630409833144
land,sem,primary_total_co2,0.1200000000000001,330.44819266651234
land,sem,primary_total_co2,0.13000000000000012,330.8903135957696
land,sem,primary_total_co2,0.14000000000000012,331.3326405993193
land,sem,primary_total_co2,0.15000000000000013,331.7751457594424
land,sem,primary_total_co2,0.16000000000000014,332.21779945284726
land,sem,primary_total_co2,0.16999999999999993,332.6605702728763
land,sem,primary_total_co2,0.17999999999999994,333.1034249484488
land,sem,primary_total_co2,0.18999999999999995,333.5463282596365
land,sem,primary_total_co2,0.19999999999999996,333.9892429497747
land,sem,primary_total_co2,0.20999999999999996,334.4321296340057
land,sem,primary_total_co2,0.21999999999999997,334.87494670416515
land,sem,primary_total_co2,0.22999999999999998,335.31765022991954
land,sem,primary_total_co2,0.24,335.76019385607685
land,sem,primary_total_co2,0.25,336.20252869599744
land,sem,primary_total_co2,0.26,336.6446032210453
land,sem,primary_total_co2,0.27,337.086363146034
land,sem,primary_total_co2,0.28,337.52775131063703
land,sem,primary_total_co2,0.29000000000000004,337.9687075567572
land,sem,primary_total_co2,0.30000000000000004,338.40916860186746
land,sem,primary_total_co2,0.31000000000000005,338.8490679083726
land,sem,primary_total_co2,0.32000000000000006,339.2883355490694
land,sem,primary_total_co2,0.33000000000000007,339.72689806883056
land,sem,primary_total_co2,0.3400000000000001,340.16467834267803
land,sem,primary_total_co2,0.3500000000000001,340.6015954304799
land,sem,primary_total_co2,0.3600000000000001,341.0375644285622
