weights,family,representation,theta,loglik
station,sem,primary_total_co2,-0.99,287.654559010835
station,sem,primary_total_co2,-0.98,288.0150298537042
station,sem,primary_total_co2,-0.97,288.375672542409
station,sem,primary_total_co2,-0.96,288.73649331909894
station,sem,primary_total_co2,-0.95,289.0974984454313
station,sem,primary_total_co2,-0.94,289.45869420266746
station,sem,primary_total_co2,-0.9299999999999999,289.82008689174774
station,sem,primary_total_co2,-0.9199999999999999,290.1816828333412
station,sem,primary_total_co2,-0.91,290.54348836787057
station,sem,primary_total_co2,-0.9,290.9055098555108
station,sem,primary_total_co2,-0.89,291.26775367615784
station,sem,primary_total_co2,-0.88,291.63022622936785
station,sem,primary_total_co2,-0.87,291.9929339342643
station,sem,primary_total_co2,-0.86,292.35588322940987
station,sem,primary_total_co2,-0.85,292.7190805726444
station,sem,primary_total_co2,-0.84,293.0825324408821
station,sem,primary_total_co2,-0.83,293.4462453298708
station,sem,primary_total_co2,-0.82,293.8102257539067
station,sem,primary_total_co2,-0.81,294.1744802455055
station,sem,primary_total_co2,-0.8,294.53901535502456
station,sem,primary_total_co2,-0.79,294.903837650237
station,sem,primary_total_co2,-0.78,295.26895371585033
station,sem,primary_total_co2,-0.77,295.63437015297114
station,sem,primary_total_co2,-0.76,296.0000935785106
station,sem,primary_total_co2,-0.75,296.3661306245277
station,sem,primary_total_co2,-0.74,296.7324879375073
station,sem,primary_total_co2,-0.73,297.0991721775698
station,sem,primary_total_co2,-0.72,297.4661900176082
station,sem,primary_total_co2,-0.71,297.83354814234957
station,sem,primary_total_co2,-0.7,298.2012532473355
station,sem,primary_total_co2,-0.69,298.56931203782
station,sem,primary_total_co2,-0.6799999999999999,298.93773122757716
station,sem,primary_total_co2,-0.6699999999999999,299.30651753761725
station,sem,primary_total_co2,-0.6599999999999999,299.67567769480445
station,sem,primary_total_co2,-0.6499999999999999,300.0452184303716
station,sem,primary_total_co2,-0.6399999999999999,300.41514647832787
station,sem,primary_total_co2,-0.63,300.7854685737525
station,sem,primary_total_co2,-0.62,301.1561914509703
station,sem,primary_total_co2,-0.61,301.52732184160095
station,sem,primary_total_co2,-0.6,301.89886647247874
station,sem,primary_total_co2,-0.59,302.27083206343383
station,sem,primary_total_co2,-0.58,302.64322532492906
station,sem,primary_total_co2,-0.5700000000000001,303.0160529555456
station,sem,primary_total_co2,-0.56,303.38932163930946
station,sem,primary_total_co2,-0.55,303.7630380428508
station,sem,primary_total_co2,-0.54,304.1372088123896
station,sem,primary_total_co2,-0.53,304.5118405705358
station,sem,primary_total_co2,-0.52,304.886939912899
station,sem,primary_total_co2,-0.51,305.2625134044952
station,sem,primary_total_co2,-0.5,305.6385675759424
station,sem,primary_total_co2,-0.49,306.0151089194337
station,sem,primary_total_co2,-0.48,306.3921438844789
station,sem,primary_total_co2,-0.47,306.7696788734017
station,sem,primary_total_co2,-0.45999999999999996,307.1477202365808
station,sem,primary_total_co2,-0.44999999999999996,307.52627426742436
station,sem,primary_total_co2,-0.43999999999999995,307.90534719706216
station,sem,primary_total_co2,-0.42999999999999994,308.2849451887448
station,sem,primary_total_co2,-0.41999999999999993,308.6650743319337
station,sem,primary_total_co2,-0.41000000000000003,309.04574063606805
station,sem,primary_total_co2,-0.4,309.4269500239929
station,sem,primary_total_co2,-0.39,309.80870832503285
station,sem,primary_total_co2,-0.38,310.1910212676929
station,sem,primary_total_co2,-0.37,310.57389447197096
station,sem,primary_total_co2,-0.36,310.9573334412598
station,sem,primary_total_co2,-0.35,311.3413435538241
station,sem,primary_total_co2,-0.33999999999999997,311.72593005382674
station,sem,primary_total_co2,-0.32999999999999996,312.11109804188715
station,sem,primary_total_co2,-0.31999999999999995,312.49685246514645
station,sem,primary_total_co2,-0.30999999999999994,312.8831981068182
station,sem,primary_total_co2,-0.29999999999999993,313.2701395751992
station,sem,primary_total_co2,-0.2899999999999999,313.65768129211415
station,sem,primary_total_co2,-0.28,314.0458274807678
station,sem,primary_total_co2,-0.27,314.43458215297784
station,sem,primary_total_co2,-0.26,314.82394909575663
station,sem,primary_total_co2,-0.25,315.213931857212
station,sem,primary_total_co2,-0.24,315.6045337317366
station,sem,primary_total_co2,-0.22999999999999998,315.9957577444482
station,sem,primary_total_co2,-0.21999999999999997,316.38760663485004
station,sem,primary_total_co2,-0.20999999999999996,316.78008283967114
station,sem,primary_total_co2,-0.19999999999999996,317.1731884748488
station,sem,primary_total_co2,-0.18999999999999995,317.5669253166131
station,sem,primary_total_co2,-0.17999999999999994,317.96129478163164
station,sem,primary_total_co2,-0.16999999999999993,318.3562979061687
station,sem,primary_total_co2,-0.15999999999999992,318.7519353242143
station,sem,primary_total_co2,-0.15000000000000002,319.1482072445317
station,sem,primary_total_co2,-0.14,319.5451134265786
