weights,protocol,fit,role,iso3,neighbours
station,full_sample,all,training,DZA,TUN|ESP|MAR|ITA|PRT|LBY|FRA|CHE
station,full_sample,all,training,AGO,COG|NAM|COD|ZMB|GAB|GNQ|ZWE|CAF
station,full_sample,all,training,BEN,TGO|GHA|NGA|BFA|NER|CIV|GNQ|MLI
station,full_sample,all,training,BWA,ZAF|LSO|SWZ|ZWE|NAM|MOZ|ZMB|MWI
station,full_sample,all,training,BFA,MLI|TGO|CIV|GHA|BEN|GIN|LBR|NER
station,full_sample,all,training,BDI,RWA|TZA|COD|UGA|KEN|ZMB|MWI|CAF
station,full_sample,all,training,CMR,GNQ|NGA|TCD|GAB|CAF|NER|BEN|TGO
station,full_sample,all,training,CAF,TCD|CMR|COG|GNQ|COD|GAB|NGA|RWA
station,full_sample,all,training,TCD,CAF|CMR|GNQ|NGA|NER|GAB|COG|COD
station,full_sample,all,training,COG,GAB|COD|AGO|CAF|GNQ|CMR|TCD|BDI
station,full_sample,all,training,COD,BDI|RWA|COG|CAF|ZMB|UGA|AGO|TZA
station,full_sample,all,training,CIV,GHA|LBR|BFA|GIN|MLI|TGO|SLE|BEN
station,full_sample,all,training,DJI,YEM|ETH|ERI|SOM|SDN|SAU|OMN|UGA
station,full_sample,all,training,EGY,ISR|JOR|CYP|LBN|SYR|TUR|GRC|SAU
station,full_sample,all,training,GNQ,GAB|CMR|NGA|CAF|BEN|COG|TCD|TGO
station,full_sample,all,training,ERI,DJI|YEM|ETH|SDN|SAU|SOM|OMN|UGA
station,full_sample,all,training,ETH,DJI|ERI|SDN|YEM|SOM|UGA|KEN|SAU
station,full_sample,all,training,GAB,GNQ|CMR|COG|NGA|CAF|BEN|TGO|GHA
station,full_sample,all,training,GHA,TGO|BEN|CIV|BFA|NGA|MLI|LBR|NER
station,full_sample,all,training,GIN,SLE|LBR|GNB|MLI|CIV|SEN|BFA|MRT
station,full_sample,all,training,GNB,SEN|SLE|GIN|LBR|MRT|MLI|CIV|BFA
station,full_sample,all,training,KEN,UGA|TZA|RWA|BDI|SOM|ETH|MWI|COD
station,full_sample,all,training,LSO,ZAF|BWA|SWZ|ZWE|NAM|MOZ|ZMB|MWI
station,full_sample,all,training,LBR,GIN|SLE|CIV|GNB|MLI|BFA|SEN|GHA
station,full_sample,all,training,LBY,TUN|GRC|ALB|MNE|DZA|ITA|MKD|BIH
station,full_sample,all,training,MDG,MOZ|MWI|SWZ|ZWE|TZA|ZMB|BWA|ZAF
station,full_sample,all,training,MWI,MOZ|ZWE|ZMB|TZA|BDI|SWZ|MDG|BWA
station,full_sample,all,training,MLI,BFA|GIN|CIV|LBR|SLE|TGO|GHA|GNB
station,full_sample,all,training,MRT,SEN|GNB|SLE|GIN|MLI|LBR|BFA|CIV
station,full_sample,all,training,MAR,ESP|PRT|DZA|TUN|FRA|CHE|MRT|ITA
station,full_sample,all,training,MOZ,MWI|ZWE|SWZ|ZMB|BWA|MDG|ZAF|LSO
station,full_sample,all,training,NAM,BWA|ZAF|AGO|LSO|ZWE|ZMB|SWZ|MOZ
station,full_sample,all,training,NER,NGA|BEN|TGO|CMR|BFA|GHA|GNQ|TCD
station,full_sample,all,training,NGA,BEN|CMR|GNQ|NER|TGO|GHA|GAB|BFA
station,full_sample,all,training,RWA,BDI|UGA|TZA|COD|KEN|ZMB|CAF|MWI
station,full_sample,all,training,SEN,GNB|MRT|SLE|GIN|LBR|MLI|CIV|BFA
station,full_sample,all,training,SLE,GIN|LBR|GNB|CIV|MLI|SEN|BFA|MRT
station,full_sample,all,training,SOM,ETH|DJI|YEM|KEN|UGA|ERI|TZA|SDN
station,full_sample,all,training,ZAF,LSO|BWA|SWZ|ZWE|NAM|MOZ|ZMB|MWI
station,full_sample,all,training,SDN,ETH|ERI|DJI|UGA|YEM|KEN|SOM|SAU
station,full_sample,all,training,SWZ,ZAF|LSO|BWA|MOZ|ZWE|MWI|ZMB|NAM
station,full_sample,all,training,TZA,KEN|BDI|RWA|UGA|MWI|ZMB|COD|SOM
station,full_sample,all,training,TGO,BEN|GHA|BFA|NGA|CIV|NER|MLI|GNQ
station,full_sample,all,training,TUN,DZA|LBY|ITA|ALB|MNE|BIH|HRV|SVN
station,full_sample,all,training,UGA,KEN|RWA|BDI|TZA|ETH|SDN|SOM|COD
station,full_sample,all,training,ZMB,ZWE|MWI|MOZ|BDI|TZA|COD|BWA|RWA
station,full_sample,all,training,ZWE,MOZ|ZMB|MWI|BWA|SWZ|ZAF|LSO|NAM
station,full_sample,all,training,AFG,PAK|TJK|UZB|TKM|IRN|ARE|KAZ|IND
station,full_sample,all,training,ARM,GEO|AZE|IRQ|IRN|TUR|SYR|LBN|JOR
station,full_sample,all,training,AZE,ARM|GEO|IRQ|IRN|TKM|SYR|TUR|LBN
station,full_sample,all,training,BGD,NPL|MMR|IND|LAO|THA|PAK|LKA|VNM
station,full_sample,all,training,MMR,THA|LAO|BGD|KHM|VNM|NPL|IND|MYS
station,full_sample,all,training,KHM,VNM|THA|LAO|MYS|MMR|PHL|IDN|BGD
station,full_sample,all,training,CHN,KOR|TWN|MNG|LAO|JPN|VNM|PHL|MMR
station,full_sample,all,training,GEO,ARM|AZE|IRQ|IRN|TUR|SYR|LBN|JOR
station,full_sample,all,training,IND,NPL|BGD|PAK|LKA|AFG|MMR|TJK|UZB
station,full_sample,all,training,IDN,MYS|KHM|VNM|THA|PHL|LAO|MMR|LKA
station,full_sample,all,training,IRN,IRQ|AZE|ARM|GEO|TKM|QAT|ARE|SYR
station,full_sample,all,training,IRQ,ARM|GEO|IRN|SYR|AZE|LBN|JOR|ISR
station,full_sample,all,training,ISR,JOR|LBN|SYR|CYP|EGY|TUR|IRQ|GRC
station,full_sample,all,training,JPN,KOR|TWN|CHN|MNG|PHL|VNM|LAO|KHM
station,full_sample,all,training,JOR,ISR|LBN|SYR|CYP|EGY|TUR|IRQ|GRC
station,full_sample,all,training,KAZ,UZB|TJK|RUS|TKM|AFG|AZE|PAK|ARM
station,full_sample,all,training,LAO,THA|VNM|MMR|KHM|BGD|MYS|TWN|NPL
station,full_sample,all,training,LBN,JOR|SYR|CYP|ISR|TUR|EGY|IRQ|GRC
station,full_sample,all,training,MYS,KHM|IDN|VNM|THA|LAO|MMR|PHL|LKA
station,full_sample,all,training,MNG,CHN|KOR|JPN|TWN|KAZ|NPL|BGD|TJK
station,full_sample,all,training,NPL,BGD|IND|PAK|MMR|AFG|TJK|LAO|UZB
station,full_sample,all,training,OMN,ARE|QAT|YEM|DJI|SAU|ERI|SOM|ETH
station,full_sample,all,training,PAK,AFG|TJK|UZB|IND|NPL|TKM|ARE|BGD
station,full_sample,all,training,PHL,TWN|VNM|KHM|MYS|LAO|THA|IDN|CHN
station,full_sample,all,training,QAT,ARE|OMN|SAU|IRN|IRQ|YEM|ERI|DJI
