stage,status,comparator,primary_cv_r2,primary_cv_rmse,primary_cv_mae,m49_cv_rmse,random_cv_rmse,oof_morans_i,paired_delta_rmse,paired_interval,source,worst_region.region,worst_region.rmse,worst_region.n,worst_region.min_region_n,allocation.V1_rank_deficient_shares.emissions,allocation.V1_rank_deficient_shares.geography,allocation.V1_rank_deficient_shares.socioeconomic,allocation.V1_rank_deficient_shares.population,allocation.V1_rank_deficient_shares.residual,allocation.note,allocation.emissions,allocation.geography,allocation.socioeconomic,allocation.population,allocation.residual,allocation.accounting.a_static,allocation.accounting.a_dependence,allocation.accounting.a_innovation,allocation.accounting.absorbed_fraction_of_static_residual,allocation.accounting.identity_sum,allocation.accounting.tss,allocation.accounting.rss_static,allocation.accounting.rss_innovation,allocation.accounting.one_step_r2,allocation.accounting.trend_r2,allocation.filtered_trend_shares.emissions,allocation.filtered_trend_shares.geography,allocation.filtered_trend_shares.socioeconomic,allocation.filtered_trend_shares.population
"M0 (V1 frozen, corrected 500 km primary)",frozen baseline,,0.15307991296259282,0.04287258067948678,0.03446458749763149,0.038894136909324785,0.03522267820528325,0.32154716769274994,,,research/model_v2/outputs/m0_scorecard_territory_corrected.json,Central Asia,0.06936437825894035,4,3,0.021392838794997156,0.5130328657008392,0.06932302425611886,0.032697274002773044,0.36355399724527193,V1 allocation; not restated under V2,,,,,,,,,,,,,,,,,,,
M0* primary total CO2,approved full-rank development baseline,,0.15307991296259638,0.04287258067948669,0.0344645874976315,0.03889413690932386,0.035222678205283596,0.3215471676927579,,,research/model_v2/outputs/rank_audit.json,Central Asia,0.06936437825894065,4,3,,,,,,,0.013133720535194949,0.5188374533606565,0.06282146968655963,0.0416533591723172,0.36355399724527193,,,,,,,,,,,,,,
M0* per-capita,registered representation sensitivity,,0.15307991296261803,0.04287258067948614,0.03446458749763083,0.03889413690932395,0.03522267820528358,0.32154716769274727,,,research/model_v2/outputs/rank_audit.json,Central Asia,0.06936437825893833,4,3,,,,,,,0.02043535889149556,0.513519756654464,0.06928246597399391,0.03320842123477474,0.36355399724527193,,,,,,,,,,,,,,
M1a (area geography),not promoted; measurement sensitivity,M0* (C0),0.057988282529487734,0.045215419241578535,0.03592921366239346,0.04058265245449717,0.037089602551800605,0.3408043791612641,0.002342838562091845,"[-0.0003498522577407903, 0.005264254669835553]",research/model_v2/outputs/m1a_scorecard.json,Central Asia,0.09800941418340528,4,3,,,,,,,0.013850889827095165,0.4876673892471702,0.0626478905665906,0.04800484773937671,0.3878289826197675,,,,,,,,,,,,,,
M1b (M0* + C2 dryness),not supported,M0*,0.08363912905523074,0.044595565735706416,0.035611633669855994,0.03969289536306859,0.035607986607940685,0.32691436476555663,0.0017229850562197266,"[0.0008914057822278219, 0.0028494442025791093]",research/model_v2/outputs/m1b_primary/m1b_scorecard.json,Central Asia,0.07349481277418388,4,3,,,,,,,0.01106872184540802,0.4839997395042257,0.05933837620969215,0.03622325530829013,0.3635434331046714,,,,,,,,,,,,,,
M2 (M0* + latitude functional form),not supported,M0*,0.26569748778675684,0.03992049489191612,0.03169159030546062,0.03969434958423099,0.03283657845902574,0.3445958086960499,-0.002952085787570634,"[-0.005920975094086702, 7.786832329886491e-05]",research/model_v2/outputs/m2_primary/m2_scorecard.json,Central Asia,0.06497530447277391,4,3,,,,,,,0.011027340225550944,0.5820866218767559,0.062064861622479116,0.04226008994087778,0.302561086334336,,,,,,,,,,,,,,
M3-SEM(M0*),qualifying,M0*,0.2713088154606703,0.03976767192988951,0.03192215904042875,0.036970439784337034,0.02922649137634987,0.259069296279818,-0.003104908749597242,"[-0.005917629985104372, -0.00022404795910143603]",research/model_v2/outputs/m3_station/m3_scorecard.json,Central America,0.061409863781770074,7,3,,,,,,,,,,,,0.6364460027547281,0.14306051467296438,0.22049348257230755,0.39350554733812626,1.0,0.32771307298055113,0.11914139763161088,0.0722585967459545,0.7795065174276925,0.5066382634132339,0.011920809371955433,0.27950067307890636,0.01103093222929018,0.031603720441833745
M3-SAR(M0*),qualifying,M0*,0.3308508887512802,0.03810832516938237,0.030326086330187938,0.035891946603468804,0.02846574557749518,0.25620504860333415,-0.004764255510104384,"[-0.007901326899661672, -0.0015370715227798295]",research/model_v2/outputs/m3_station/m3_scorecard.json,Central America,0.06463909783833217,7,3,,,,,,,,,,,,0.6364460027547281,0.1464139883158884,0.21714000892938354,0.40272968919417523,1.0,0.32771307298055113,0.11914139763161088,0.07115961959327259,0.7828599910706164,0.6752653394523398,0.015238011486041748,0.31313643903511446,0.02913460606182567,0.04416565714589483
M3-SEM(M0*) [land-centroid kNN8 sensitivity],weight sensitivity (descriptive),M0*,0.3330338702230363,0.03804611352980582,0.03013557639576421,0.04683813676051257,0.02694491348169417,0.27267329035841453,-0.004826467149680935,"[-0.008094813925985316, -0.0010163539919200424]",research/model_v2/outputs/m3_land_centroid/m3_scorecard.json,Central America,0.060860459914991644,7,3,,,,,,,,,,,,0.6364460027547281,0.19222926537507923,0.1713247318701927,0.5287502457176716,1.0,0.32771307298055113,0.11914139763161088,0.056145354358749816,0.8286752681298073,-4.590808726686876,0.01652431722878875,0.3112613919454645,0.008015956478697914,0.029539446128159386
M3-SAR(M0*) [land-centroid kNN8 sensitivity],weight sensitivity (descriptive),M0*,0.3408765490627035,0.03782176495755694,0.030248116164639183,0.03514345275639136,0.026988326886232126,0.26156836419988555,-0.005050815721929815,"[-0.007591243703245273, -0.002076197169077716]",research/model_v2/outputs/m3_land_centroid/m3_scorecard.json,Central America,0.060588995598616,7,3,,,,,,,,,,,,0.6364460027547281,0.17399300408570645,0.18956099315956548,0.4785891653071881,1.0,0.32771307298055113,0.11914139763161088,0.062121615585566434,0.8104390068404346,0.6783387451648061,0.018543090421954005,0.29483701493659026,0.023664942294494607,0.04717454065403608
