Country,iso3,berkeley,era5,b_residual,e_residual,m49_subregion,m49_region,b_minus_e,b_sign,e_sign,sign_agreement,squared_gap_share,station_knn8_b_minus_e_local_i,station_knn8_b_minus_e_p_value,station_knn8_b_minus_e_q_value,station_knn8_b_minus_e_quadrant,station_knn8_b_minus_e_label,station_knn8_b_minus_e_fdr_label,station_knn8_b_residual_local_i,station_knn8_b_residual_p_value,station_knn8_b_residual_q_value,station_knn8_b_residual_quadrant,station_knn8_b_residual_label,station_knn8_b_residual_fdr_label,station_knn8_e_residual_local_i,station_knn8_e_residual_p_value,station_knn8_e_residual_q_value,station_knn8_e_residual_quadrant,station_knn8_e_residual_label,station_knn8_e_residual_fdr_label,area_knn8_b_minus_e_local_i,area_knn8_b_minus_e_p_value,area_knn8_b_minus_e_q_value,area_knn8_b_minus_e_quadrant,area_knn8_b_minus_e_label,area_knn8_b_minus_e_fdr_label,area_knn8_b_residual_local_i,area_knn8_b_residual_p_value,area_knn8_b_residual_q_value,area_knn8_b_residual_quadrant,area_knn8_b_residual_label,area_knn8_b_residual_fdr_label,area_knn8_e_residual_local_i,area_knn8_e_residual_p_value,area_knn8_e_residual_q_value,area_knn8_e_residual_quadrant,area_knn8_e_residual_label,area_knn8_e_residual_fdr_label
Algeria,DZA,0.24027005915767902,0.333675469057358,0.030671151846222572,0.07901403740901347,Northern Africa,Africa,-0.09340540989967899,1,1,True,0.015516726725152584,0.45696393376808037,0.3139,0.7181651515151516,LL,ns,ns,0.27736210709659753,0.4743,0.6953330097087378,HH,ns,ns,0.6701346995117897,0.2167,0.7359113207547169,HH,ns,ns,0.9416682967045572,0.0381,0.5009260869565219,LL,LL,ns,0.5588526942717583,0.1468,0.42166037735849055,HH,ns,ns,1.349725487621148,0.0127,0.2850125,HH,HH,ns
Angola,AGO,0.2003000150757142,0.1704696560830365,0.0476945686353156,0.005052706036425214,Middle Africa,Africa,0.02983035899267772,1,1,True,0.0015826067368080571,0.20521362498124388,0.4384,0.764161797752809,HH,ns,ns,-1.0432887412766119,0.0736,0.31500277777777774,HL,ns,ns,-0.026357016767371212,0.4511,0.8614456790123457,HL,ns,ns,0.185216763919336,0.4833,0.8485848837209303,HH,ns,ns,-0.8546960126507414,0.1468,0.42166037735849055,HL,ns,ns,-0.014817141643080425,0.6735,0.9967,HL,ns,ns
Benin,BEN,0.20270211677173233,0.2582009830664766,0.010790496931509796,0.04479573776280202,Western Africa,Africa,-0.055498866294744265,1,1,True,0.0054780283259279845,0.27303832071539824,0.2305,0.6511874999999999,LL,ns,ns,0.039319485519983544,0.7772,0.882384962406015,HH,ns,ns,0.3629913792298159,0.2355,0.7359113207547169,HH,ns,ns,0.27303832071539824,0.2305,0.6630272727272727,LL,ns,ns,0.039319485519983544,0.7772,0.9097457364341086,HH,ns,ns,0.3629913792298159,0.2355,0.8287441860465116,HH,ns,ns
Botswana,BWA,0.15541865895509172,0.1534354921941105,-0.056179577372255846,-0.05734712813496065,Southern Africa,Africa,0.001983166760981203,-1,-1,True,6.994787413326006e-06,0.2253971011298806,0.0329,0.39881764705882355,HH,HH,ns,1.0465536874306942,0.1238,0.42509782608695657,LL,ns,ns,0.8807749895614316,0.0231,0.30577499999999996,LL,LL,ns,0.20944501835362928,0.0476,0.5009260869565219,HH,HH,ns,0.6228375686523216,0.3618,0.6387299999999999,LL,ns,ns,0.7569980317329117,0.0545,0.411475,LL,ns,ns
Burkina Faso,BFA,0.2158731392585228,0.2720756471793005,-0.004032485709982464,0.04062163170389482,Western Africa,Africa,-0.05620250792077769,-1,1,False,0.005617815102366312,0.07146965053631817,0.7617,0.8752323308270676,LL,ns,ns,-0.06561005533250934,0.2006,0.5012704918032787,LH,ns,ns,0.20739610618560336,0.4514,0.8614456790123457,HH,ns,ns,-0.074624513660803,0.7522,0.922063829787234,LH,ns,ns,-0.06872866785549617,0.1766,0.46159137931034483,LH,ns,ns,0.03262064862967361,0.9058,0.9967,HH,ns,ns
Burundi,BDI,0.20888549627683978,0.205794030734597,0.019362205718186393,0.020389672885963217,Eastern Africa,Africa,0.003091465542242766,1,1,True,1.6997492986388135e-05,0.10736662997828064,0.3464,0.7579774647887324,HH,ns,ns,0.10974194093002326,0.6577,0.8080341463414634,HH,ns,ns,0.0028158508620749196,0.9841,0.9938000000000001,HH,ns,ns,0.10736662997828064,0.3464,0.7272486486486487,HH,ns,ns,0.10974194093002326,0.6577,0.8213900826446281,HH,ns,ns,0.0028158508620749196,0.9841,0.9967,HH,ns,ns
Cameroon,CMR,0.16636200134979467,0.149605522049956,-0.0317048923543064,-0.07552041560898304,Middle Africa,Africa,0.016756479299838672,-1,-1,True,0.0004993690235093439,-0.14954205748316823,0.4304,0.764161797752809,HL,ns,ns,0.521017261080129,0.1753,0.48676909090909093,LL,ns,ns,-0.14496459152547944,0.7762,0.9938000000000001,LH,ns,ns,-0.029938485614713076,0.8786,0.92959375,HL,ns,ns,0.5566738244551118,0.148,0.42166037735849055,LL,ns,ns,-0.037347688502118274,0.9429,0.9967,LH,ns,ns
Central African Republic,CAF,0.18403786064638777,0.1230525615295119,-0.038286475943231785,-0.09577072666799895,Middle Africa,Africa,0.06098529911687588,-1,-1,True,0.006614642345601445,0.11958126241378118,0.7949,0.8891103703703704,HH,ns,ns,0.577346395622627,0.2188,0.5120477611940298,LL,ns,ns,0.039174117449632506,0.9531,0.9938000000000001,LL,ns,ns,0.11958126241378118,0.7949,0.922063829787234,HH,ns,ns,0.577346395622627,0.2188,0.5244253968253969,LL,ns,ns,0.039174117449632506,0.9531,0.9967,LL,ns,ns
Chad,TCD,0.2035091414222523,0.2661726338219336,-0.02663633044034444,0.0327501472949315,Middle Africa,Africa,-0.06266349239968133,-1,1,False,0.0069836946359063045,-0.09355524738084667,0.7361,0.8616364341085271,LH,ns,ns,0.4863230736522116,0.1358,0.4362936170212766,LL,ns,ns,-0.15004260808603706,0.5126,0.9214595238095237,HL,ns,ns,0.3729570224383871,0.17,0.64175,LL,ns,ns,1.0067929172582994,0.0019,0.050333333333333334,LL,LL,ns,-0.21401888602223648,0.3511,0.9243716666666667,HL,ns,ns
Congo,COG,0.1704220858831212,0.1647162873228972,-0.004141486026586455,0.024783547425125202,Middle Africa,Africa,0.00570579856022399,-1,1,False,5.7901380773646825e-05,0.08644080538343797,0.4898,0.7785242105263158,HH,ns,ns,0.05346067000013119,0.3001,0.6091560975609757,LL,ns,ns,-0.0971566722248221,0.5665,0.9706468749999999,HL,ns,ns,0.14948509574369523,0.2325,0.6630272727272727,HH,ns,ns,0.03608552313000387,0.4792,0.7094039215686274,LL,ns,ns,-0.1900691417182061,0.2711,0.8528354166666667,HL,ns,ns
