iso3,trend_c_per_decade_era5_area,era5_cell_coverage
AFG,0.2611979594079489,1.0
AGO,0.17046965608303655,1.0
AIA,0.07343991060018265,1.0
ALA,0.2154053045594405,1.0
ALB,0.09359475921661574,1.0
ARE,0.22584583832034189,1.0
ARG,0.10452337890099639,1.0
ARM,0.17108959724867492,1.0
ATF,0.18875976344387432,1.0
ATG,0.07886965955518073,1.0
AUS,0.045689719941392905,1.0
AUT,0.25446631270650494,1.0
AZE,0.18206876031913743,1.0
BDI,0.20579403073459707,1.0
BEL,0.19549916512748336,1.0
BEN,0.2582009830664766,1.0
BFA,0.27207564717930055,1.0
BGD,0.10698913397519738,1.0
BGR,0.13518520449571717,1.0
BHS,0.06176346094678893,1.0
BIH,0.22632138761083573,1.0
BLR,0.24903092283013034,1.0
BLZ,0.16971603024590493,1.0
BMU,0.05158089302681574,1.0
BOL,0.24665554517353405,1.0
BRA,0.13815876735787408,1.0
BRN,0.2328105394592612,1.0
BTN,0.20541254237645576,1.0
BWA,0.1534354921941105,1.0
CAF,0.12305256152951191,1.0
CAN,0.27785134635268827,1.0
CHE,0.25062570963722525,1.0
CHL,0.1292949072259109,1.0
CHN,0.18713899982095522,1.0
CIV,0.20586931432798627,1.0
CMR,0.14960552204995603,1.0
COD,0.1962951097284228,1.0
COG,0.16471628732289723,1.0
COK,0.07410722038496391,1.0
COL,0.1303189630535117,1.0
COM,0.08453413114080466,1.0
CPV,0.09917554591167146,1.0
CRI,0.09601610627854174,1.0
CUB,0.07469206897731401,1.0
CUW,0.0897893876724966,1.0
CYP,0.13991910200208985,1.0
CZE,0.18629235494070398,1.0
DEU,0.17344328020469854,1.0
DJI,0.25546723556744194,1.0
DNK,0.225767666645236,1.0
DOM,0.10777432809403795,1.0
DZA,0.333675469057358,1.0
ECU,0.13385748692327612,1.0
EGY,0.25998905468542044,1.0
ERI,0.2605094991600996,1.0
ESH,0.18585609520077928,1.0
ESP,0.2507930674554182,1.0
EST,0.2857741516954837,1.0
ETH,0.2851909282257945,1.0
FIN,0.20665353143282034,1.0
FJI,0.05699456685011406,1.0
FLK,0.1136891929407437,1.0
FRA,0.1857474114221658,1.0
FRO,0.03707037028476321,1.0
FSM,0.07466816339057604,1.0
GAB,0.18982570292212714,1.0
GBR,0.1822212483752856,1.0
GEO,0.14416186130998793,1.0
GHA,0.22094906271632847,1.0
GIN,0.20297660532306844,1.0
GLP,0.07916473349601791,1.0
GMB,0.11709210343213683,1.0
GNB,0.21220862090211629,1.0
GNQ,0.20736091968349218,1.0
GRC,0.08567577343460756,1.0
GRD,0.08382327543070577,1.0
GRL,0.2405208334286869,1.0
GTM,0.22661029602857052,1.0
GUF,0.22903806519996175,1.0
GUY,0.1459940738580752,1.0
HKG,0.07702824561938723,1.0
HND,0.1535683361301789,1.0
HRV,0.1701683926616854,1.0
HTI,0.09277769414279408,1.0
HUN,0.10212766379549273,1.0
IDN,0.1660035368654567,1.0
IMN,0.10783057648875441,1.0
IND,0.13177499476163962,1.0
IRL,0.06670920596345872,1.0
IRN,0.3048813957824146,1.0
IRQ,0.3359945380451038,1.0
ISL,0.38676677518856,1.0
ISR,0.1806356469314177,1.0
ITA,0.16521758907014777,1.0
JAM,0.11519707246466093,1.0
JOR,0.22398205243665892,1.0
JPN,0.15554202690028712,1.0
KAZ,0.27950927047682567,1.0
KEN,0.2607461765932409,1.0
KGZ,0.1348944310141451,1.0
KHM,0.1978620037857725,1.0
KIR,0.07368349982645622,1.0
KOR,0.1190872471197929,1.0
KWT,0.33163111771134934,1.0
LAO,0.16102003636608053,1.0
LBN,0.18744050733896758,1.0
LBR,0.1372370978996987,1.0
LBY,0.2877246864240973,1.0
LCA,0.13585509681343771,1.0
LKA,0.14646630073679012,1.0
LSO,0.14721595006946153,1.0
LTU,0.21731771007225464,1.0
LVA,0.2473419685858676,1.0
MAR,0.2929886475334236,1.0
MDA,0.23149752420490505,1.0
MDG,0.1927833990615929,1.0
MDV,0.11186399640809494,1.0
MEX,0.17605987288966524,1.0
MHL,0.06465150242433829,1.0
MKD,0.17331123152654485,1.0
MLI,0.31852582884540503,1.0
MLT,0.1103924505744319,1.0
MMR,0.18893763035116984,1.0
MNE,0.13655010285447372,1.0
MNG,0.17517352641128411,1.0
MNP,0.07378383632031989,1.0
MOZ,0.11083541610024684,1.0
MRT,0.29234194034683536,1.0
MWI,0.13413357177846116,1.0
MYS,0.1820098839420608,1.0
MYT,0.07844775503132231,1.0
NAM,0.18603377893093315,1.0
NCL,0.13384377307826384,1.0
NER,0.33406786804827215,1.0
NGA,0.19767774152091114,1.0
NIC,0.10976479910014465,1.0
NIU,0.08471968906377643,1.0
NLD,0.17934572439597937,1.0
NOR,0.3383806520496527,1.0
NPL,0.19706477074081485,1.0
NZL,0.11310697093072594,1.0
OMN,0.20675925540366905,1.0
PAK,0.15386649466915164,1.0
PAN,0.0983341555547145,1.0
PCN,0.0467567905159882,1.0
PER,0.18077569052147974,1.0
PHL,0.1264357478319583,1.0
PLW,0.0828304010867073,1.0
PNG,0.1436268646690579,1.0
POL,0.19544211738634265,1.0
PRI,0.0948849621755776,1.0
PRK,0.21379702514601612,1.0
PRT,0.1178404161961576,1.0
PRY,0.17531224884029134,1.0
PSE,0.18296068330882376,1.0
PYF,0.08779376408518771,1.0
QAT,0.1775883774276259,1.0
ROU,0.16714324597603156,1.0
RUS,0.2526071345859108,1.0
RWA,0.1928771974182167,1.0
SAU,0.3900054156362518,1.0
SDN,0.29622502333167994,1.0
SEN,0.2792214257610943,1.0
SGS,0.13720550410713594,1.0
SHN,0.08280894250431522,1.0
SJM,0.548578036123013,1.0
SLB,0.07137717488850542,1.0
SLE,0.1282817622163181,1.0
SLV,0.13402470664525823,1.0
SOM,0.15716137258948798,1.0
SPR,0.09023905598150656,1.0
SRB,0.1598332990334004,1.0
SSD,0.33878117736597546,1.0
SUR,0.14903206703470118,1.0
SVK,0.20627644980478782,1.0
SVN,0.2596562938546911,1.0
SWE,0.21019958801486527,1.0
SWZ,0.09972630428393736,1.0
SYC,0.09413993040416413,1.0
SYR,0.16187293479328052,1.0
TCA,0.06855856386342496,1.0
TCD,0.2661726338219336,1.0
TGO,0.2333839668205056,1.0
THA,0.20352705648693065,1.0
TJK,0.18335215034143737,1.0
TKM,0.2654462752071881,1.0
TLS,0.09877310009995055,1.0
TON,0.06280436939213312,1.0
TTO,0.10945367288721565,1.0
TUN,0.3633603979742043,1.0
TUR,0.14385272744970407,1.0
TWN,0.13369835125928475,1.0
TZA,0.20056137098603632,1.0
UGA,0.29095649091069675,1.0
UKR,0.21802292612609087,1.0
URY,0.073071038816268,1.0
USA,0.1780033244949183,1.0
UZB,0.24707320143951483,1.0
VEN,0.1587046890680464,1.0
VIR,0.07105756966247981,1.0
VNM,0.1342589557162296,1.0
VUT,0.0494567771198721,1.0
WSM,0.06790148179680852,1.0
YEM,0.34407248326054896,1.0
ZAF,0.12635310153464008,1.0
ZMB,0.1618872634036279,1.0
ZWE,0.16530272458657264,1.0
