m49_subregion,n,b_mean,e_mean,difference_mean,difference_median,difference_sd,squared_gap_share,sign_agreement,classification
Australia and New Zealand,2,-0.015251982133613479,-0.02775834907075104,0.052247611479636226,0.052247611479636226,0.09204217032028092,0.02477709606698791,0.0,unresolved
Caribbean,5,0.018056396097683353,-0.017959433752820657,0.047265751694295824,0.048364107785763666,0.02293938275343698,0.02360991510069997,0.6,product-sensitive
Central America,7,-0.02399415158312778,0.0032039005948510885,-0.06249057893596793,-0.06454379810460835,0.07330403257053449,0.105957149381237,0.42857142857142855,product-sensitive
Central Asia,4,0.02764802876245262,0.0028001934859685287,0.01799795390707696,0.020079903160974008,0.029643536700025317,0.006992960496515397,0.5,product-sensitive
Eastern Africa,14,0.004445229874970377,-0.0007221073681649723,-0.010353801874584855,-0.004168727059033414,0.04705932547804794,0.05387167305618144,0.6428571428571429,unresolved
Eastern Asia,5,-0.001069412142399001,-0.04092790397241412,0.021539753653078808,0.0033657699626738202,0.04589719149368642,0.019111881307521335,0.6,product-sensitive
Eastern Europe,10,-0.019800890048051367,-0.014390180247952963,-0.007244462533470261,-0.007950050280702767,0.04426447705403056,0.03229579735962161,0.8,product-sensitive
Melanesia,1,0.030503964267224917,0.05551669814150795,-0.005009328938290786,-0.005009328938290786,,4.462879404770831e-05,1.0,unresolved
Middle Africa,8,-0.013123029636096486,-0.009457094603972123,-0.0018978697037435582,0.004004318910633534,0.04024048463018198,0.02021078251595124,0.375,unresolved
Northern Africa,6,-0.013590091021126766,0.03670341360861593,-0.09401669098952099,-0.09526530354434994,0.024474936980851788,0.09964975188808675,0.6666666666666666,product-sensitive
Northern America,2,0.03883854029673579,0.033684932300082265,-0.01708077253543215,-0.01708077253543215,0.012130512664398074,0.00129947629741272,0.5,unresolved
Northern Europe,10,0.009285828145567169,0.02599809368472228,-0.033309688765906724,-0.009926401935344067,0.09897043941751095,0.17652000737312518,0.8,product-sensitive
South America,11,-7.48138924548543e-16,-2.4223047810003414e-16,-0.020961075620810753,-0.00856361035753736,0.05390613266011612,0.06027677113254079,0.45454545454545453,unresolved
South-eastern Asia,8,-0.00974612833446456,0.01556681913196021,-0.04053504799491923,-0.03978862379865021,0.03969083914801183,0.04299058012903487,0.5,unresolved
Southern Africa,5,-0.02649398320498575,-0.049734877665620826,0.020284864368111943,0.014074349742658115,0.027004381101599435,0.008846881448464749,1.0,product-robust
Southern Asia,7,-0.002395365433506808,-0.021990906338968042,-0.018480632396512004,-0.011964871378159075,0.03350036783841271,0.016227798942953224,0.5714285714285714,unresolved
Southern Europe,11,0.00540738849033466,-0.01982578409248956,0.009905172883936499,0.017949586114058308,0.044927516204722094,0.03781831006737445,0.6363636363636364,unresolved
Western Africa,14,0.018340105785064256,0.008158583333035587,-0.013051328022710359,-0.02712241672380046,0.054698609126742986,0.07341669251889216,0.5,product-sensitive
Western Asia,15,-0.0018610857190399898,0.014269595928568274,-0.04142436545502902,-0.003293222126107692,0.07542136128084517,0.18741396247944136,0.5333333333333333,unresolved
Western Europe,6,0.010512860298200982,0.018466848159429176,-0.009188939938363805,0.0027974284470250466,0.029553546085853956,0.008667883643910267,0.6666666666666666,unresolved
