Country,iso3,berkeley,era5,b_residual,e_residual,m49_subregion,m49_region,b_minus_e,b_sign,e_sign,sign_agreement,squared_gap_share,station_knn8_b_minus_e_local_i,station_knn8_b_minus_e_p_value,station_knn8_b_minus_e_q_value,station_knn8_b_minus_e_quadrant,station_knn8_b_minus_e_label,station_knn8_b_minus_e_fdr_label,station_knn8_b_residual_local_i,station_knn8_b_residual_p_value,station_knn8_b_residual_q_value,station_knn8_b_residual_quadrant,station_knn8_b_residual_label,station_knn8_b_residual_fdr_label,station_knn8_e_residual_local_i,station_knn8_e_residual_p_value,station_knn8_e_residual_q_value,station_knn8_e_residual_quadrant,station_knn8_e_residual_label,station_knn8_e_residual_fdr_label,area_knn8_b_minus_e_local_i,area_knn8_b_minus_e_p_value,area_knn8_b_minus_e_q_value,area_knn8_b_minus_e_quadrant,area_knn8_b_minus_e_label,area_knn8_b_minus_e_fdr_label,area_knn8_b_residual_local_i,area_knn8_b_residual_p_value,area_knn8_b_residual_q_value,area_knn8_b_residual_quadrant,area_knn8_b_residual_label,area_knn8_b_residual_fdr_label,area_knn8_e_residual_local_i,area_knn8_e_residual_p_value,area_knn8_e_residual_q_value,area_knn8_e_residual_quadrant,area_knn8_e_residual_label,area_knn8_e_residual_fdr_label
Algeria,DZA,0.24027005915767902,0.35544803445578277,0.030671151846222572,0.08860500899946994,Northern Africa,Africa,-0.11517797529810375,1,1,True,0.01825137027515445,0.5911357489013361,0.2085,0.5724272727272727,LL,ns,ns,0.27736210709659753,0.4743,0.6953330097087378,HH,ns,ns,0.6839270939663031,0.2316,0.7440765957446809,HH,ns,ns,1.0241667794660683,0.0303,0.24159999999999998,LL,LL,ns,0.5588526942717583,0.1468,0.42166037735849055,HH,ns,ns,1.4513451246343492,0.0111,0.2912142857142857,HH,HH,ns
Angola,AGO,0.2003000150757142,0.15835595017360451,0.0476945686353156,-0.0038459832122505755,Middle Africa,Africa,0.041944064902109696,1,-1,False,0.0024204584378389724,0.62698921657338,0.116,0.427219512195122,HH,ns,ns,-1.0432887412766119,0.0736,0.31500277777777774,HL,ns,ns,0.02222974805713605,0.3729,0.8097914285714286,LL,ns,ns,0.525948607453062,0.1849,0.5492625,HH,ns,ns,-0.8546960126507414,0.1468,0.42166037735849055,HL,ns,ns,0.010026364458853503,0.6848,0.9895999999999999,LL,ns,ns
Benin,BEN,0.20270211677173233,0.24974221572709082,0.010790496931509796,0.0381066220855284,Western Africa,Africa,-0.04704009895535849,1,1,True,0.003044339268360519,0.044348486514656664,0.6412,0.9681940594059406,LL,ns,ns,0.039319485519983544,0.7772,0.882384962406015,HH,ns,ns,0.23394531991774462,0.345,0.8097914285714286,HH,ns,ns,0.044348486514656664,0.6412,0.8997083333333333,LL,ns,ns,0.039319485519983544,0.7772,0.9097457364341086,HH,ns,ns,0.23394531991774462,0.345,0.8748412698412699,HH,ns,ns
Botswana,BWA,0.15541865895509172,0.15255011660293566,-0.056179577372255846,-0.06371926453309326,Southern Africa,Africa,0.002868542352156056,-1,-1,True,1.1320852420733043e-05,0.490196098212704,0.0073,0.12079999999999998,HH,HH,ns,1.0465536874306942,0.1238,0.42509782608695657,LL,ns,ns,0.9445964576720265,0.0195,0.2575388888888889,LL,LL,ns,0.4830515665500035,0.0082,0.14043,HH,HH,ns,0.6228375686523216,0.3618,0.6387299999999999,LL,ns,ns,0.8764514569395934,0.031,0.29134117647058827,LL,LL,ns
Burkina Faso,BFA,0.2158731392585228,0.2703396813441466,-0.004032485709982464,0.03442865634058978,Western Africa,Africa,-0.05446654208562379,-1,1,False,0.004081466201777124,-0.05519466036852932,0.6843,0.9882590476190476,LH,ns,ns,-0.06561005533250934,0.2006,0.5012704918032787,LH,ns,ns,0.11598305877084497,0.5948,0.983250724637681,HH,ns,ns,-0.15332362843670388,0.2639,0.632140909090909,LH,ns,ns,-0.06872866785549617,0.1766,0.46159137931034483,LH,ns,ns,-0.03000938416374297,0.8869,0.9895999999999999,HL,ns,ns
Burundi,BDI,0.20888549627683978,0.21510408357128985,0.019362205718186393,0.03377072821757579,Eastern Africa,Africa,-0.006218587294450073,1,1,True,5.3203483250850495e-05,0.19504450019264796,0.1319,0.45265681818181813,HH,ns,ns,0.10974194093002326,0.6577,0.8080341463414634,HH,ns,ns,0.038784166741044485,0.8571,0.983250724637681,HH,ns,ns,0.19504450019264796,0.1319,0.49792249999999993,HH,ns,ns,0.10974194093002326,0.6577,0.8213900826446281,HH,ns,ns,0.038784166741044485,0.8571,0.9895999999999999,HH,ns,ns
Cameroon,CMR,0.16636200134979467,0.1384743806381002,-0.0317048923543064,-0.0866120774999119,Middle Africa,Africa,0.027887620711694483,-1,-1,True,0.0010699895163856904,0.022665085425437687,0.9426,0.9989,HH,ns,ns,0.521017261080129,0.1753,0.48676909090909093,LL,ns,ns,0.018377909505399536,0.9728,0.9908000000000001,LL,ns,ns,0.2603270758032657,0.4053,0.7520536585365853,HH,ns,ns,0.5566738244551118,0.148,0.42166037735849055,LL,ns,ns,0.1275853655447517,0.8137,0.9895999999999999,LL,ns,ns
Central African Republic,CAF,0.18403786064638777,0.10304187007391218,-0.038286475943231785,-0.11891920401147195,Middle Africa,Africa,0.0809959905724756,-1,-1,True,0.009025757035892187,0.6401154379074108,0.2899,0.6165478873239436,HH,ns,ns,0.577346395622627,0.2188,0.5120477611940298,LL,ns,ns,0.07588907784211968,0.9189,0.9842843971631206,LL,ns,ns,0.6401154379074108,0.2899,0.6437485294117646,HH,ns,ns,0.577346395622627,0.2188,0.5244253968253969,LL,ns,ns,0.07588907784211968,0.9189,0.9895999999999999,LL,ns,ns
Chad,TCD,0.2035091414222523,0.27011785003198396,-0.02663633044034444,0.030885043798080103,Middle Africa,Africa,-0.06660870860973167,-1,1,False,0.006104057609432161,-0.24489198852410762,0.2249,0.592544827586207,LH,ns,ns,0.4863230736522116,0.1358,0.4362936170212766,LL,ns,ns,-0.17773234106163016,0.3809,0.8100830985915494,HL,ns,ns,0.17121890877897275,0.3953,0.74726125,LL,ns,ns,1.0067929172582994,0.0019,0.050333333333333334,LL,LL,ns,-0.22800392624789598,0.2572,0.8382106382978725,HL,ns,ns
Congo,COG,0.1704220858831212,0.1550697837775385,-0.004141486026586455,0.025966403636707103,Middle Africa,Africa,0.015352302105582694,-1,1,False,0.00032426764100354456,0.38210058070792013,0.1211,0.43538333333333334,HH,ns,ns,0.05346067000013119,0.3001,0.6091560975609757,LL,ns,ns,-0.12397524925781671,0.4608,0.8920615384615385,HL,ns,ns,0.5103745724176536,0.0396,0.27180000000000004,HH,HH,ns,0.03608552313000387,0.4792,0.7094039215686274,LL,ns,ns,-0.2181147346286998,0.1959,0.7317975609756098,HL,ns,ns
