m49_subregion,n,b_mean,e_mean,difference_mean,difference_median,difference_sd,squared_gap_share,sign_agreement,classification
Australia and New Zealand,2,-0.015251982133613479,-0.03950410080858495,0.0704183756910983,0.0704183756910983,0.09627052671313754,0.02639550255832807,0.5,unresolved
Caribbean,5,0.018056396097683353,-0.01666882496698304,0.040426742073625246,0.042810381780832824,0.020153772362307944,0.013477797224475183,0.6,product-sensitive
Central America,7,-0.02399415158312778,-0.00033627215427904845,-0.06617496061428488,-0.06681323557541187,0.07485110233605011,0.08842293302286977,0.42857142857142855,product-sensitive
Central Asia,4,0.02764802876245262,0.001924869077412933,-0.01808039486596296,-0.014630639983952087,0.03305957371815833,0.006310000202967464,0.5,product-sensitive
Eastern Africa,14,0.004445229874970377,0.007749139217989087,-0.018945706340515744,-0.01059556065325959,0.050155035322532994,0.05190498213964192,0.6428571428571429,unresolved
Eastern Asia,5,-0.001069412142399001,-0.03796163417337498,-0.008740068662740536,-0.010015645278012103,0.03950540421494941,0.009114223111469238,0.6,product-sensitive
Eastern Europe,10,-0.019800890048051367,-0.012672069260776173,-0.03995529178189777,-0.040747699818169184,0.048296858033616545,0.05084632352143954,0.7,product-sensitive
Melanesia,1,0.030503964267224917,0.07900820161717667,-0.00958920321847928,-0.00958920321847928,,0.00012650906361565134,1.0,unresolved
Middle Africa,8,-0.013123029636096486,-0.01478642415679837,0.006282151857162336,0.0112356110677405,0.04686736514547671,0.021588530130456075,0.25,unresolved
Northern Africa,6,-0.013590091021126766,0.040546193866089986,-0.11419845257490012,-0.11431590981136346,0.020224812565487724,0.11046734789411142,0.6666666666666666,product-sensitive
Northern America,2,0.03883854029673579,0.04284901495744524,-0.05433619163157338,-0.05433619163157338,0.02417626416050598,0.008928053898418178,0.5,unresolved
Northern Europe,10,0.009285828145567169,0.025175922257588006,-0.0572250966609268,-0.03478157737512752,0.09508431219297962,0.15700174756649726,0.9,unresolved
South America,11,-7.48138924548543e-16,6.560408781875925e-17,-0.02019232198510839,-0.010925685499133725,0.05681006325069876,0.05057299187221122,0.5454545454545454,unresolved
South-eastern Asia,8,-0.00974612833446456,0.007814454636778451,-0.041102161184162024,-0.03758853191128664,0.03790803322823041,0.032433527719171844,0.5,unresolved
Southern Africa,5,-0.02649398320498575,-0.06116611632986246,0.02720177897464867,0.02210086055994359,0.027368555711500063,0.009212157543564511,1.0,product-robust
Southern Asia,7,-0.002395365433506808,-0.02214999238664486,-0.04153342022666725,-0.035990131227741196,0.037119143238485884,0.02798682657263066,0.7142857142857143,unresolved
Southern Europe,11,0.00540738849033466,-0.022070872958792512,-0.010764678969216356,-0.001825630258380867,0.04602497038375775,0.030897313567058146,0.6363636363636364,unresolved
Western Africa,14,0.018340105785064256,0.005168347332523161,-0.013228234319535487,-0.022734909655871563,0.06033086157220474,0.068470156323641,0.42857142857142855,product-sensitive
Western Asia,15,-0.0018610857190399898,0.01807823173642867,-0.06837772521341318,-0.024710058368626997,0.07967066031731913,0.2187480311753479,0.5333333333333333,unresolved
Western Europe,6,0.010512860298200982,0.020201766783637113,-0.03786040000706319,-0.02660507284724585,0.027658757198906318,0.017095044892084875,0.6666666666666666,unresolved
