a,b,legacy_km,corrected_lower_km,corrected_upper_km,change
DZA,FRA,562.6,444.3936057955327,484.00009173243836,newly_excluded
BEN,CIV,548.3,386.33978119328134,425.9087489411384,newly_excluded
BWA,SWZ,538.4,423.9059679430818,463.49842197667306,newly_excluded
BFA,LBR,551.6,429.64953962337796,469.24571484354686,newly_excluded
BDI,KEN,555.7,409.4431998967304,449.0258792086923,newly_excluded
CAF,GNQ,598.3,456.9491858374308,496.5647034436959,newly_excluded
CAF,UGA,597.2,444.63836462343977,484.2446908025283,newly_excluded
COD,ETH,597.2,488.70354438371066,528.3452994789606,newly_excluded
COD,SDN,556.0,389.6073601809185,429.17910886734916,newly_excluded
CIV,SEN,639.6,448.8206836084373,488.43037762357557,newly_excluded
DJI,SAU,556.0,356.05222247320995,395.60616447592497,newly_excluded
EGY,ERI,638.2,465.23474616397215,504.85758066307125,newly_excluded
EGY,IRQ,581.6,440.7089491419415,480.3121448015513,newly_excluded
EGY,TUR,556.0,460.05808529841875,499.67656197735886,newly_excluded
GHA,LBR,664.1,461.53495792162937,501.1536633061031,newly_excluded
KEN,SDN,676.2,450.2327171722543,489.8443386351631,newly_excluded
LSO,MOZ,515.2,383.6883862686943,423.25606716986675,newly_excluded
LBR,SEN,597.5,458.3200553970696,497.9377278455842,newly_excluded
MLI,MAR,535.6,376.0062552179389,415.5699570320324,newly_excluded
MLI,TGO,548.2,418.29362343198346,457.88260060561066,newly_excluded
MRT,ESP,597.1,279.14732289000074,318.67042505476786,newly_excluded
SOM,SAU,675.9,469.83891637182336,509.465725893297,newly_excluded
SDN,YEM,540.5,401.61280116502974,441.1910071724022,newly_excluded
SWZ,ZWE,556.0,375.78040977500774,415.34432559627066,newly_excluded
TUN,FRA,556.0,376.7801030285759,416.3441972021662,newly_excluded
TUN,ESP,622.4,424.43994615971286,464.03203959431204,newly_excluded
AZE,SYR,550.5,304.6369464448275,344.1685247987474,newly_excluded
AZE,UZB,597.7,437.0382019631504,476.63861809332394,newly_excluded
MMR,IDN,598.0,351.438713846048,390.99051025281176,newly_excluded
MMR,MYS,598.0,297.7012464109434,337.2306578623373,newly_excluded
KHM,CHN,595.6,396.321146942888,435.89587394897944,newly_excluded
KHM,MYS,566.8,378.8155171351471,418.3812762124474,newly_excluded
CHN,PHL,637.2,455.315680798725,494.9303785588123,newly_excluded
GEO,IRQ,556.0,429.52209592822834,469.11810293861424,newly_excluded
GEO,KAZ,525.8,372.9798422934947,412.54154568725795,newly_excluded
GEO,SYR,556.0,436.6502544301074,476.25125269842187,newly_excluded
GEO,TKM,582.8,460.09789634191,499.7151071979839,newly_excluded
GEO,UKR,595.6,317.0580757710507,356.59427538657485,newly_excluded
IRQ,QAT,594.4,479.44566908697357,519.0795783486708,newly_excluded
IRQ,CYP,509.2,423.63396583480704,463.22560404134754,newly_excluded
IRQ,RUS,613.3,488.46665549019724,528.1078548018371,newly_excluded
ISR,TUR,556.0,293.27364965702867,332.801450980481,newly_excluded
JPN,PHL,784.9,334.7265018058156,374.2704998830102,newly_excluded
KAZ,UKR,515.6,443.1103337953714,482.71489764512853,newly_excluded
PAK,TKM,580.4,427.89688157242966,467.4911350703179,newly_excluded
PAK,ARE,702.5,489.77552700480135,529.4170995626816,newly_excluded
SAU,TUR,585.7,472.71991925001214,512.3483740431304,newly_excluded
SAU,CYP,524.5,438.93456062970347,478.5370522734678,newly_excluded
KOR,RUS,581.4,443.8688022422155,483.4747685737365,newly_excluded
TUR,ALB,507.2,367.5853473196489,407.14407240050997,newly_excluded
TUR,MDA,561.7,377.573885779381,417.1382940671256,newly_excluded
ARE,YEM,543.5,415.3293667452129,454.91656830433953,newly_excluded
ALB,HUN,556.0,357.48825588121497,397.04236531047326,newly_excluded
ALB,SVN,600.1,463.96484788513976,503.58554393823,newly_excluded
AUT,BEL,561.4,347.6310207109036,387.18017580439476,newly_excluded
AUT,MNE,546.2,415.3084912295816,454.8948318121617,newly_excluded
AUT,NLD,672.8,436.1025962901953,475.7026351396915,newly_excluded
BLR,FIN,556.0,421.19829342519006,460.78814883035506,newly_excluded
BLR,SWE,538.6,431.66486038249514,471.2615848735423,newly_excluded
BEL,CZE,505.3,406.92413693514396,446.50473428021553,newly_excluded
BEL,DNK,558.6,430.6355962592573,470.23181798050155,newly_excluded
BIH,DEU,500.5,321.65337992153513,361.1914406114493,newly_excluded
BIH,POL,561.1,463.87769476996345,503.49854063657943,newly_excluded
BIH,CHE,588.9,418.68623740103726,458.27433954803365,newly_excluded
BIH,UKR,539.8,422.1868524807958,461.77758492043057,newly_excluded
BGR,SVK,561.3,436.33341877985976,475.9339297177365,newly_excluded
CYP,GRC,634.3,361.0739214559956,400.6294608687826,newly_excluded
CZE,NLD,532.8,418.27199936471396,457.85980917091314,newly_excluded
CZE,RUS,520.5,462.77373974504883,502.3934190762917,newly_excluded
CZE,SWE,556.0,461.1796005422219,500.79809224882837,newly_excluded
DNK,EST,690.4,459.1936024770617,498.81006415915573,newly_excluded
DNK,LVA,570.1,330.9394229785354,370.4810633069053,newly_excluded
DNK,LTU,566.4,324.88371254376125,364.4228418215678,newly_excluded
DNK,GBR,565.8,468.02573259934394,507.6491007982627,newly_excluded
FIN,LTU,556.0,350.2785479235502,389.82894251942747,newly_excluded
DEU,LVA,550.3,444.87800782285814,484.48384532626693,newly_excluded
DEU,LTU,521.9,416.56875326142875,456.15535589540286,newly_excluded
DEU,SRB,563.9,458.2374749684662,497.85331208339846,newly_excluded
GRC,MDA,709.6,433.1852955467424,472.78364387085895,newly_excluded
GRC,UKR,607.0,407.31055645203645,446.89202278556405,newly_excluded
HUN,MKD,556.0,422.7543643895915,462.3456174167397,newly_excluded
HUN,CHE,535.6,417.70042219110377,457.2877948834996,newly_excluded
ITA,NLD,664.6,493.5421909798373,533.1874350509971,newly_excluded
ITA,POL,533.4,457.5060939211613,497.1218290347009,newly_excluded
ITA,ESP,514.7,283.7208692960791,323.2451588443558,newly_excluded
LVA,UKR,556.0,405.9324931921592,445.51287024644637,newly_excluded
MDA,RUS,595.8,462.22386988710736,501.8431487628721,newly_excluded
MDA,SRB,570.8,432.5636165625948,472.16090637901226,newly_excluded
MNE,SVK,667.2,462.04286435275696,501.66235507470714,newly_excluded
NLD,NOR,667.2,434.6206226459759,474.21959397245564,newly_excluded
NLD,POL,541.3,445.5244372196602,485.1306575686581,newly_excluded
NLD,SWE,565.8,409.18695445472974,448.7689990247977,newly_excluded
SVK,CHE,640.4,487.3779623923356,527.0171793609842,newly_excluded
SVN,UKR,570.7,452.3653473889295,491.9767624143868,newly_excluded
ESP,CHE,641.3,455.88266884057066,495.4973287723779,newly_excluded
BHS,JAM,638.2,328.7060622774631,368.2475354773358,newly_excluded
