iso3,Country,changed,old_n_train,corrected_n_train,newly_excluded,newly_retained,excluded_codes,retained_codes,minimum_retained_clearance_lower_km
DZA,Algeria,True,141,140,1,0,FRA,,502.80410892048315
AGO,Angola,False,143,143,0,0,,,617.5524176445745
BEN,Benin,True,144,143,1,0,CIV,,645.265464870903
BWA,Botswana,True,143,142,1,0,SWZ,,617.3401076622447
BFA,Burkina Faso,True,141,140,1,0,LBR,,544.1912089132867
BDI,Burundi,True,145,144,1,0,KEN,,652.8579050829767
CMR,Cameroon,False,142,142,0,0,,,645.265464870903
CAF,Central African Republic,True,143,141,2,0,GNQ|UGA,,668.5532199135129
TCD,Chad,False,140,140,0,0,,,628.5950455799541
COG,Congo,False,143,143,0,0,,,505.2073478639452
COD,Congo (Democratic Republic Of The),True,135,133,2,0,ETH|SDN,,610.5128671535235
CIV,Côte D'Ivoire,True,143,141,2,0,BEN|SEN,,513.4956418289805
DJI,Djibouti,True,146,145,1,0,SAU,,597.3982225286695
EGY,Egypt,True,140,137,3,0,ERI|IRQ|TUR,,796.7350520612513
GNQ,Equatorial Guinea,True,146,145,1,0,CAF,,617.5524176445745
ERI,Eritrea,True,144,143,1,0,EGY,,914.0853458171574
ETH,Ethiopia,True,142,141,1,0,COD,,633.7952924267872
GAB,Gabon,False,143,143,0,0,,,628.5950455799541
GHA,Ghana,True,143,142,1,0,LBR,,518.8803734064857
GIN,Guinea,False,142,142,0,0,,,518.8803734064857
GNB,Guinea Bissau,False,145,145,0,0,,,524.8811678267961
KEN,Kenya,True,144,142,2,0,BDI|SDN,,610.9220933565367
LSO,Lesotho,True,147,146,1,0,MOZ,,679.8830982691288
LBR,Liberia,True,146,143,3,0,BFA|GHA|SEN,,524.8811678267961
LBY,Libya,False,142,142,0,0,,,509.873869437773
MDG,Madagascar,False,149,149,0,0,,,714.622347526621
MWI,Malawi,False,145,145,0,0,,,652.8579050829767
MLI,Mali,True,137,135,2,0,MAR|TGO,,784.4064914150321
MRT,Mauritania,True,143,142,1,0,ESP,,513.4643800186929
MAR,Morocco,True,146,145,1,0,MLI,,809.6690483424891
MOZ,Mozambique,True,141,140,1,0,LSO,,587.3811357085859
NAM,Namibia,False,145,145,0,0,,,587.3811357085859
NER,Niger,False,140,140,0,0,,,562.5858813422933
NGA,Nigeria,False,139,139,0,0,,,505.2073478639452
