,DZA,AGO,BEN,BWA,BFA,BDI,CMR,CAF,TCD,COG,COD,CIV,DJI,EGY,GNQ,ERI,ETH,GAB,GHA,GIN,GNB,KEN,LSO,LBR,LBY,MDG,MWI,MLI,MRT,MAR,MOZ,NAM,NER,NGA,RWA,SEN,SLE,SOM,ZAF,SDN,SWZ,TZA,TGO,TUN,UGA,ZMB,ZWE,AFG,ARM,AZE,BGD,MMR,KHM,CHN,GEO,IND,IDN,IRN,IRQ,ISR,JPN,JOR,KAZ,LAO,LBN,MYS,MNG,NPL,OMN,PAK,PHL,QAT,SAU,KOR,LKA,SYR,TWN,TJK,THA,TUR,TKM,ARE,UZB,VNM,YEM,ALB,AUT,BLR,BEL,BIH,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,MKD,MDA,MNE,NLD,NOR,POL,PRT,ROU,RUS,SRB,SVK,SVN,ESP,SWE,CHE,UKR,GBR,BHS,CAN,CRI,CUB,DOM,SLV,GTM,HTI,HND,JAM,MEX,NIC,PAN,USA,AUS,NZL,PNG,ARG,BOL,BRA,CHL,COL,ECU,PRY,PER,SUR,URY,VEN
DZA,0.0,2709.3863068634573,735.0831566915197,4382.1622345863125,544.1912089132867,3386.9721521580445,1087.6291664209537,1655.4064140128476,303.2552453937581,2048.704794405813,2117.771459455978,1213.6692547489392,3358.458788880337,1308.1381930940772,1705.6480839727028,2676.909210103718,2724.878271435428,1969.0328018470532,921.2811024874164,1379.6206050964508,1624.5512904833358,3146.364284063649,5623.612384217773,1762.8254388176458,0.0,5404.319483419855,4213.515149131605,0.0,0.0,0.0,4485.3146303487265,4008.2135018763706,0.0,571.2592612893254,3282.787607178712,1282.0054173071328,1724.517897758064,3488.3668391640235,4969.853967732655,1290.9157139047236,5506.574482329782,3322.88790248224,911.1777894598113,0.0,2961.447283349167,3843.422560711521,4519.745202718496,4546.725472942109,2999.57107461662,3115.065005492171,7017.028048689489,7474.398361965987,8591.240541914778,5401.078856603309,2720.892684459068,5472.755994574111,8265.825926746613,3076.621538127466,2725.8617400886333,2317.0912117417415,8776.38659961693,2345.420341394759,3271.4156806602386,8102.904895305552,2385.060027217635,8610.956559809565,6025.514924288523,6278.1531214735,4082.572424812547,4753.479668725694,9345.978562230555,3815.427552710517,2277.730858831824,8579.833040346852,6894.657946694171,2390.414678857157,8983.641054241018,4933.165837974114,8003.598028666213,1501.4314487641304,3698.0427270873447,3877.4133726302416,3953.3348575197083,8149.623302563613,3186.6911641173215,983.6657465421408,1061.5665902716648,1985.0788581283657,1347.814134585853,1009.0079068891731,1312.8577394788344,828.6186261432636,2117.030340051498,1340.0502588769484,1911.3425385988367,2476.36131366308,2653.57445294166,444.3936057955327,1119.6463943568722,975.8661411555312,1227.57350966812,3167.8146692761243,1775.049989524981,165.60894171054008,2281.3259752051977,2195.5865868175188,1118.8551208890497,1876.3432262443105,1029.1776546830904,1485.1560737287666,2254.900917496572,1585.538864809916,502.80410892048315,1381.54461605959,2100.0463529271715,1157.13389219821,1395.0312981155862,1025.405603160001,100.3194603145651,2018.5898331691296,959.079526950768,1667.7467529613978,1497.4564711628427,6093.6517081026395,4191.557875778126,7405.7134848035175,6290.2121797462,5854.07277276855,7648.653481162591,7609.848011689131,6126.954875886931,7137.30688511972,6519.464488579176,7267.0449329925505,7165.338155258984,7021.249645296943,5200.29482822858,8992.047975137595,12091.473014370355,11259.12395620301,7138.063479116193,6806.404282643371,4176.091701242996,7636.79445652386,6311.321859223117,7249.836201062159,7023.065006964724,6939.045727077134,5145.538670148058,7555.073796645824,5541.026472447162
AGO,2709.3863068634573,0.0,1603.5198022515656,15.849524475447799,2090.7700742207285,890.1846062776405,734.0614871680447,839.2166075354112,1346.3398535872561,0.0,0.0,1968.383055020436,2967.7590487134166,3171.346467766909,617.5524176445745,2855.4429507745035,2034.6027482436493,98.93600433022272,1679.8447915205995,2609.9617543700865,3356.91636337688,1518.9080167761063,1299.6227661102005,2380.0499490856223,2874.57593934082,2096.922528667185,938.3886909523361,2381.2728088348563,2942.6503514307924,4142.617488013607,705.0554185974488,0.0,1915.8186138918338,1085.767135450414,943.0419440048448,3204.0457964696707,2842.05204081366,2167.8584882108935,735.0889681706947,1760.0837916039097,1207.80533948788,783.5695098550618,1660.4048877806606,3784.218824276994,1084.048258698427,0.0,200.71295134674682,5651.8716816402275,5502.020158917276,5472.856370646799,7447.404553435755,7575.946408647045,8266.520687261978,6940.3694596447385,5557.622342513465,5615.57829738149,7498.73552517762,4862.7064445462265,4597.115130106255,4234.049460436687,9914.668386582132,4193.766563484879,5994.672738713944,8262.119706303996,4565.42991973956,7926.628481042116,8180.289754393353,6983.6793351757815,4243.031838631792,5409.064340730757,9320.435168104435,4621.5115449624245,3364.5717979785018,10056.825037972385,6181.038713573753,4533.39416274852,9466.469454119233,6513.402873217876,7802.47443978174,4655.332109403962,5724.267727602486,4585.5091015880325,6131.757464123205,8297.813483288273,3192.991322178516,4790.971029662181,5450.045040473071,6019.636364569858,5782.750277768186,5072.9041962767105,5015.539048847123,5003.175273862226,4632.190104716967,5650.857114589583,6238.715485486764,6590.945540933585,6773.1951797797365,4929.851134759345,5528.929518663006,4387.016988839192,5394.585244908149,7410.398546843984,6216.319208050405,4298.731144280836,6417.482690191492,6256.847556886116,4931.569351406056,5538.011497158959,5005.231007249963,5902.377257012417,6563.157321119094,5758.300737820753,4740.324725204177,5261.753135092915,5663.660720182025,5089.0069053881,5591.685945743709,5350.047599683121,4465.804798442036,6311.042135805517,5410.940626504225,5514.51688399174,5946.616511148469,8746.340756052996,7892.528553496144,9403.361299569402,8838.397305571307,8380.4934398731,9793.145258174469,9834.574531972268,8650.240939132227,9416.627135670613,8948.11998570083,9727.548888188148,9370.748655349682,8995.777909170542,8649.149613672138,7369.834222823509,10000.657624986285,10610.88938325467,6423.295854288737,6866.702670547708,4156.3875962911525,7215.348496504835,8114.400232872419,8730.151596048623,6491.862251350224,7870.391471763391,6974.6900999912405,6343.454028701141,7551.362915968931
BEN,735.0831566915197,1603.5198022515656,0.0,3328.683581042062,0.0,3047.4313982194017,645.265464870903,1248.5280190976764,1087.608853579098,1240.7004913163169,1642.3048246342223,386.33978119328134,4058.62361221618,2517.353318844941,678.9693857704028,3511.4884507118727,3177.567950269443,942.5509254271432,42.64311893234001,929.501566359277,1572.5262444956386,3350.9714254600954,4604.394454906026,988.7046591594059,1537.004683625821,5010.825759613953,3721.1743825297585,320.0332303219519,844.1612952366004,2066.259053872819,3777.2710739936883,2744.7453550678583,0.0,0.0,3030.1782368308986,1338.602511052097,1213.7363872881297,4104.687209290664,3840.688315821851,1948.7987673466412,4583.489072341394,3138.698083470163,0.0,2079.6369867153167,3034.82156976031,2981.0069067593276,3576.5846846702293,5970.334352942386,4874.120070555004,4929.290592001956,8193.51899323666,8562.540254219683,9424.71524368291,7040.332692390439,4794.164399204505,6559.287364767361,8987.985818768722,4762.315732920321,4177.554964681636,3718.5766779183346,10445.286684261144,3717.900920002264,5457.0313064062875,9144.202115010152,3905.745030966104,9337.196911376068,7938.293447085918,7530.674037995767,5082.216831064831,5972.33818211999,10465.709589468617,4998.5413607443425,3622.7248492312146,10145.524833948917,7687.592507854101,3947.2757625113513,10203.833050555939,6586.224240324108,9000.169323781176,3551.4499526159298,5498.440889155761,5028.503176035826,5797.67151170733,9263.372155079129,4054.298107110134,3393.938556097094,3807.318350929782,4605.569989819429,4049.7738959351723,3596.799025414593,3686.8347746060294,3461.93007602155,3766.746516543052,4059.2633910322784,4610.38535889188,5125.8072117974425,5299.705981338496,3213.3047255287124,3854.987133640081,3201.6212917195685,3888.0471391323836,5668.843625704696,4349.229855457945,2686.7217334048387,4940.17744881003,4829.769283777171,3550.2142190556115,4287.94805389848,3555.697344822083,4183.199719184507,4912.326841199417,4275.712296844516,2676.7077212931163,3901.829252720808,4688.592428233691,3697.4004491133724,4072.682692950517,3746.650961577195,2388.1382480918182,4714.783870103622,3690.400573038326,4266.754993763209,4127.911147842294,7353.802816741493,6101.408771936921,8323.665814880182,7493.859464452913,7011.2491316650585,8683.579667139038,8694.034408818154,7309.052082859914,8221.1252902083,7660.693920594052,8485.092531268643,8202.666126368256,7902.569498826486,6976.590379256244,9378.088975335744,11625.188105633672,11829.152870879201,6610.7649747217,6672.890014590582,3857.677228758656,7580.548545903487,7075.607237375978,7865.381141456645,6588.8377983169885,7447.245510780526,5784.267712722615,6833.159787384577,6326.5447816030155
BWA,4382.1622345863125,15.849524475447799,3328.683581042062,0.0,3818.326086207339,1528.2975394668117,2260.2088669085774,2326.946879220259,2848.2483207114547,1608.1559318861762,617.3401076622447,3609.173732115862,3606.7366592113467,4295.959064100591,2364.801695135149,3688.4495149894947,2705.0117951743423,1871.0074743672822,3384.081568056346,4207.718523577887,4921.134263560371,2050.2938988709825,407.5498569035977,3928.2179138277643,4036.2128318659015,1400.3074946577763,816.6215272280854,4093.6463364267984,4618.271123027635,5773.1038079315795,194.07149237972234,0.0,3525.803767444337,2838.5951218637997,1697.5527781931632,4803.546497802512,4402.706835623361,2509.411282936768,0.0,2892.778283734209,423.9059679430818,1180.2309905851516,3371.7953143670165,5314.412125307811,1851.0158421116857,0.0,0.0,6219.347767992094,6334.513220602708,6312.712612967316,7547.074268569337,7504.6700216466625,8066.852587866055,7374.167253403496,6442.335691477081,5622.246648964037,7206.738274218686,5546.376782022636,5409.5143169150815,5186.016392421578,9873.246674195017,5141.5485284014385,6767.910577266996,8221.558194066589,5513.802724331872,7633.306382836998,8700.330509283009,7324.103962926721,4737.20056496207,5906.134183275296,9045.09912304909,5274.694832943835,4093.293553878071,10195.57802843928,6064.737569389275,5465.230696027477,9387.5499371401,7082.653745771097,7601.160799140688,5733.13739911194,6455.356155200975,5202.254462353495,6862.486320453337,8087.42880626528,3822.635939386678,6078.427598931154,6790.7897429554805,7196.344406685106,7184.822704699935,6380.297066159681,6231.316158174035,6356.509549304017,5614.705421212503,6971.216299387624,7532.634383538042,7735.02549558479,7931.194262004087,6378.9372611014705,6903.315893638477,5594.274106496908,6684.981977805236,8713.121169462558,7644.17019991027,5752.056353192581,7579.989866949765,7422.49800768699,6193.060959925673,6643.978378236597,6302.493507805688,7290.656593576214,7867.55275340892,6968.054700488411,6330.9751072027975,6471.260067201017,6565.709605037949,6331.927636744935,6871.3148697524775,6695.457454778498,6074.032206248265,7583.287335155401,6821.080082251377,6562.501093454336,7367.678477876752,9725.774094021732,9186.507507686183,10090.932774348697,9791.794779828077,9375.930314105715,10490.264615887783,10567.129756094002,9605.650552969115,10221.169706001,9852.834816215664,10556.197485433486,10148.034863105071,9718.209459065893,9826.135461030586,6818.85545768537,9414.019546120764,10178.681643931599,6795.405059777804,7421.976033699599,4868.856692208385,6992.090801641354,8831.606896872503,9335.759979912766,6946.678842826539,8367.517412893178,7871.089971269773,6628.535710296244,8453.90971996473
BFA,544.1912089132867,2090.7700742207285,0.0,3818.326086207339,0.0,3300.8089597797352,953.8857687819734,1446.0895220620837,1199.3338281882677,1579.7534046120297,1949.3828503686186,0.0,4181.408850328292,2597.4320601889117,1076.1781201599872,3628.7248298325526,3320.0388839468405,1406.5439119720997,0.0,261.63744332187736,890.6901589115986,3512.909246541098,5086.296602417834,429.64953962337796,1478.3837806230008,5322.493462671027,4038.0341706752706,0.0,272.8189808904326,1603.5840027710076,4173.94619727839,3287.700734850618,0.0,99.5379438381074,3261.1777516692655,661.0012016224565,552.3518600761836,4261.076267183429,4353.793642207721,2073.7251618771115,5035.394208089399,3357.715927266606,0.0,1925.181518345348,3211.71641790323,3416.27629332769,4031.687447666163,6033.919179903376,4893.436197373817,4959.251723685395,8260.975801756056,8634.400810093932,9498.229275892018,7089.411054262188,4774.345718743224,6643.463591509494,9077.043016808766,4818.538573134967,4232.977633312166,3777.603323723818,10418.473204715307,3779.895632011751,5422.403471463107,9210.771530149465,3952.091633650373,9420.933968035075,7932.208445724605,7598.309943612191,5182.853494577385,6044.910402773177,10524.24890918797,5082.271909595178,3689.118747577115,10147.750130182463,7786.811533831033,3997.965446859626,10254.312578192352,6636.7607769499455,9071.080950935539,3531.411674301414,5544.6290219560615,5115.765161559865,5836.597494110419,9325.239384987653,4166.471344551393,3286.8851780906025,3577.698437275111,4445.333344951116,3783.794701908955,3452.032800650944,3589.8833431257576,3298.9806781515435,3799.128942212664,3853.4588743411923,4370.420371704318,4931.36862437211,5097.049268438502,2987.3151843422625,3605.7050549177125,3144.0473626339617,3720.70773546561,5336.135420161592,4004.481338519911,2534.359936297533,4747.210239347219,4657.770645336711,3435.3322560752954,4192.472965211154,3422.66995415748,3919.8909041150146,4652.562150681766,4086.2041245396977,2177.1216490017423,3785.4770518435307,4575.779952631521,3564.81328733821,3893.836477844364,3547.8532004891035,1887.6395580723529,4485.090541237192,3437.4068299421965,4120.996725957754,3800.4431580975984,6803.422804328561,5622.082680462861,7794.966962936477,6945.091193522827,6441.184658330836,8176.391156145132,8190.387290165824,6751.445678711951,7694.364831675381,7113.595320392697,7980.743505399197,7672.514233047704,7354.949397814958,6497.784236929519,9492.219419583793,11799.773981760773,11873.25530892305,6274.4063656088465,6219.95864907305,3303.3255071063522,7172.450973467714,6497.347682582673,7318.267681433892,6227.010603469558,6887.071784646925,5167.281183605943,6588.055045073785,5723.798687273155
BDI,3386.9721521580445,890.1846062776405,3047.4313982194017,1528.2975394668117,3300.8089597797352,0.0,1515.394926743311,875.83521641954,1606.3428454875507,1260.6861979992962,0.0,3577.107396652525,1914.9854137401414,2650.163909226465,2003.0364244266352,1929.0998684702213,963.5441180791124,1602.4195234687425,3184.84477329564,4178.412909457625,4860.707855308787,409.4431998967304,2626.491968349652,4052.588573891148,2478.7931935468805,1975.6985779450517,652.8579050829767,3385.6731379596567,4215.882515327752,4867.178668328208,940.3482631514145,1511.1115459533917,2483.7302918181135,2180.044470631886,0.0,4666.599120939798,4421.869735381457,1153.0382642523268,1943.8832941457395,1271.91866366885,2332.9793403451954,0.0,3141.353741070918,4094.1019130110817,84.28859685415705,402.7740123965524,1203.186594132202,4685.193361221607,4712.093206904309,4688.975064191502,6536.554012633769,6767.258246604234,7550.130867762093,6025.818788252669,4835.665053301717,4694.701359949808,6793.879250063131,3925.642057161218,3730.5289184211024,3513.1882387721207,9229.816945969886,3464.093749815244,5181.363870057997,7450.49306076691,3860.563417897818,7232.045548095457,7372.351616986954,6032.976996266314,3191.201495800209,4406.352390435301,8717.871255834629,3642.2535686493334,2374.717809404136,9344.800383285685,5358.462836300097,3801.4178316208317,8765.137190935553,5598.571054819211,7072.825570869113,4142.787507360698,4856.074609173285,3587.1423562411164,5291.550043436779,7595.595044655749,2144.434091676968,4616.296015881734,5409.508491858001,5725.629655219767,5946.039766689277,4949.999837119362,4708.339986722795,4925.541934070697,3990.3708468015684,5570.359247362036,6179.779915137864,6317.419213430019,6544.260922672577,5109.03004090858,5557.444220529942,4034.1954760767167,5261.985285063437,7648.028406318388,6569.3099793194715,4432.492564803719,6147.404581201825,5990.444142012859,4721.7007552447,5126.711267091845,4860.3021956915145,6044.1992065592685,6595.902033945635,5520.387231265373,5591.263514189784,4947.813682173402,4962.80378863182,4851.578034862851,5455.514453901324,5314.038938871777,5168.402755989838,6238.929303923606,5528.645949652149,5004.035214486493,6207.412160846388,9868.296604848736,8693.841081182929,10530.114302095959,9970.341444286023,9587.162737002185,10829.377736434557,10848.185692772833,9824.22041068956,10500.673485187432,10088.777169535073,10716.063503355792,10475.89233728296,10196.229655669831,9465.804327094329,6914.66278121116,10612.371647446644,10385.988461951743,8337.485143599555,8648.43668954778,6226.929445867887,8969.100303665653,9464.919824810711,10042.297721861798,8378.905631708241,9509.430094505917,8440.989245792487,8299.034214098945,8934.817373798041
CMR,1087.6291664209537,734.0614871680447,645.265464870903,2260.2088669085774,953.8857687819734,1515.394926743311,0.0,0.0,0.0,0.0,184.67790921825664,1234.0027508638261,2836.4267462007456,1488.6773274844006,0.0,2305.260752746397,1910.10184001201,0.0,798.46338256126,1824.0707705532225,2537.023997332812,1961.9875507186764,3550.18238046006,1756.7888299028182,1065.9185400189215,3590.2048542207895,2244.8805626599833,1112.98803720461,1885.322077811955,2596.385542206557,2409.5627319915193,2069.9727298062016,96.99835176877639,0.0,1495.904737430781,2327.6354455751098,2086.4758863956454,2718.9949628785025,2927.640967880277,722.5571649276463,3411.1135350064496,1615.3735412161845,747.8828031769658,1938.9773774215193,1501.5976922661246,1658.661798672019,2366.043506674919,4960.95301663729,4061.95884331871,4094.899324285546,7260.683167196872,7642.420468867081,8561.662243752013,6162.5168085101905,4026.3357310086562,5511.352510461113,8037.696583236235,3819.47848772802,3243.6460493217637,2767.141975994127,9783.436008078175,2753.499948100383,4713.306265818797,8276.18100700217,3025.601741210884,8434.374536441106,7229.965740725158,6579.278126558618,3943.556493528881,4925.631037495017,9715.67605654319,3916.999109901109,2630.994271942454,9546.817063926484,6644.211312588504,3042.3962100150957,9468.75410313136,5675.979066070099,8107.5116163965995,2868.6672106518013,4612.734439850918,3932.7767565476415,4951.506083647183,8419.172007209401,2871.572833154081,2949.6188181045304,3648.3204201653957,4252.222207247216,4036.239713878259,3242.5384994601327,3195.4644046503627,3170.206086509669,2949.301681517258,3860.554614369193,4493.404195778765,4863.646467841256,5060.979969780596,3122.463452465877,3743.296330179168,2560.343501955848,3582.731532332282,5844.8475434125085,4577.090391717506,2441.316811668351,4676.278476569898,4505.404435953477,3099.5711948291714,3765.304826281892,3171.971553799417,4160.243057781607,4854.4659317961605,3969.683138300076,3365.3059013902525,3451.6152036621406,4030.8987740999214,3265.6897278977985,3792.2978189368405,3541.8059890867125,3021.584452167795,4568.2366097364475,3626.7433012864963,3741.181930830782,4243.82640647709,8161.114587877973,6799.258147893179,9013.396944933034,8287.02195693304,7825.703480234923,9374.25772132568,9393.31713937109,8110.364295960493,8951.265916949127,8435.364897026828,9217.06214180875,8925.117954974332,8607.166849223324,7706.655575408514,8281.853702540895,11245.747963151842,11270.792439371011,7049.692221420805,7183.890934833535,4508.581714074247,8040.872705327966,7782.980503753853,8501.412143108651,7044.761567010366,8051.528111149453,6549.895974431183,7187.617435950931,7099.330359695834
CAF,1655.4064140128476,839.2166075354112,1248.5280190976764,2326.946879220259,1446.0895220620837,875.83521641954,0.0,0.0,0.0,0.0,0.0,1871.4033905595347,1689.1741693316985,1226.273224053325,456.9491858374308,1378.5457701715707,668.5532199135129,222.42844450206726,1451.3472682841607,2443.529360132257,3122.68399800904,748.7728344069278,3593.9850070112902,2408.5911816792877,933.6933219565178,2958.239180083753,1727.0624710950242,1522.8940511847977,2391.2845045050294,3169.0591691809846,2004.8364529101561,2154.597000729538,675.9713667488479,297.1001066941344,741.1145664994676,2903.1067003995713,2710.292418155149,1535.1928922684522,2954.1199829807097,0.0,3376.150285800545,767.1252120089724,1396.2981908052175,2448.019306287668,444.63836462343977,1480.5751395581926,2266.161674030851,4332.227078488436,3747.3910014540497,3745.1576074349846,6466.231828408001,6802.441692565076,7671.772948854863,5653.534343271713,3769.537332287407,4665.973567342272,7035.139475397385,3316.230983138595,2841.614315262022,2389.549153539178,9204.794055739389,2357.504255275292,4346.8978829500775,7469.397810985905,2714.2645208448544,7462.668708455998,6853.406599125243,5858.607461952909,3009.990796255636,4145.363324118127,8898.703706992163,3234.677602228834,1942.5733168898944,9166.595435403053,5566.83759684392,2703.6827527736123,8786.075396315275,5153.480669236316,7253.726703301923,2808.5878642479697,4149.306268237921,3223.43276845139,4541.526249094178,7657.902339157069,1869.508456933388,3118.3985070509507,3915.413904751278,4385.313797778333,4421.746953208152,3452.1842151684637,3300.409981981937,3425.675061046021,2739.544899908089,4116.368982193113,4758.049986932566,5012.598622978165,5233.795973558145,3523.302449463017,4051.7792639909576,2601.098066411724,3793.599584524647,6248.507502274461,5059.152048974011,2814.710575119266,4833.783779468682,4645.026117743733,3248.1191454944924,3787.3270930320577,3365.8845705947815,4532.842537213278,5162.317461351344,4123.0739825869605,3921.3918058921486,3567.5323583721,3855.4306152995905,3407.360978681417,4003.8911704338193,3808.116630546605,3569.9849761968094,4816.6806359622,3992.0855005400817,3749.3042225151994,4680.3927383986465,8589.866686661788,7247.904640373146,9446.554723895382,8717.61401234137,8280.700104720463,9773.280527336803,9784.111865258663,8550.971192455965,9366.885437184956,8867.676721162079,9599.111689742522,9348.499030350182,9065.35643319476,8112.960202412293,7407.23495590967,11160.556079389797,10666.417552151823,7551.578041651641,7717.027468072143,5132.108761733729,8529.745162776337,8295.692949964967,8984.970614061227,7558.139363439793,8560.500455344052,7100.772748749293,7655.317299707792,7623.03234003102
TCD,303.2552453937581,1346.3398535872561,1087.608853579098,2848.2483207114547,1199.3338281882677,1606.3428454875507,0.0,0.0,0.0,406.2133184451343,319.86711996775995,1798.3799338197557,1954.0264215272975,278.2331287336201,746.6837382386623,1326.0030318127558,1140.1165527764047,628.5950455799541,1441.8103671215028,2344.3576977460248,2915.1864225940562,1419.5469199421884,4088.7136124933304,2379.866776978937,0.0,3723.9406883888,2460.6522084876437,1020.2336190281759,2001.190850577946,1875.3257670721819,2744.9220145611994,2687.5140295995056,0.0,0.0,1508.7809256708922,2672.6055028911965,2630.270207834466,2080.510614929164,3485.2870104842473,0.0,3909.797757329836,1559.6820672444312,1333.7835041309913,931.0947456769848,1189.9939452822055,2146.477915746755,2841.9790053093943,3826.0208918327653,2916.5112076626565,2938.2430421163353,6272.068585320615,6695.835050718529,7723.102397290302,5056.157941423802,2907.6416270531354,4453.758086602936,7290.14688837129,2627.0602674109723,2044.8016001042915,1561.7897835469457,8963.591931557157,1543.4826977890425,3573.953969171378,7370.255193399037,1850.9295031955542,7679.699560167066,6195.359016689408,5529.1446959569885,2903.254892630559,3822.1932083963493,8975.945961180598,2769.823901750787,1416.737217346463,8688.14314170525,5809.871594068688,1857.2455609071326,8641.453806406356,4547.664220829186,7205.333902233232,1768.3894500137862,3443.6161294355497,2801.7523878635407,3803.4098552929286,7509.2628604479005,1880.9659160980775,1794.9744323403704,2523.867434089443,3127.8101052341954,2979.215522564907,2095.442349821963,2051.090241202379,2030.6971045156133,1825.1025453489328,2741.8666470110184,3400.601350352746,3760.644060145487,3966.1179833653064,2044.0636955937462,2644.0508538213785,1436.9474688345435,2445.521664781325,4884.71109766545,3620.3982813629073,1324.653966968046,3567.5490670386916,3388.6517246996473,1948.511049474356,2645.3561067242395,2021.9011614405995,3099.8895595767617,3788.408408511053,2839.2673500589435,2632.7012466331425,2309.4856383089677,2958.613763176138,2117.9092698152476,2661.4943599942408,2414.281006153895,2076.4317604111943,3469.4997556410253,2543.8380800940063,2621.4593269450097,3232.022818935495,8125.466894511847,6196.400565986548,9237.61572646775,8296.729535466313,7907.325751620926,9457.81536086124,9426.388722762968,8152.053417058735,9025.630018716452,8494.144873638883,9132.712995731545,9046.178036231258,8893.395461692638,7167.530137070038,7897.027672166716,11487.324573849653,10808.128192474276,7713.39223357341,7810.382393353427,5172.308059426959,8637.119677185428,8163.594675244843,8914.67091436213,7703.188796735164,8546.589986075,6981.311043235789,7874.898069541226,7462.738104521245
COG,2048.704794405813,0.0,1240.7004913163169,1608.1559318861762,1579.7534046120297,1260.6861979992962,0.0,0.0,406.2133184451343,0.0,0.0,1789.5260787696425,2644.9522918710545,2139.7200557435785,210.79189239052855,2268.5959347550747,1636.9229610428758,0.0,1379.4801896778636,2406.356820508738,3121.4549289791817,1679.0127834872096,2946.1068461515038,2235.602699109935,1839.6151670398383,3280.612828763731,1936.8812999153317,1785.191114052129,2507.325034719121,3551.7052164931615,1970.5034406611014,1289.9627735336996,1134.211763756866,505.2073478639452,1246.7505022105036,2923.5244881640683,2660.497945843673,2446.0513268575783,2238.069415859942,782.129123965972,2865.198754588554,1337.0381016490003,1335.1484383084714,2995.0351478214116,1260.4138789358553,1171.4703770356643,1808.1319703929785,5153.677555179222,4645.420835642112,4642.963986544157,7272.868064167891,7601.26937262571,8425.049812298841,6447.806812098493,4664.445600719931,5534.3788212967,7813.49378413212,4190.63827703086,3759.94663719504,3317.074948265694,9838.961549900701,3285.671338747948,5225.468318381205,8232.314794650916,3633.926993950916,8219.111148167009,7620.630859435452,6672.4081911831845,3921.9544736416556,5009.291103713287,9563.91352444412,4079.739304998948,2835.945569698061,9760.867318194947,6418.050310694532,3624.9040818790545,9460.2475512476,5967.3243264940675,8030.870207937784,3692.725420840232,5021.440911132464,4075.3382496432414,5409.276883620888,8406.850621070063,2807.8530837318176,3889.884044363597,4619.881111898562,5153.7268023974975,5033.002021539643,4198.401543941311,4100.724022691274,4147.865607164953,3647.487767193649,4826.740945073095,5448.311023861772,5764.997121420152,5959.482845674834,4142.845319725746,4734.856622448826,3435.1805115104357,4536.554807892345,6780.325731382005,5568.612579479257,3463.700987721286,5587.053903244994,5404.0242720672195,4028.1927512765224,4618.97285460933,4121.662813814883,5150.921338849776,5808.435446956316,4892.289454133504,4248.66865933282,4359.248950875144,4742.878143733406,4188.946753347952,4743.209830426668,4515.379187697356,3973.221153815485,5511.245860027163,4629.205661431096,4594.104058326299,5243.134329461356,8617.349434037966,7482.752237563489,9317.392736736278,8733.499665905316,8274.023344426565,9708.476910584513,9748.156061884709,8547.035626377532,9324.591685094392,8849.046672063292,9624.507397781124,9280.025050349619,8907.10785500457,8301.130207345643,8092.740642454869,10922.866024347672,11148.484915094985,6882.136059103376,7142.051163433735,4544.788090744812,7950.452545500842,8024.714184058458,8696.526806035154,6904.727321497219,8103.500896617754,6872.9902358302725,6939.889462667532,7447.476893590962
