,DZA,AGO,BEN,BWA,BFA,BDI,CMR,CAF,TCD,COG,COD,CIV,DJI,EGY,GNQ,ERI,ETH,GAB,GHA,GIN,GNB,KEN,LSO,LBR,LBY,MDG,MWI,MLI,MRT,MAR,MOZ,NAM,NER,NGA,RWA,SEN,SLE,SOM,ZAF,SDN,SWZ,TZA,TGO,TUN,UGA,ZMB,ZWE,AFG,ARM,AZE,BGD,MMR,KHM,CHN,GEO,IND,IDN,IRN,IRQ,ISR,JPN,JOR,KAZ,LAO,LBN,MYS,MNG,NPL,OMN,PAK,PHL,QAT,SAU,KOR,LKA,SYR,TWN,TJK,THA,TUR,TKM,ARE,UZB,VNM,YEM,ALB,AUT,BLR,BEL,BIH,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,ISL,IRL,ITA,LVA,LTU,MKD,MDA,MNE,NLD,NOR,POL,PRT,ROU,RUS,SRB,SVK,SVN,ESP,SWE,CHE,UKR,GBR,BHS,CAN,CRI,CUB,DOM,SLV,GTM,HTI,HND,JAM,MEX,NIC,PAN,USA,AUS,NZL,PNG,ARG,BOL,BRA,CHL,COL,ECU,PRY,PER,SUR,URY,VEN
DZA,0.0,2770.8733126282473,775.0554542706953,4516.467111057926,583.8863747325344,3469.4528643265908,1128.6039699803075,1699.9622824678443,342.78626907997716,2097.735535293384,2167.7597624704977,1255.1997423342432,3439.5238509602827,1350.144662447741,1750.694908445612,2737.360739087856,2786.5358486084347,2017.0121703620136,961.6908905014626,1422.0797522026562,1668.831927999397,3220.1242253157666,5870.21655243999,1808.4108607058697,0.0,5625.835243528289,4336.82066120172,0.0,0.0,0.0,4626.471474334092,4119.844540927535,0.0,610.9853888026595,3361.3622596643418,1323.8879137015988,1769.7277644475848,3574.5133194312025,5149.687232867573,1332.8297492784793,5739.657217804052,3402.9109551921283,951.5596417778696,0.0,3029.511736656261,3946.1588411443036,4663.485076533722,4690.986656912527,3068.4934324210785,3187.5388762655602,7476.513855893501,8033.474868809961,9478.649511987154,5620.14321314857,2782.3409876925807,5699.806581891874,9044.295753332879,3147.88217083,2787.438414914928,2370.191110157207,9728.650150011264,2399.0185633980464,3349.17324516461,8829.862642726808,2439.3612724898353,9506.158929217594,6319.576919762699,6608.720396399477,4197.33786574858,4913.4176169793045,10543.558347828153,3916.0675565439365,2330.1472187757167,9460.408782307872,7331.0641248618795,2444.809038215102,10020.00623497733,5107.6842718624675,8701.577658447926,1544.685369497605,3793.0344497941737,3981.1442986559578,4060.891729666539,8890.420478810805,3261.6070899807887,1024.2540296801003,1102.4339188243994,2033.1767058371968,1390.064202435268,1049.6824186356055,1354.8904461056968,868.7804899251986,2166.902765675113,1382.2517296698481,1958.5410029644845,2532.4782201960525,2713.5106304155483,484.00009173243836,1160.7438341760876,1016.4293160981998,1269.160824357221,3242.1296856501344,1820.733386006668,205.10760949460638,2333.835615953763,2246.689977757051,1159.940633617107,1923.102913046204,1069.9213006916011,1528.313109700187,2306.977277133109,1629.4675959961696,542.4572323388144,1423.9904042233848,2149.7161301545734,1198.38577337808,1437.568924169421,1066.1403913026168,139.81204781428852,2067.1392799781197,999.5966672785089,1712.379759789101,1540.7032855021382,6397.666817553296,4312.683115698353,7949.936157677712,6622.954721917563,6126.155520902318,8251.305374792817,8202.607502278666,6435.756886309783,7621.989628367907,6888.639376170987,7779.235126061352,7656.0296948829155,7482.573883895408,5399.317796619899,10037.69589156571,16049.532625075573,13881.002109789122,7627.273567984242,7228.7673946004215,4297.024540431899,8240.139114032723,6647.957031259595,7759.842689688532,7487.828442661361,7385.141915858483,5339.911373528825,8140.194010025563,5776.062772130149
AGO,2770.8733126282473,0.0,1647.6204584290306,55.339486254893124,2140.383242233866,930.5009452246179,774.0325802810692,879.4106243949385,1388.605549771768,0.0,0.0,2016.2938107321947,3036.0029738399717,3246.1281690432993,657.3367505190608,2920.6112452254897,2083.3949291237,138.42853062475737,1724.6187928997224,2668.9572041169154,3438.0427302617095,1562.3115555131053,1341.6051261317948,2434.3251007449153,2940.312757150734,2146.525977760132,978.8385255932053,2435.6965533066223,3010.20229000144,4261.697576333809,744.9690296190494,0.0,1963.1514548997607,1126.7377331528849,983.5095075027294,3279.7207294803948,2906.7128392834934,2218.5536804199273,775.0606993056186,1805.6752266469866,1249.3018470505847,823.6327727172065,1705.0014985608868,3884.170783757686,1125.0031520211576,0.0,240.216928244857,5900.779398408928,5734.50454062682,5702.066936142468,8003.015743411963,8161.880651800008,9045.995484018948,7387.995898243931,5796.433421243239,5859.383682793412,8065.151146749767,5032.805860447527,4746.367552468916,4358.789840201745,11422.707146934792,4316.028435387651,6287.752094901395,9041.176264895063,4712.533918533467,8604.291772675942,8936.120838360463,7439.133728113926,4367.77822407162,5630.527192910809,10509.837526502886,4772.31287086455,3446.1459812823678,11653.456772788477,6498.287348717875,4678.150929997705,10728.337516994294,6884.082368140854,8446.249208344512,4809.095836497928,5982.3290912202965,4733.582995660358,6443.887449384366,9087.248869456751,3268.339621250541,4955.508041871351,5676.976480609564,6316.4583543697345,6048.5197380677255,5261.922592749047,5199.283925007591,5185.85887928428,4784.300535616237,5900.597867099141,6567.066447099329,6975.870894265083,7190.548208718293,5106.071477127294,5764.590783499933,4521.621865167095,5615.537693656888,7960.007651764037,6541.173636357296,4427.614072051635,6773.575970621733,6587.881782436585,5107.90988509159,5774.581532979097,5188.0835595660365,6183.473025561359,6943.352781213653,6021.02885326426,4900.331306935504,5468.936540947821,5914.875165600278,5279.495344802783,5834.495609846053,5566.321125288472,4605.440743907946,6650.395095171795,5633.643452101475,5748.445166921201,6233.52364401528,9693.036573709143,8563.379346855874,10632.175164012,9820.454624587968,9197.051438896575,11227.739985847036,11293.180860937102,9560.772863211621,10652.370381724088,9973.962764663744,11125.884382973823,10584.056033013241,10040.67912399471,9561.619857759993,7905.573088542566,11553.169854540185,12601.139001738973,6776.860993689446,7297.4909416682085,4275.424323645774,7717.076300635084,8846.124629158458,9669.671320568154,6856.5140842822475,8531.395638051505,7426.782681376826,6684.542558472031,8130.5151447086655
BEN,775.0554542706953,1647.6204584290306,0.0,3408.9435224261138,0.0,3117.9183775056695,685.0847721394476,1290.2196438077988,1128.5712463730276,1282.3528433300462,1686.7415109691287,425.9087489411384,4172.077052579494,2574.312820225965,718.8406288813151,3598.506236861802,3252.1709222586555,983.0188065395206,82.13347248439449,969.9257312495687,1616.3369689110034,3431.7217429710568,4754.084043433069,1029.311129857643,1580.570484515826,5192.99967221007,3817.5567746837946,359.5712199959624,884.3619417821934,2115.5029701134163,3876.4419620799436,2807.095506670093,0.0,0.0,3100.134637872955,1380.7872587061763,1255.2514414741102,4220.803320257008,3943.286527716074,1996.4272626267896,4731.486816229137,3212.0895960330995,0.0,2129.0930211411564,3104.898266107925,3049.6564615548955,3666.7097131811506,6257.978085424276,5044.420173376597,5104.2541893237985,8948.816822000483,9439.89528872254,10662.737087873702,7505.613056683253,4957.988928333871,6935.3430802769735,10029.057805272665,4923.339116539669,4298.090190984584,3814.8058148381415,12304.393063692645,3814.0900943618108,5683.258123766724,10251.457921004698,4011.210149294965,10533.351134354902,8618.956912738988,8104.295570321821,5270.351481312118,6260.161329193396,12342.19076497865,5179.201831338338,3714.5929234587256,11792.798767325234,8300.39187858729,4054.891826947409,11890.984679403453,6967.158315216901,10045.771886340452,3640.3984113212036,5728.892185105755,5211.811933978768,6063.285933670959,10424.257798976385,4167.515859846094,3476.6077407760777,3908.1522417374226,4755.094996031794,4163.367256784551,3687.820987998344,3781.834851627123,3547.31938256962,3865.3284044308048,4173.360202113767,4760.358078714348,5318.976552226266,5509.882525368684,3289.45352323252,3958.2037794984462,3277.243999208032,3992.893767000768,5919.573244627496,4480.957382608415,2747.592413621884,5116.588357265131,4996.828275529951,3639.2089230374086,4415.58035565212,3644.94093749202,4304.542672251148,5086.405253905597,4402.689466150555,2737.279335209149,4007.3314696563666,4844.165688004045,3792.920544997423,4187.514212205983,3844.5350259315137,2442.6180636053696,4872.698837865154,3785.67962966368,4393.1282998164415,4245.963836101197,7885.938155002715,6407.542434042573,9120.377267565296,8058.598225710629,7470.343223769253,9604.950610491194,9619.242020775084,7831.089518022244,8985.095365720916,8266.545873852892,9335.537029783747,8960.91698174149,8572.829344605918,7429.454155127944,10595.332109790705,14725.465954604777,15251.212857201195,6996.941402971446,7069.422781032226,3960.5689859757426,8167.898417889301,7547.825419198622,8525.712261588325,6971.1379650774315,8001.409533795945,6047.774696302432,7259.785640794889,6665.135706865088
BWA,4516.467111057926,55.339486254893124,3408.9435224261138,0.0,3919.788295975229,1571.8071753642923,2312.497661026115,2380.3980501163605,2913.320625295321,1652.3095986384762,657.1224314547887,3700.6850042445235,3698.329271233033,4424.788842749689,2418.9101101341225,3783.827697930233,2766.362469878535,1917.7792618281924,3466.406793519961,4330.386588500777,5095.837830580474,2099.31144667405,447.13180068502317,4034.9930632990636,4149.43973207021,1442.8690382318741,856.7583704287957,4209.9264208656605,4768.974257682756,6037.666758958293,233.57431990782771,0.0,3614.0351805322707,2903.3361838288756,1742.5215817594437,4968.4875222333085,4537.8044065592,2566.2874374115086,0.0,2959.0828305237837,463.49842197667306,1221.6041397328836,3453.660445733419,5527.277982733105,1897.5793851879305,0.0,0.0,6544.478136137611,6678.039520792689,6652.869304075057,8127.956281992837,8074.281927723243,8786.103044923686,7914.717421108224,6803.213503205926,5867.29388049691,7707.347908770681,5783.753699605211,5632.17653844608,5386.027715238096,11359.366377991593,5337.263748817294,7184.953839522756,8988.943795661866,5748.13495954295,8233.450652362517,9635.325808343643,7852.960383478312,4897.03695717877,6187.187356983481,10112.209091900546,5483.041765354758,4209.56603014258,11888.101196816342,6365.98963513621,5694.146088070976,10612.616025369596,7560.395060904527,8193.729715013056,5993.315537483008,6817.903544080882,5403.331640581306,7297.125589159704,8812.718444623755,3924.3322992131575,6384.180867794036,7212.608750162795,7699.729691379913,7685.607559630013,6731.35285116291,6559.3668419038895,6703.796954777237,5860.6456330836045,7427.782906395146,8113.522923958622,8367.46776411258,8617.323235012698,6729.723097396482,7346.51384454179,5837.872448118006,7087.487983202555,9655.603753903155,8252.623615658707,6014.5128774249315,8172.641382928894,7976.97627454829,6515.399689494671,7039.226419719501,6641.358795064716,7814.7355344270545,8535.766646008638,7424.022772482828,6673.100181114107,6837.080467243549,6947.228152385766,6675.383363525492,7308.35417154955,7099.84413358875,6378.121228212781,8176.702422208724,7248.5247008728775,6943.580318060753,7909.156740426574,11125.81305711645,10321.58977343905,11707.806364246042,11228.849042410835,10594.246805857656,12390.518706277126,12528.602600201535,10940.055732861494,11926.439771303912,11324.604802469188,12509.355950602483,11803.543882287475,11112.061388350843,11287.845095271141,7240.823568798077,10642.617788065872,11849.35304584877,7212.374105087121,7969.26860555021,5038.193101640177,7446.67013542619,9810.702990403091,10532.153078806949,7392.427017513654,9177.852171668192,8533.693473612277,7015.796517131075,9295.38344302749
BFA,583.8863747325344,2140.383242233866,0.0,3919.788295975229,0.0,3379.8250520429247,994.388594188738,1488.965627949726,1240.779355301297,1623.6488963164768,1997.0403220508256,0.0,4301.958188295794,2656.098060608969,1117.1061632146343,3720.7334725998144,3399.6303135586413,1449.1765391256765,0.0,301.15519778250354,931.0061197231709,3600.026246015584,5276.306893487785,469.24571484354686,1521.4974415208922,5534.732418383984,4150.697906188107,0.0,312.3402132408338,1647.6900350385772,4294.621484246495,3366.5855144181073,0.0,139.03048317078586,3338.7563876534705,700.8436751830221,592.0545372434296,4386.556388750126,4486.137060670002,2122.9992400945594,5220.552663491374,3438.7992224784675,0.0,1972.5836603240289,3287.514704796586,3499.8090098386824,4144.286990523464,6330.124562368907,5065.221012277655,5136.651710958701,9037.293143427722,9537.459355622403,10772.819880654344,7564.619769246633,4936.435594744346,7033.888706982517,10155.720331742566,4984.0533315372195,4356.838625353904,3876.61092910767,12255.049754156042,3878.9967205819617,5644.71660253592,10347.632141472033,4059.954774124927,10657.483896816233,8610.721485899481,8188.453489391322,5380.425047584742,6342.542805357851,12444.556668542176,5270.456898156347,3783.945706426946,11795.605098726859,8425.541917785593,4108.269919215494,11975.851110713975,7026.376832186954,10146.546496538247,3619.442261756933,5780.166848800824,5307.0305682841545,6106.893186243105,10514.884521015929,4286.1339414193035,3365.5002690756,3667.8921894843584,4583.321237586696,3883.434813282157,3536.952181052997,3680.4843155564636,3378.0782113002333,3899.192609878737,3956.5032937279343,4503.468851676379,5106.874703032074,5287.385006215749,3056.1941961080825,3697.1259049301048,3217.71500570456,3817.2712044080195,5549.89240564866,4115.4890881065885,2591.7728912954003,4907.502867888691,4811.098989597496,3519.556363733396,4314.0970479705065,3506.4124990244995,4026.3831539829507,4805.600125327281,4201.735124952891,2228.0022921159407,3885.0665561234364,4723.04133180766,3654.3764844344114,3998.9109542718293,3636.7516719671635,1934.5925735783055,4625.919370762243,3521.814339327751,4238.473934193126,3900.8963328157674,7222.544493487917,5866.666165173016,8435.881259704542,7391.117689476166,6797.78041925786,8926.51981246151,8944.793594343268,7161.063449710166,8308.81219160243,7593.514883378601,8672.810844339017,8281.377920193449,7887.39501887346,6864.074928612492,10766.035631742407,15177.980095734974,15373.007504464993,6606.651038746429,6543.407858497476,3382.4255025155026,7666.508723883822,6863.1623327426505,7842.714495630724,6552.026670951406,7322.294808926379,5363.398894456205,6971.233203151688,5979.873343576067
BDI,3469.4528643265908,930.5009452246179,3117.9183775056695,1571.8071753642923,3379.8250520429247,0.0,1558.7682925175354,916.1210151970043,1650.4752301691722,1302.4400637766928,0.0,3666.9301788432676,1962.264317627652,2710.2572824196295,2051.3618389567446,1976.5810942679122,1004.0787074782563,1646.4774913502677,3259.7377684827634,4298.907254748345,5029.687525336622,449.0258792086923,2686.0177267295353,4165.764305180451,2535.135784131068,2023.714203080628,692.6915254449309,3467.9201169996754,4338.79735163647,5037.466085170763,980.8131946623924,1554.4892193532405,2540.086663644651,2230.9326145828763,0.0,4820.164441369328,4557.8144013076535,1194.2729547307088,1991.5533961193662,1313.760103879475,2386.532462862967,0.0,3214.8094778510053,4210.311133569809,123.78034641846672,442.35362580492546,1244.6758421177162,4840.766014910599,4870.179785155708,4845.272438139306,6909.718785174452,7180.269857321974,8129.0900764466705,6322.27273122856,5003.777550939979,4850.361239457417,7211.501979719436,4032.5158123970673,3827.783424044234,3600.872638483824,10377.489877967539,3549.760766592529,5380.3436578857845,8005.854321533104,3964.2865657814,7737.443318643705,7911.619980358088,6329.920776630466,3266.461639219981,4541.7076386856925,9652.71031972948,3735.31578539638,2428.998907026328,10547.183276579084,5573.700269554246,3902.1747179376953,9718.485962360268,5841.288190398114,7544.718334996702,4262.028105311915,5025.661095717759,3677.743210921391,5501.372360175452,8185.588167980579,2194.818736527897,4767.118332019941,5631.87291641227,5984.235044798174,6232.5260025231455,5127.842474891445,4866.246419734758,5101.258415639392,4100.945667140584,5810.542428603325,6499.1331020226435,6657.561197113275,6921.030766336741,5301.126483968623,5796.0878001136825,4147.183504523381,5469.091750916138,8254.868897551885,6949.884682621309,4570.037913149362,6462.128551123009,6283.15762039233,4880.623628712053,5320.695298126894,5030.470361050997,6344.059204805653,6981.326762257404,5754.955641551504,5833.170840145673,5125.532322231542,5141.696142786848,5021.045930219192,5682.9060511302205,5526.384908873464,5366.070503807703,6567.038233562491,5763.975617403553,5186.72322853878,6530.5464030376315,11346.71894137029,9622.634060057797,12457.804284891243,11509.88385105044,10909.217122731885,13010.459098098096,13046.585650527166,11276.771558530789,12405.73416555517,11702.655026717342,12797.345740148452,12361.74109889581,11880.454221522667,10728.021328938758,7354.982167329975,12604.844355791576,12203.400210057465,9139.3251096411,9557.34817905485,6550.747711090367,10004.334604059068,10723.62772088261,11625.58189945547,9194.24297497371,10790.352958433003,9276.988635726691,9088.698356789586,9954.49021209633
CMR,1128.6039699803075,774.0325802810692,685.0847721394476,2312.497661026115,994.388594188738,1558.7682925175354,0.0,0.0,0.0,0.0,224.17923697086977,1275.617374768701,2900.8488796229108,1531.865332430466,0.0,2358.161792828908,1957.2613774897804,0.0,838.5570902355591,1870.2575787062617,2594.380744626218,2009.782610234015,3639.3533360106735,1802.2683161128944,1106.8126245708238,3680.753420454405,2296.810827265002,1154.0524386849193,1932.2219083180737,2655.1274418731073,2464.4679989060373,2119.3236151196797,136.4907537401202,0.0,1539.1321296849285,2380.9424166109084,2135.935953008265,2780.448622265801,2994.9028916697753,762.5008244597354,3494.5627624493327,1659.5441012389892,787.873591549848,1986.5685010885252,1544.8638017308763,1703.256040616901,2420.1794035699936,5138.37971586938,4175.950730095226,4210.743569279774,7771.969668822147,8243.556465046937,9438.836024262315,6476.9839233652065,4138.38416346173,5742.856649275746,8746.605658215865,3920.593304808305,3320.6552961107154,2829.8847490007615,11209.975553531654,2815.8991989086717,4870.723200260636,9057.359307071189,3095.5325273883946,9267.834240592765,7735.181543777991,6958.775810599351,4050.7758578293005,5099.925724551942,11105.510177820945,4022.8990421266044,2690.443271546992,10845.441159541926,7034.823530479719,3112.8295692961324,10728.1543162196,5926.634478453821,8836.636906451999,2934.15979205806,4762.358537915651,4039.4822662181164,5128.382837716901,9247.075229659733,2936.935353193408,3017.4218577386428,3741.6772532989353,4377.75043398205,4149.043166608506,3319.701134313164,3270.9826028165794,3244.890949671151,3017.0099295670507,3964.0432815896015,4634.913277413165,5033.568126139589,5248.160626461901,3195.5673195166864,3841.034145258527,2618.3375374982515,3673.194303781283,6117.107987682109,4724.496852008625,2496.8784755084307,4831.198834573914,4647.740453382436,3171.9317752988677,3864.0443363837107,3246.7102223384086,4280.180485085661,5023.624450791622,4078.856971941614,3446.808143813781,3536.606166722378,4143.274949690115,3343.6614680810703,3892.3926675753705,3630.5234938198746,3091.4516480922434,4715.095867861167,3719.129802800343,3838.770843325164,4368.807325037629,8906.973932646048,7218.206899846865,10065.133857340623,9072.182767287986,8475.141119812326,10588.22655375598,10616.506331858647,8840.798593125523,9977.27788972046,9269.307605048705,10357.580947793327,9940.458669644293,9500.9564419899,8324.630197159397,9065.699770504913,13851.917966520612,13905.223622655352,7517.846014005099,7679.496746189288,4650.4538153340245,8751.871166011053,8420.887369507635,9357.997119529293,7511.798189047146,8764.969069627125,6924.450967860392,7684.761458795648,7576.448506851788
CAF,1699.9622824678443,879.4106243949385,1290.2196438077988,2380.3980501163605,1488.965627949726,916.1210151970043,0.0,0.0,0.0,0.0,0.0,1918.1136324498732,1734.0070705518915,1267.873276648483,496.5647034436959,1420.989763672766,708.4076386471377,261.93670651072216,1494.2516643498705,2498.9733235690837,3195.5017374551917,788.7653334989427,3685.1233044052724,2463.361706877451,974.1409517103027,3026.2653885964,1772.3133744267282,1566.3341015420972,2445.767266088296,3243.6572008733224,2053.2772532349527,2205.1944678537993,715.8405980280288,336.62912792317724,781.0979407807062,2969.3552343500032,2771.536092505541,1578.711145928105,3022.1402284438927,0.0,3458.334192996224,807.1588227655876,1438.8367626781953,2503.6791175141784,484.2446908025283,1523.7325458017406,2318.561252290945,4462.519917227216,3845.221661575064,3842.858092447949,6827.243833968438,7221.660516526496,8280.648977296763,5901.70046018335,3868.4596033374614,4819.49936020857,7499.1468401891725,3395.8409105431438,2906.3549936554073,2444.0831613581618,10339.828491712116,2411.441661112465,4478.25949062413,8028.614919732049,2775.7853072481057,8020.15268430182,7282.735056223021,6131.884307989983,3079.3590117160447,4264.031320509175,9903.361151235238,3311.406841786039,1990.1656341329112,10283.926754101334,5804.565288558129,2764.9406770188034,9746.514142517368,5348.667608997369,7763.773796510079,2872.524212559601,4268.324090521129,3299.764071743368,4686.153130667027,8263.425703235078,1916.215508008394,3191.3947291090667,4021.748152752983,4519.493578751794,4558.302668773598,3537.240694578576,3379.6693109309554,3509.678883326593,2801.707693327312,4233.789082161488,4919.434979202744,5195.507111423497,5437.507179284478,3611.2209688778657,4165.4912857317195,2660.0216364568696,3893.793721437353,6576.698451177628,5246.067183088793,2878.793132297325,5001.318567150588,4797.651525213263,3325.503496416742,3887.210480264372,3447.5773399875125,4677.146303371423,5359.040846496547,4240.889763677727,4027.916027728909,3657.373635163553,3958.6121706495956,3490.651489749033,4114.967796560128,3909.0118708553364,3659.8333798316175,4982.798762425605,4102.478584597188,3847.334242119353,4835.587797665706,9477.49517728038,7757.696657907927,10695.793204226497,9651.989530530578,9063.769246000564,11195.32193541174,11212.252917069025,9424.733319516266,10577.18916872905,9859.909033476748,10926.16580930944,10550.013989975341,10139.055008772395,8844.966019437326,7952.259435252357,13674.59983682106,12704.597066909575,8131.668617085212,8338.40221130933,5324.984574618661,9397.43215915585,9083.62732057817,10025.057972497072,8139.768069738835,9438.332590084014,7578.180460673842,8261.77469461051,8219.548197119178
TCD,342.78626907997716,1388.605549771768,1128.5712463730276,2913.320625295321,1240.779355301297,1650.4752301691722,0.0,0.0,0.0,445.7950308360571,359.4049905464603,1844.2874260747444,2001.723837925373,317.75604086214435,786.6760397050697,1368.1128956460423,1181.2957616072963,668.3940129297509,1484.6522498125896,2397.9458164366088,2981.7460053921923,1462.2484143341094,4204.787769747535,2434.1048439218657,0.0,3820.778822836099,2516.5865749946693,1060.9459525571829,2049.483407040392,1922.0919219524576,2807.221862844171,2748.4976743323496,0.0,0.0,1552.1276923182859,2732.9471671621795,2689.6531001726426,2129.887804559169,3571.800705748673,0.0,4016.032911405498,1603.4308455194712,1375.939484118852,971.5291041396252,1231.406643897264,2196.9183854206576,2906.8372109742345,3927.24262209159,2983.2331963936094,3005.5653177735776,6602.10682757733,7095.230488171229,8344.858678908282,5241.945012169005,2974.1357190978856,4591.682230398875,7808.192996457105,2686.412525577333,2093.7135436622802,1605.5336984194716,9993.085161056968,1587.0801746018144,3663.7429105491856,7905.7651506296415,1897.4461037399024,8290.651933612919,6514.335600172119,5762.471309599552,2969.4713740191664,3923.224336052828,10010.979692793537,2832.5259523594,1459.4137469553277,9609.922526225386,6076.542693880537,1903.829890419639,9546.614773533422,4692.286624151893,7704.357486373577,1814.0224903469307,3527.9905041676843,2865.2623522070717,3903.6672450275482,8077.273468285691,1927.7816863235435,1840.8953934257995,2581.0512739290634,3200.973910105608,3047.7789646358574,2145.1019214700955,2100.117929191321,2079.4536228955158,1871.3421212227227,2804.027720203731,3483.4544125575285,3859.0029431533726,4074.8606281759917,2092.9953078945073,2703.873771173477,1479.7738658871397,2501.1155612111093,5055.848343675427,3712.255262175679,1366.7784736389424,3657.1858392827285,3471.039074369737,1996.1966985245685,2705.1864101989154,2070.537907211141,3172.148410866869,3888.098001778946,2903.928908441354,2692.1672626325644,2362.547052821848,3026.550836243046,2167.8920323408133,2721.7224563780906,2469.2694049602314,2125.799992819844,3555.0721918504564,2601.4360633627516,2680.7441108289886,3308.6599443526043,8859.349503233083,6515.255319630867,10386.965431338933,9083.910223992545,8578.280369809303,10711.489021944111,10664.291475259792,8894.117210460041,10081.382449437238,9347.099970877098,10233.89600055631,10110.78554286581,9895.704635594178,7658.204188634646,8566.854306635827,14397.074866997636,12970.222122208366,8334.993129482407,8456.913016810577,5369.085537197892,9543.899228198006,8910.030332015824,9926.227818450834,8321.980335019138,9419.400552284553,7434.592770011588,8540.390527559663,8020.154700184591
COG,2097.735535293384,0.0,1282.3528433300462,1652.3095986384762,1623.6488963164768,1302.4400637766928,0.0,0.0,445.7950308360571,0.0,0.0,1835.3441014553052,2704.686518660541,2190.072405512572,250.29773908847122,2320.9135438108083,1681.2815760516278,0.0,1421.915983666396,2461.102944998032,3194.2693015896707,1723.7436834695043,3013.810541677306,2287.358143463381,1886.0476156163757,3358.858290652462,1984.3913801735087,1831.0137573312845,2564.120766690704,3640.850178250126,2018.4456859124962,1331.9018052137055,1175.3822671060939,544.8646470413772,1288.4315208701912,2990.379739038636,2720.5820801866494,2501.543479844693,2289.9770050814577,822.1921765726574,2930.5881021194245,1379.2171881102872,1377.3163690089184,3064.2251229553,1302.1663108834061,1212.7968162718298,1854.1931391780668,5349.032429813613,4798.057259477248,4795.375086104322,7787.472835267503,8192.67479816103,9255.531156621973,6806.637138849963,4818.58269777356,5768.795731978935,8459.538108763332,4312.20416152642,3858.4521588622524,3396.9111327821033,11299.075598646838,3364.3563626612777,5428.259580436996,9000.35223342843,3726.657988718267,8982.770310942411,8218.405841404776,7068.62800979528,4028.197166350627,5191.208124456517,10872.855212458866,4194.690331896744,2900.443149695122,11176.94383190298,6771.04820839241,3717.221438018743,10716.606907688942,6255.3324193679955,8737.958371542698,3788.2051827367422,5204.904440909137,4190.027326225345,5630.803119713721,9231.47925920102,2871.580393351802,3995.036066737135,4770.855892634099,5350.01825657631,5218.026802370853,4320.8657843542605,4217.388623934571,4267.297965720965,3740.867095005141,4993.976795352301,5674.626263054174,6028.047392580851,6247.576325961865,4261.955185368161,4894.659604974739,3519.631264628481,4681.4181642724425,7197.821283247607,5808.13819177573,3549.300453738069,5828.872999517867,5625.577604979625,4140.753540647733,4769.83877612083,4239.554441751249,5346.91232263747,6076.888269701459,5065.006582438061,4373.835419250202,4491.886860286424,4903.161313569267,4310.831926074775,4903.6918410117805,4658.725720871366,4082.437043479358,5744.4851993972425,4780.855459514984,4743.120357984585,5448.050095306423,9515.31006252689,8046.93904249023,10504.911094740777,9674.279020275862,9055.877741796823,11095.522760830241,11157.398321304212,9420.38171047111,10515.90250332748,9834.962480449041,10965.633603813843,10450.312287333682,9915.61088478395,9092.570106613162,8818.292257088442,13187.870786772179,13645.55223316173,7316.580578633987,7628.237827980285,4689.3489195715565,8634.550526454881,8729.918715203105,9623.147107756358,7343.42600391396,8831.858639800013,7305.377612263194,7385.760272634553,8001.679183398875
